teacherextuserid,classtitle,classcode,ap1,ap2,ap3,ap4,ap5
tch_20200519-113240_1,class_20200519-113240_1,ucvj-oZKv,fad7f1c0-45e1-42f5-aac5-bab02f01556a,5857410e-ec16-4a50-9f16-42c52dde5878,b8d7fbe6-fc6b-409b-926b-86a70890df2c,8ef20ff6-59ae-4e1c-aa7b-cd4ce57269b1,8a60743f-0dc3-418c-acd7-e335eb6e7cc6
tch_20200519-113240_2,class_20200519-113240_2,j843-NZnp,389da015-0b66-426a-b130-9f3877b6f654,dfe9a316-3783-49b1-8467-bcbd6ae3017f,e62be23e-0464-427e-afe1-90f70f608089,73e8dcfc-0a65-4a68-ab61-0c7c2b6cd452,b4dcdba2-aab9-487c-959e-2c6c495bb9a0
tch_20200519-113240_3,class_20200519-113240_3,3e8B-Fjzn,56417c24-98a4-4cd2-8bc2-2d35ee2fcc34,7db61084-e2d8-4d0f-89cd-8ac4391519ec,8f38e521-a6ac-4ffb-b458-d99869b003a1,28fce819-48e0-4ce3-ad14-107a44b8e91e,d4eee89c-18eb-461e-af5a-e4e57979d5a5
tch_20200519-113240_4,class_20200519-113240_4,34jc-3KVu,6e9f5024-19e0-4146-bda9-b2e194b288a6,733287f1-45b5-4708-bfdd-6141c0e0e8e9,04fff82a-e55b-4682-bf02-957d843f3bae,7091f6e2-7bc9-4b47-97b7-c2abe2b9315a,a0c5f752-5bee-4ee6-9ff3-8e9ba3295360
tch_20200519-113240_5,class_20200519-113240_5,xP8z-FVDV,24ddc62a-a9f9-4a9d-905b-94d2cb92ad0c,91566a86-bb6c-4e51-a16b-e9dd4ce0ce96,b012d458-bdda-49b3-9d10-59f68f47e0a5,23d645a3-b0e5-4a8f-b084-488ad54b68c5,c55db51a-b45d-40b6-82db-63542cf6eef4
tch_20200519-113240_6,class_20200519-113240_6,Fx4q-FVf4,f47d4164-32c6-45f2-98c8-38aec3dc6522,38d1b98d-770a-4b1f-895c-e16ea6796e67,aea6ee8f-874a-49a5-a249-a3c5abfac11a,ce8a4f15-636c-4001-9ef3-d4e54e2546e9,02876eda-5228-4642-88df-2fa65ca804ea
tch_20200519-113240_7,class_20200519-113240_7,Ja7R-M368,cbb76a08-60a7-4295-bbfc-133f4f943918,2f7d1910-26b0-4991-a8fe-18f66ddff92c,a6420271-8e6d-4ad2-beb2-281e4a4d54f3,db852a88-bfb1-4189-a35a-2822286c61b1,d8076caa-c1f6-4460-a07e-c56a1dc4169f
tch_20200519-113240_8,class_20200519-113240_8,vpg8-7k2N,5a47aaf1-3a87-4c82-b9d9-b25b8f3dfb82,43636ecb-4f04-4d26-a65e-42535935b023,42a85c00-c93d-4af1-9da2-13880b359c33,f40b00f6-8ac6-4b17-8db6-110068f69949,1e600d10-3f20-4a53-9384-5c73190e1da9
tch_20200519-113240_9,class_20200519-113240_9,QCRg-YBCz,93b1fe57-3447-49a6-afaa-eb7d6690f7b3,cf2964e0-87c1-4b2a-a24c-846da5c4e693,3f834e56-e2ca-49a1-845a-9c09427e77e9,95a85149-81de-488c-8cf3-1c0e84401150,e55212e1-9144-447e-bf67-6633d26a07b7
tch_20200519-113240_10,class_20200519-113240_10,F7Kc-P4q9,e3a26f26-9bed-4a83-ba8a-b8948ca8b0ee,73c2038b-611b-4b8c-b070-64f7a279a531,5e64807b-ed11-4a2d-8dd4-07ef8f93088d,907446c9-647a-463c-a0f6-6f6f53e8dccf,db6b13e2-2be2-4be7-be03-9ac1b27b5d45
tch_20200519-113240_11,class_20200519-113240_11,KwX9-7tru,60c1a082-426c-4469-a341-8eeab88745e1,2e25f1a8-25eb-40b3-8995-6df29aa021cd,f3ba49c3-093e-444a-92c7-88cefbad3459,7f3195e8-bdea-4115-8a02-9e03a51feade,f22b6394-ba08-4924-8a01-8944b1bbb682
tch_20200519-113240_12,class_20200519-113240_12,C8A6-7R7C,f9586717-a605-4f91-8522-199378416d99,20e6ed15-4af8-4807-859d-1a508a006ae9,ddc5527e-e14e-45fb-b2b5-6b5133972e55,6f711dd7-07d0-435d-8f44-c7cb13c9d7df,7a10a92b-ecc9-4f6c-9059-07945e90a965
tch_20200519-113240_13,class_20200519-113240_13,cU64-M47d,303f5979-34e3-45e9-8d81-704b880c89d1,cc8e6117-b3d9-43db-85dd-214fc16905c9,56040517-45c4-4660-ad15-a633ad9773a3,2fd0d34e-c6af-4014-a22a-b452e8ac8d81,1b01a14c-3d37-4bae-acaf-43269efdc507
tch_20200519-113240_14,class_20200519-113240_14,b32p-Bg2X,dfe2e64e-47ad-44c6-8737-fc851bbe1ac5,8b4850f5-2b02-43da-a0b0-2cfed8cf81b0,382261f4-bef1-47a7-8626-6c39d974f3d4,c13ed58f-c089-4218-80d7-2167f5ce50c4,b8a4162f-88f4-4874-9cbf-95d7c78a4f42
tch_20200519-113240_15,class_20200519-113240_15,NTqa-JjTL,5efa76b3-b252-4320-b2ea-642fcdd538f5,af2f1c7b-0331-4cb9-99dd-643f292a359c,b0df0320-8063-4ada-b7d0-2db02db641a8,e8c6d681-294f-4443-aa59-d6e965f74a24,928706a1-66ea-411b-ad05-e1bf8ca00811
tch_20200519-113240_16,class_20200519-113240_16,7dXo-626i,cb24e782-a1d3-4f29-86e2-382476341fa6,6c8e8867-963e-4407-8c8e-10cf32a563fa,bc499ed4-8396-4172-8138-f0d1c5aceb8a,9d914682-380e-4553-8ee6-8668132888ca,51eb2944-245c-46d4-a845-f0432313983b
tch_20200519-113240_17,class_20200519-113240_17,wvcD-8b37,90ca6b6f-4ada-4008-8e0e-e1aaad9c0b75,d3b979f9-9e59-4839-b453-99108a505b37,d2092ce9-8ce6-4e5e-b94a-7715e5d70f2f,6b8e8f40-0ca6-496c-aba6-2ef70c851df4,fbccc7ce-f982-4317-a739-055cfd86b21e
tch_20200519-113240_18,class_20200519-113240_18,yLsx-nGTH,2b3598d2-2768-4edd-9666-31b7fbe56718,9b73d74c-d172-4a87-a7bb-bf73155d3202,b35eda5d-f2f7-4f09-8d56-54d3320edd7d,878f5482-2fb1-40ac-a873-aec4705eeb21,fb51d8bd-62c6-4ca6-9f32-ddadafa0c484
tch_20200519-113240_19,class_20200519-113240_19,mJER-4W2R,34ad040a-491e-44c3-b6bd-4c841e627c3c,e236e39c-7e4e-444c-af28-3d1db13e0187,cd2f8976-8a1c-41b5-8f8f-c0c97e095255,9fde9289-84d2-424b-8fda-12d0f8e1d20e,942d09e3-c339-4987-87a6-94db79e1d0d0
