tch,classtitle,classcode,ap1,ap2,ap3,ap4,ap5
tch_20200714-194906_13,class_20200714-194906_13,gue3-TkX3,4f6f4ec0-9ee9-43d5-9a45-1e291a26636a,1e00a4c0-a939-4a18-8311-661a2613a50f,cc9e139e-a4d1-4abf-829b-32d3cbd84ee2,8477e003-64cf-484c-83dd-25b621296a4e,d90804bf-1ef9-4d76-8686-b6272882adc7
tch_20200714-194906_14,class_20200714-194906_14,Dw9m-94n6,ada6f29a-2c34-44bc-8b8d-142e0c878a74,81cb121e-7a3c-4db5-8e4c-a81e0fd0d907,f5eb49d4-6a34-4045-83a9-b2b4edea139f,7861bfbf-f653-48b5-ac95-41cc6eb01e54,2acfe4f4-d1e3-40af-af01-7a6831f22a11
tch_20200714-194906_15,class_20200714-194906_15,CFDC-HUeb,6deee3e3-ee52-4824-adde-d37728124834,912b63ae-1524-43c2-9369-cf4f1fc69c94,dd3cb8a7-4505-4c27-87a3-0384be207640,a9f20260-d3e8-44f9-972a-581344e4e29e,3a3e0395-e31c-474c-ab42-312375aeca8d
tch_20200714-194906_16,class_20200714-194906_16,o7ox-b3Xp,da4277b4-42d4-40c8-983e-028d9f6c1c93,49210724-076f-4ed5-a144-49dd52e92cdf,bd5f14df-b569-4fe9-b855-eda59d474503,f1c349db-52a8-4199-b97f-cb62f5c85aa9,fd0e9155-9e6e-4787-8e9c-7a7fb0123aba
tch_20200714-194906_17,class_20200714-194906_17,qCAM-C7Ne,d6b46357-2030-458c-a84d-ed28785f0b36,3bf87530-574a-47cd-b39e-b9b6d36371a6,cbdc1992-ca3d-4546-80e1-805a06045ef9,12d7a64c-8dee-45bd-87e2-c1bcac8ffe80,fe75008f-9eb9-44a1-b267-34232335dbb5
tch_20200714-194906_18,class_20200714-194906_18,JNtJ-PXTm,0ba8c206-a637-4329-8cff-4ec2b0833a08,66dfc408-0615-4b5c-a5e7-10008d85d445,3b4e4b96-6c83-416a-83cf-2786fea596b4,9fbd4772-6d99-4cf1-80c0-94f0f948e264,f9520847-4eb5-4dec-a89b-a0c8a1eba36d
tch_20200714-194906_19,class_20200714-194906_19,b79h-cfpL,ca2b7a96-37ba-4b78-b0dd-4fcad2de2939,ae8c9771-92b1-4558-85cc-9fb6a7e0f955,a6f7ee82-0663-404f-91fe-8c8da2d4ec0b,c6644b26-dadb-4dfd-b4dd-694d683f5785,6b57ccc4-a6eb-44c0-9982-69f39bb06cc6
tch_20200714-194906_20,class_20200714-194906_20,xc9V-2wmp,c713e728-e06c-4fd5-8aa7-1eb65ba53e5d,cc6e2147-60cb-4302-b853-f4cde758c3bd,58770340-f852-4c54-b649-02253ea3f7c7,2aee8dce-cb6c-4b9b-96c6-f8f369596f69,0870c361-2a2c-4198-b70a-ae76a3e07554
tch_20200714-194906_21,class_20200714-194906_21,wyen-mU2j,cbb2882d-0728-4ce7-88a8-700ee7acc341,162e950f-c756-44a2-bf9b-c5ceb0b057aa,bac7a3f6-25f5-472e-b963-b67fc8afae1a,3f6a3acd-286b-4343-95e2-db9ac2b4328c,e6f05949-4d1a-4df4-9181-4b294f64b2d2
tch_20200714-194906_22,class_20200714-194906_22,7HR3-D3YR,27dc0aaa-c1cf-43b9-9615-2307b48470b0,fc4507e1-767f-479a-b6ed-a61882335dc8,b17af652-c38b-4922-a3f9-3cfa4d79fb71,4e6e7a10-97fc-4773-8f92-05f7b592fa11,1886896d-0242-457f-b017-f3d356ad3a58
tch_20200714-194906_23,class_20200714-194906_23,uo3x-crpy,6cf02b04-be0a-404b-84bb-fbbb795c399d,a4a0a008-049f-458c-bfa3-c133f8636358,c41035ad-84ae-4b10-8b8a-31098b541fee,a0be3cf5-5e03-4cfc-b503-a762a7abd6e3,b391ec2b-782a-44c5-b112-576015822e36
tch_20200714-194906_24,class_20200714-194906_24,JnGT-kwZ9,3e003ab6-bd0b-40be-a14b-8f4e0968a830,b29738ea-ce84-48f9-af08-d62bf51657d9,19eb0581-ce49-4cd3-912d-fb1a33886add,3fecfccd-835e-4f55-a979-9976cca8dd9c,fcab50bd-e215-41e2-b33a-dc66c72ed00a
