student,classcode
perf__std_1003_20181130-144416_00014,6GBL-9Td3
perf__std_1003_20181130-144416_00015,gb2G-aMTW
perf__std_1003_20181130-144416_00016,6gX3-hVUg
perf__std_1003_20181130-144416_00017,faj8-Le9j
perf__std_1003_20181130-144416_00018,42AD-gXh8
perf__std_1003_20181130-144416_00019,9cgK-Dd9V
perf__std_1003_20181130-144416_00020,7A93-ad27
perf__std_1003_20181130-144416_00021,8Qh4-2NKe
perf__std_1003_20181130-144416_00022,dai8-hA38
perf__std_1003_20181130-144416_00023,AjdJ-j39W
perf__std_1003_20181130-144416_00024,i7d4-hjd3
perf__std_1003_20181130-144416_00025,M4cf-4QaH
perf__std_1003_20181130-144416_00026,Ac4c-iQG6
perf__std_1003_20181130-144416_00027,e73W-Zg9a
perf__std_1003_20181130-144416_00028,Nf3K-cfaD
perf__std_1003_20181130-144416_00029,X3QR-ac2V
perf__std_1003_20181130-144416_00030,gfej-3CjT
perf__std_1003_20181130-144416_00031,7Mdf-a7iD
perf__std_1003_20181130-144416_00032,h3i9-c3jV
perf__std_1003_20181130-144416_00033,6hNi-XeZK
perf__std_1003_20181130-144416_00034,c3ai-2feh
perf__std_1003_20181130-144416_00035,D4G6-Q9gj
perf__std_1003_20181130-144416_00036,d4Xf-b4jY
perf__std_1003_20181130-144416_00037,4AV3-WiTf
perf__std_1003_20181130-144416_00038,a8J6-fcM9
perf__std_1003_20181130-144416_00039,fBGe-hD9W
perf__std_1003_20181130-144416_00040,aQd6-RLd8
perf__std_1003_20181130-144416_00041,3efL-giaV
perf__std_1003_20181130-144416_00042,cVje-X8Mg
perf__std_1003_20181130-144416_00043,hdcf-7bcd
perf__std_1003_20181130-144416_00044,i4ea-ej29
perf__std_1003_20181130-144416_00045,W7jc-8b9f
perf__std_1003_20181130-144416_00046,7P8Y-8jL8
perf__std_1003_20181130-144416_00047,h4a3-eg46
perf__std_1003_20181130-144416_00048,f4g9-eBHb
perf__std_1003_20181130-144416_00049,iJdb-ahg6
perf__std_1003_20181130-144416_00050,X8W4-diG3
perf__std_1003_20181130-144416_00051,VhD4-2ij4
perf__std_1003_20181130-144416_00052,fhA7-839J
perf__std_1003_20181130-144416_00053,LZ2j-2NWg
perf__std_1003_20181130-144416_00054,fb3b-CUZ2
perf__std_1003_20181130-144416_00055,ad4i-4K46
perf__std_1003_20181130-144416_00056,MTG9-Jeba
perf__std_1003_20181130-144416_00057,Mca2-b4EX
perf__std_1003_20181130-144416_00058,dgJc-j4UY
perf__std_1003_20181130-144416_00059,RifG-Rgj9
perf__std_1003_20181130-144416_00060,4j9a-GedY
perf__std_1003_20181130-144416_00061,39Xh-UbhK
perf__std_1003_20181130-144416_00062,WCaM-h36e
perf__std_1003_20181130-144416_00063,2BFJ-7ch4
perf__std_1003_20181130-144416_00064,L28V-6hjW
perf__std_1003_20181130-144416_00065,9bdX-6MZg
perf__std_1003_20181130-144416_00066,VHDe-Na6d
perf__std_1003_20181130-144416_00067,2JfC-aE2d
perf__std_1003_20181130-144416_00068,7Mf4-h8aC
perf__std_1003_20181130-144416_00069,eRCc-e6fi
perf__std_1003_20181130-144416_00070,WAc8-DF2d
perf__std_1003_20181130-144416_00071,hjB3-8j7d
perf__std_1003_20181130-144416_00072,bfRj-6Zf2
perf__std_1003_20181130-144416_00073,4jif-6j7j
perf__std_1003_20181130-144416_00074,Eh7D-6V3K
perf__std_1003_20181130-144416_00075,chPR-giPX
perf__std_1003_20181130-144416_00076,fTbc-NCRW
perf__std_1003_20181130-144416_00077,BX49-79a6
perf__std_1003_20181130-144416_00078,YKgX-gEHe
perf__std_1003_20181130-144416_00079,eTbL-CP68
perf__std_1003_20181130-144416_00080,cA4Q-jdK4
perf__std_1003_20181130-144416_00081,7egf-ZgHe
perf__std_1003_20181130-144416_00082,7Fjc-4jde
perf__std_1003_20181130-144416_00083,ce24-78hg
perf__std_1003_20181130-144416_00084,hDUe-iU37
perf__std_1003_20181130-144416_00085,dRed-QiaM
perf__std_1003_20181130-144416_00086,HW76-ajFb
perf__std_1003_20181130-144416_00087,EKbK-7jAL
perf__std_1003_20181130-144416_00088,dUf8-3L6B
perf__std_1003_20181130-144416_00089,9JdP-d3c3
perf__std_1003_20181130-144416_00090,U2c2-MdGF
perf__std_1003_20181130-144416_00091,hBe9-U63j
perf__std_1003_20181130-144416_00092,c3ej-Bb67
perf__std_1003_20181130-144416_00093,Wbhc-jYjT
perf__std_1003_20181130-144416_00094,TjXd-6REi
perf__std_1003_20181130-144416_00095,N37T-2Z8i
perf__std_1003_20181130-144416_00096,3bea-fcHT
perf__std_1003_20181130-144416_00097,YTi4-Eh7i
perf__std_1003_20181130-144416_00098,M6Mf-4fiG
perf__std_1003_20181130-144416_00099,XQV8-e4Uh
perf__std_1003_20181130-144416_00100,TRFa-NaUV
perf__std_1003_20181130-144416_00101,72K8-K8eZ
perf__std_1003_20181130-144416_00102,agTX-Fh4N
perf__std_1003_20181130-144416_00103,MU9C-2h3T
perf__std_1003_20181130-144416_00104,a6Aa-GT82
perf__std_1003_20181130-144416_00105,jH4W-RN3N
perf__std_1003_20181130-144416_00106,aGhc-VK6h
perf__std_1003_20181130-144416_00107,chjc-KacF
perf__std_1003_20181130-144416_00108,39bW-e7bd
perf__std_1003_20181130-144416_00109,3jg3-7Z2h
perf__std_1003_20181130-144416_00110,aiWP-DKha
perf__std_1003_20181130-144416_00111,f46F-d3df
perf__std_1003_20181130-144416_00112,d4b6-7d79
perf__std_1003_20181130-144416_00113,W4E4-8DFa
perf__std_1003_20181130-144416_00114,C8j6-8fYe
perf__std_1003_20181130-144416_00115,i246-3f3j
perf__std_1003_20181130-144416_00116,gi9d-GQZE
perf__std_1003_20181130-144416_00117,j89N-2Z2h
perf__std_1003_20181130-144416_00118,76RZ-3K9A
perf__std_1003_20181130-144416_00119,4247-ZCh3
perf__std_1003_20181130-144416_00120,8a2i-RYfZ
perf__std_1003_20181130-144416_00121,f7K4-GTd9
perf__std_1003_20181130-144416_00122,fb6U-X946
perf__std_1003_20181130-144416_00123,4gXZ-6R4Y
perf__std_1003_20181130-144416_00124,d9d2-g6gi
perf__std_1003_20181130-144416_00125,KX4J-dPEB
perf__std_1003_20181130-144416_00126,BHN7-RQLY
perf__std_1003_20181130-144416_00127,dgji-Ga7P
perf__std_1003_20181130-144416_00128,9aYd-c42g
perf__std_1003_20181130-144416_00129,GbjV-T83j
perf__std_1003_20181130-144416_00130,Lb7f-ibPQ
perf__std_1003_20181130-144416_00131,7Bef-DbUf
perf__std_1003_20181130-144416_00132,F376-cf8j
perf__std_1003_20181130-144416_00133,2E83-gcGE
perf__std_1003_20181130-144416_00134,N3ei-hi3d
perf__std_1003_20181130-144416_00135,DKd3-b8jL
perf__std_1003_20181130-144416_00136,b7db-dgG9
perf__std_1003_20181130-144416_00137,MDPT-db6V
perf__std_1003_20181130-144416_00138,4LUL-fb3i
perf__std_1003_20181130-144416_00139,QjhA-CjCD
perf__std_1003_20181130-144416_00140,7b98-4cPi
perf__std_1003_20181130-144416_00141,a9a6-KdR8
perf__std_1003_20181130-144416_00142,9B6h-j3ib
perf__std_1003_20181130-144416_00143,f429-eaCV
perf__std_1003_20181130-144416_00144,Yd2E-jcAK
perf__std_1003_20181130-144416_00145,Y3T6-AfgM
perf__std_1003_20181130-144416_00146,heFY-GegU
perf__std_1003_20181130-144416_00147,UY4g-8Q7F
perf__std_1003_20181130-144416_00148,ZUTX-83Fg
perf__std_1003_20181130-144416_00149,6N8i-e37b
perf__std_1003_20181130-144416_00150,73ce-hjHD
