studentextuserid,classcode
cc63b1ced9f44320a348348ea38e01e4,
std_1588602040701_1,6m7W-GWUt
std_1588602043713_2,43Ki-A749
std_1588602046724_3,6m7W-GWUt
std_1588602049736_4,43Ki-A749
std_1588602052748_5,6m7W-GWUt
std_1588602055759_6,43Ki-A749
std_1588602058771_7,6m7W-GWUt
std_1588602061780_8,43Ki-A749
std_1588602064792_9,6m7W-GWUt
std_1588602067802_10,43Ki-A749
std_1588602070814_11,6m7W-GWUt
std_1588602073826_12,43Ki-A749
std_1588602076837_13,6m7W-GWUt
std_1588602079847_14,43Ki-A749
std_1588602082859_15,6m7W-GWUt
std_1588602085873_16,43Ki-A749
std_1588602088882_17,6m7W-GWUt
std_1588602091893_18,43Ki-A749
std_1588602094904_19,6m7W-GWUt
std_1588602097915_20,43Ki-A749
std_1588602100927_21,6m7W-GWUt
std_1588602103938_22,43Ki-A749
std_1588602106949_23,6m7W-GWUt
std_1588602109960_24,43Ki-A749
std_1588602112970_25,6m7W-GWUt
std_1588602115982_26,43Ki-A749
std_1588602118994_27,6m7W-GWUt
std_1588602122004_28,43Ki-A749
std_1588602125015_29,6m7W-GWUt
std_1588602128027_30,43Ki-A749
std_1588602131038_31,6m7W-GWUt
std_1588602134049_32,43Ki-A749
std_1588602137060_33,6m7W-GWUt
std_1588602140072_34,43Ki-A749
std_1588602143082_35,6m7W-GWUt
std_1588602146094_36,43Ki-A749
std_1588602149106_37,6m7W-GWUt
std_1588602152116_38,43Ki-A749
std_1588602155129_39,6m7W-GWUt
std_1588602158140_40,43Ki-A749
std_1589169815446_1,Z3Hx-pZTF
std_1589169817717_2,mDG6-FM7R
std_1589169819441_3,7Tc4-vxG2
std_1589169821440_4,8AoR-x7ks
std_1589169823616_5,nT8Q-YdBb
std_1589169825441_6,8F3Z-iy2J
std_1589169827445_7,aZFh-PtJM
std_1589169829440_8,bk7R-mHTc
std_1589169831442_9,KnZh-KZT8
std_1589169833448_10,XLaB-7p4x
std_1589169835453_11,3JeN-KjbC
std_1589169837457_12,yEHg-A829
std_1589169839462_13,AF2X-H6tu
std_1589169841467_14,3vYh-ntA2
std_1589169843472_15,J8D7-J9Gh
std_1589169845478_16,siT2-Ws9E
std_1589169849488_18,fu2e-Vu6f
std_1589169851492_19,Po7r-umnL
std_1589169853497_20,uNP6-dp6m
std_1589169855503_21,ytYu-8xbg
std_1589169857507_22,Qc2N-kFGQ
std_1589169859514_23,ZgsT-9vgU
std_1589169861518_24,YzVH-L9u8
std_1589169863524_25,tXAh-sbU3
std_1589169865528_26,zuqk-7VZP
std_1589169867532_27,JCbu-4DxJ
std_1589169869538_28,TH8Q-TWe7
std_1589169871543_29,CRtc-9eVq
std_1589169873547_30,nYtX-9iR6
std_1589169875555_31,Vy8V-43x8
std_1589169877577_32,Q7mB-m7ur
std_1589169879584_33,2t72-84Gb
std_1589169881593_34,Es7i-mpUy
std_1589169883596_35,8J94-Np4E
std_1589169885601_36,Mo73-gzme
std_1589169887607_37,8WH9-H8wE
std_1589169889612_38,jwfK-87wX
std_1589169891617_39,LbrL-JmwR
std_1589169893620_40,6k48-62tX
std_1589169897631_42,6sRB-fT7W
std_1589169899635_43,oD76-JwtT
std_1589169901640_44,e6Q8-H6B3
std_1589169903644_45,v7F8-irhV
std_1589169905651_46,AbGf-TA3E
std_1589169907651_47,7hQd-4uFL
std_1589169911652_49,u9xo-672g
std_1589169913666_50,46mV-p4Fp
std_1589169915666_51,xqt8-3nv2
std_1589169917666_52,8Q4o-zJ9U
std_1589169919683_53,Ah4d-46NY
std_1589169921683_54,i6ye-hP63
std_1589169923683_55,Tay9-Lg9D
std_1589169925699_56,Tn2P-omq6
std_1589169927699_57,r4ef-NiDY
std_1589169929698_58,74bw-nxF4
std_1589169931713_59,4G23-UV27
std_1589169933713_60,msFb-zD7G
std_1589169937730_62,2qH3-6X67
std_1589169939729_63,8EAK-Csnc
std_1589169941734_64,kuHQ-kzMN
std_1589169943730_65,q6i4-Q3t3
std_1589169945747_66,XCYv-itw9
std_1589169947746_67,hu4U-ETt6
std_1589169949746_68,e4h3-LmUa
std_1589169951761_69,7ezd-7B3o
std_1589169953777_70,jVT8-AwEF
std_1589169955800_71,C8GY-A4iU
std_1589169957807_72,oz8s-UJV9
std_1589169959813_73,YbzE-vjA7
std_1589169963822_75,8ot9-8coj
std_1589169965826_76,xs6d-AHtE
std_1589169967831_77,636s-F8U2
std_1589169969836_78,i8PC-gRgU
std_1589169971841_79,38fF-hCpM
std_1589169973845_80,Z8Gh-8hbZ
std_1589169975851_81,Z2ZR-wgGv
std_1589169977856_82,GEJy-ZEZG
std_1589169979860_83,2czp-eN4r
std_1589169981865_84,Ct79-t7c4
std_1589169983871_85,JZC4-g386
