stdextid,groupid
std_1601296954027_1,c2a9d8c1-4556-4aef-abf6-fcf5df0e6ca7
std_1601296944460_1,c2a9d8c1-4556-4aef-abf6-fcf5df0e6ca7
std_1601296934922_1,c2a9d8c1-4556-4aef-abf6-fcf5df0e6ca7
std_1601296925021_1,c2a9d8c1-4556-4aef-abf6-fcf5df0e6ca7
std_1601296913987_1,c2a9d8c1-4556-4aef-abf6-fcf5df0e6ca7
std_1601296973679_2,513f840c-01c7-4f0d-b968-b20ae2215df0
std_1601296964144_2,513f840c-01c7-4f0d-b968-b20ae2215df0
std_1601296952733_2,513f840c-01c7-4f0d-b968-b20ae2215df0
std_1601296902422_1,21d58aac-b5b9-4727-bf64-1ecbe1d7d6fc
std_1601296894708_1,21d58aac-b5b9-4727-bf64-1ecbe1d7d6fc
std_1601296941507_2,513f840c-01c7-4f0d-b968-b20ae2215df0
std_1601296887054_1,21d58aac-b5b9-4727-bf64-1ecbe1d7d6fc
std_1601296934043_2,513f840c-01c7-4f0d-b968-b20ae2215df0
std_1601296877737_1,21d58aac-b5b9-4727-bf64-1ecbe1d7d6fc
std_1601296868224_1,21d58aac-b5b9-4727-bf64-1ecbe1d7d6fc
std_1601297002926_3,8e150f2f-7028-4db4-b9a0-c7b96f8dbe75
std_1601296990814_3,8e150f2f-7028-4db4-b9a0-c7b96f8dbe75
std_1601296923634_2,c9cfb85f-4bf2-4963-9825-5b05845e495a
std_1601296978492_3,8e150f2f-7028-4db4-b9a0-c7b96f8dbe75
std_1601296855870_1,3cb8f5f1-c99e-4271-83d3-ecb5d223e2ae
std_1601296911895_2,c9cfb85f-4bf2-4963-9825-5b05845e495a
std_1601296968369_3,8e150f2f-7028-4db4-b9a0-c7b96f8dbe75
std_1601296901560_2,c9cfb85f-4bf2-4963-9825-5b05845e495a
std_1601296845047_1,3cb8f5f1-c99e-4271-83d3-ecb5d223e2ae
std_1601296955979_3,8e150f2f-7028-4db4-b9a0-c7b96f8dbe75
std_1601296889208_2,c9cfb85f-4bf2-4963-9825-5b05845e495a
std_1601297015020_4,0c217486-f3cd-422d-89a8-4b3987107602
std_1601296836410_1,3cb8f5f1-c99e-4271-83d3-ecb5d223e2ae
std_1601296877751_2,c9cfb85f-4bf2-4963-9825-5b05845e495a
std_1601296827834_1,3cb8f5f1-c99e-4271-83d3-ecb5d223e2ae
std_1601297004701_4,0c217486-f3cd-422d-89a8-4b3987107602
std_1601296815428_1,3cb8f5f1-c99e-4271-83d3-ecb5d223e2ae
std_1601296995690_4,0c217486-f3cd-422d-89a8-4b3987107602
std_1601296948359_3,d9d5c955-0c4d-4981-b2a9-362531d04909
std_1601296987996_4,0c217486-f3cd-422d-89a8-4b3987107602
std_1601296940109_3,d9d5c955-0c4d-4981-b2a9-362531d04909
std_1601296978492_4,0c217486-f3cd-422d-89a8-4b3987107602
std_1601296865810_2,9ea11480-a1b6-4e31-b88b-8a2c63ddcf33
std_1601296929724_3,d9d5c955-0c4d-4981-b2a9-362531d04909
std_1601296803282_1,e11fd6ff-f420-484f-9d6f-85329ab92bfa
std_1601296857986_2,9ea11480-a1b6-4e31-b88b-8a2c63ddcf33
std_1601296920799_3,d9d5c955-0c4d-4981-b2a9-362531d04909
std_1601296793459_1,e11fd6ff-f420-484f-9d6f-85329ab92bfa
std_1601296848004_2,9ea11480-a1b6-4e31-b88b-8a2c63ddcf33
std_1601296911803_3,d9d5c955-0c4d-4981-b2a9-362531d04909
std_1601296782064_1,e11fd6ff-f420-484f-9d6f-85329ab92bfa
std_1601296838250_2,9ea11480-a1b6-4e31-b88b-8a2c63ddcf33
std_1601297044023_5,c49f1fa1-447f-437a-9158-c2b4046a3a47
std_1601296967390_4,7761cb92-f111-41ca-b4c9-5ebb0733b126
std_1601296774093_1,e11fd6ff-f420-484f-9d6f-85329ab92bfa
std_1601296829520_2,9ea11480-a1b6-4e31-b88b-8a2c63ddcf33
std_1601297035761_5,c49f1fa1-447f-437a-9158-c2b4046a3a47
std_1601296956844_4,7761cb92-f111-41ca-b4c9-5ebb0733b126
std_1601296765110_1,e11fd6ff-f420-484f-9d6f-85329ab92bfa
std_1601297027547_5,c49f1fa1-447f-437a-9158-c2b4046a3a47
std_1601296949180_4,7761cb92-f111-41ca-b4c9-5ebb0733b126
std_1601297015366_5,c49f1fa1-447f-437a-9158-c2b4046a3a47
std_1601296899705_3,875ad042-b357-4c55-95cc-ba8cfe1923c1
std_1601296941341_4,7761cb92-f111-41ca-b4c9-5ebb0733b126
std_1601297006101_5,c49f1fa1-447f-437a-9158-c2b4046a3a47
std_1601296892120_3,875ad042-b357-4c55-95cc-ba8cfe1923c1
std_1601296930609_4,7761cb92-f111-41ca-b4c9-5ebb0733b126
std_1601296821219_2,933cc311-179e-4c07-9bbd-dfb1f2510fc8
std_1601296882049_3,875ad042-b357-4c55-95cc-ba8cfe1923c1
std_1601296813452_2,933cc311-179e-4c07-9bbd-dfb1f2510fc8
std_1601297066176_6,782b3fa8-1572-4297-a0b3-86f36f1cd68a
std_1601296873682_3,875ad042-b357-4c55-95cc-ba8cfe1923c1
std_1601296805610_2,933cc311-179e-4c07-9bbd-dfb1f2510fc8
std_1601296994078_5,46db7eca-206c-4e8f-9976-9d3cba5ec08e
std_1601297058268_6,782b3fa8-1572-4297-a0b3-86f36f1cd68a
std_1601296861502_3,875ad042-b357-4c55-95cc-ba8cfe1923c1
std_1601296794550_2,933cc311-179e-4c07-9bbd-dfb1f2510fc8
std_1601296920666_4,96057cdc-ada5-4a2d-832b-6fcd7b24337b
std_1601296982777_5,46db7eca-206c-4e8f-9976-9d3cba5ec08e
std_1601297049975_6,782b3fa8-1572-4297-a0b3-86f36f1cd68a
std_1601296782209_2,933cc311-179e-4c07-9bbd-dfb1f2510fc8
std_1601296911076_4,96057cdc-ada5-4a2d-832b-6fcd7b24337b
std_1601296972600_5,46db7eca-206c-4e8f-9976-9d3cba5ec08e
std_1601297040247_6,782b3fa8-1572-4297-a0b3-86f36f1cd68a
std_1601296963769_5,46db7eca-206c-4e8f-9976-9d3cba5ec08e
std_1601296901621_4,96057cdc-ada5-4a2d-832b-6fcd7b24337b
std_1601297029394_6,782b3fa8-1572-4297-a0b3-86f36f1cd68a
std_1601296849774_3,aa7047c3-e869-4c24-94ff-cdb839444980
std_1601296956172_5,46db7eca-206c-4e8f-9976-9d3cba5ec08e
std_1601296892176_4,96057cdc-ada5-4a2d-832b-6fcd7b24337b
std_1601296837483_3,aa7047c3-e869-4c24-94ff-cdb839444980
std_1601296882840_4,96057cdc-ada5-4a2d-832b-6fcd7b24337b
std_1601296826573_3,aa7047c3-e869-4c24-94ff-cdb839444980
std_1601296818380_3,aa7047c3-e869-4c24-94ff-cdb839444980
std_1601297017089_6,386bdf29-4433-4b92-8737-e6aee414d108
std_1601296809293_3,aa7047c3-e869-4c24-94ff-cdb839444980
std_1601296948531_5,d4a65aea-c170-4853-b01e-1038b6b100d3
std_1601296875124_4,895624ff-3a20-4c45-ac58-907b934f31b2
std_1601297008023_6,386bdf29-4433-4b92-8737-e6aee414d108
std_1601296866055_4,895624ff-3a20-4c45-ac58-907b934f31b2
std_1601296938557_5,d4a65aea-c170-4853-b01e-1038b6b100d3
std_1601296998851_6,386bdf29-4433-4b92-8737-e6aee414d108
std_1601296856757_4,895624ff-3a20-4c45-ac58-907b934f31b2
std_1601296928868_5,d4a65aea-c170-4853-b01e-1038b6b100d3
std_1601296988160_6,386bdf29-4433-4b92-8737-e6aee414d108
std_1601296844496_4,895624ff-3a20-4c45-ac58-907b934f31b2
std_1601297104193_7,7ab2ad97-136e-420d-8163-06f1c9bc320b
std_1601296917168_5,d4a65aea-c170-4853-b01e-1038b6b100d3
std_1601296979662_6,386bdf29-4433-4b92-8737-e6aee414d108
std_1601296833957_4,895624ff-3a20-4c45-ac58-907b934f31b2
std_1601297091992_7,7ab2ad97-136e-420d-8163-06f1c9bc320b
std_1601296906157_5,d4a65aea-c170-4853-b01e-1038b6b100d3
std_1601297081723_7,7ab2ad97-136e-420d-8163-06f1c9bc320b
std_1601297070989_7,7ab2ad97-136e-420d-8163-06f1c9bc320b
std_1601297119543_8,dd1f1b87-e675-4c17-b09e-aa5461229d52
std_1601296972091_6,33e32e3a-e5d3-4054-a25e-7f171ed37be8
std_1601296898327_5,04e7ea4b-25a2-4cc4-98fb-67fe34c71f9a
std_1601297059669_7,7ab2ad97-136e-420d-8163-06f1c9bc320b
std_1601296961932_6,33e32e3a-e5d3-4054-a25e-7f171ed37be8
std_1601297111567_8,dd1f1b87-e675-4c17-b09e-aa5461229d52
std_1601296950842_6,33e32e3a-e5d3-4054-a25e-7f171ed37be8
std_1601297099450_8,dd1f1b87-e675-4c17-b09e-aa5461229d52
std_1601296888864_5,04e7ea4b-25a2-4cc4-98fb-67fe34c71f9a
std_1601297090842_8,dd1f1b87-e675-4c17-b09e-aa5461229d52
std_1601296941742_6,33e32e3a-e5d3-4054-a25e-7f171ed37be8
std_1601296876512_5,04e7ea4b-25a2-4cc4-98fb-67fe34c71f9a
std_1601297080840_8,dd1f1b87-e675-4c17-b09e-aa5461229d52
std_1601296864812_5,04e7ea4b-25a2-4cc4-98fb-67fe34c71f9a
std_1601296932874_6,33e32e3a-e5d3-4054-a25e-7f171ed37be8
std_1601297048657_7,b66639af-ed6d-447c-8194-d56232ccac83
std_1601296855632_5,04e7ea4b-25a2-4cc4-98fb-67fe34c71f9a
std_1601297036618_7,b66639af-ed6d-447c-8194-d56232ccac83
std_1601297026625_7,b66639af-ed6d-447c-8194-d56232ccac83
std_1601297141345_9,d5f382d5-f9ab-4b74-9403-e152047772c2
std_1601297072755_8,2c7170d5-fc69-4ed3-8788-09a21e649b9a
std_1601297018258_7,b66639af-ed6d-447c-8194-d56232ccac83
std_1601297129520_9,d5f382d5-f9ab-4b74-9403-e152047772c2
std_1601297062941_8,2c7170d5-fc69-4ed3-8788-09a21e649b9a
std_1601297007954_7,b66639af-ed6d-447c-8194-d56232ccac83
std_1601296925279_6,8f206249-d97d-4497-b6b8-5d3421394766
std_1601297121892_9,d5f382d5-f9ab-4b74-9403-e152047772c2
std_1601297055340_8,2c7170d5-fc69-4ed3-8788-09a21e649b9a
std_1601296916914_6,8f206249-d97d-4497-b6b8-5d3421394766
std_1601297113823_9,d5f382d5-f9ab-4b74-9403-e152047772c2
std_1601297046590_8,2c7170d5-fc69-4ed3-8788-09a21e649b9a
std_1601296904928_6,8f206249-d97d-4497-b6b8-5d3421394766
std_1601297103956_9,d5f382d5-f9ab-4b74-9403-e152047772c2
std_1601297036492_8,2c7170d5-fc69-4ed3-8788-09a21e649b9a
std_1601296893115_6,8f206249-d97d-4497-b6b8-5d3421394766
std_1601296996213_7,3a90dd97-a899-48f5-8ebe-657732d9d62e
std_1601296881170_6,8f206249-d97d-4497-b6b8-5d3421394766
std_1601296985424_7,3a90dd97-a899-48f5-8ebe-657732d9d62e
std_1601296973697_7,3a90dd97-a899-48f5-8ebe-657732d9d62e
std_1601297095216_9,7bb8ed74-4141-43e5-8804-ff93392a5bde
std_1601297025870_8,c8ecd1ed-adf7-407c-96db-d19aab39d8f6
std_1601296966170_7,3a90dd97-a899-48f5-8ebe-657732d9d62e
std_1601297086403_9,7bb8ed74-4141-43e5-8804-ff93392a5bde
std_1601297018226_8,c8ecd1ed-adf7-407c-96db-d19aab39d8f6
std_1601296957318_7,3a90dd97-a899-48f5-8ebe-657732d9d62e
std_1601297170618_10,f458a8e0-a149-4402-85c9-b768db97c13a
std_1601297075788_9,7bb8ed74-4141-43e5-8804-ff93392a5bde
std_1601297006092_8,c8ecd1ed-adf7-407c-96db-d19aab39d8f6
std_1601297160487_10,f458a8e0-a149-4402-85c9-b768db97c13a
std_1601297065053_9,7bb8ed74-4141-43e5-8804-ff93392a5bde
std_1601296994794_8,c8ecd1ed-adf7-407c-96db-d19aab39d8f6
std_1601297148283_10,f458a8e0-a149-4402-85c9-b768db97c13a
std_1601297053524_9,7bb8ed74-4141-43e5-8804-ff93392a5bde
std_1601296983030_8,c8ecd1ed-adf7-407c-96db-d19aab39d8f6
std_1601297137875_10,f458a8e0-a149-4402-85c9-b768db97c13a
std_1601297127176_10,f458a8e0-a149-4402-85c9-b768db97c13a
std_1601296946091_7,22af7998-b30a-451b-8df5-c7cfce8e0d14
std_1601297188579_11,fa960433-8c3e-4189-b6ea-f2e2a2051013
std_1601296938370_7,22af7998-b30a-451b-8df5-c7cfce8e0d14
