stdextid,category,category_type,orgid,productcode
std_StdCat5_1720600841222_37_17,StdCat5,L,perf-test9-alpha,perfprod110
std_StdCat2_1720597159074_10_33,StdCat2,H1,perf-test4-alpha,perfprod110
std_StdCat3_1720599068341_24_127,StdCat3,H2,perf-test4-alpha,perfprod110
std_StdCat4_1720599750223_29_57,StdCat4,M,perf-test9-alpha,perfprod110
std_StdCat4_1720600159342_32_63,StdCat4,H1,perf-test9-alpha,perfprod110
std_StdCat2_1720597295438_11_131,StdCat2,H2,perf-test4-alpha,perfprod110
std_StdCat3_1720598931969_23_22,StdCat3,H2,perf-test4-alpha,perfprod110
std_StdCat5_1720600841222_37_34,StdCat5,L,perf-test9-alpha,perfprod110
std_StdCat3_1720597568201_13_6,StdCat3,L,perf-test4-alpha,perfprod110
std_StdCat3_1720598795602_22_51,StdCat3,H1,perf-test4-alpha,perfprod110
std_StdCat3_1720598659219_21_49,StdCat3,H1,perf-test4-alpha,perfprod110
std_StdCat3_1720597977322_16_18,StdCat3,L,perf-test4-alpha,perfprod110
std_StdCat3_1720597977322_16_31,StdCat3,L,perf-test4-alpha,perfprod110
std_StdCat3_1720599068341_24_32,StdCat3,H2,perf-test4-alpha,perfprod110
std_StdCat4_1720599477481_27_7,StdCat4,L,perf-test9-alpha,perfprod110
std_StdCat4_1720600022964_31_34,StdCat4,H1,perf-test9-alpha,perfprod110
std_StdCat2_1720596204442_3_11,StdCat2,L,perf-test4-alpha,perfprod110
std_StdCat3_1720599068341_24_97,StdCat3,H2,perf-test4-alpha,perfprod110
std_StdCat3_1720598795602_22_92,StdCat3,H1,perf-test4-alpha,perfprod110
std_StdCat2_1720597431825_12_56,StdCat2,H2,perf-test4-alpha,perfprod110
std_StdCat4_1720600295723_33_40,StdCat4,H2,perf-test9-alpha,perfprod110
std_StdCat2_1720597295438_11_40,StdCat2,H2,perf-test4-alpha,perfprod110
std_StdCat2_1720596749933_7_15,StdCat2,M,perf-test4-alpha,perfprod110
std_StdCat3_1720598113718_17_15,StdCat3,L,perf-test4-alpha,perfprod110
std_StdCat4_1720599204720_25_50,StdCat4,L,perf-test9-alpha,perfprod110
std_StdCat3_1720598250091_18_17,StdCat3,L,perf-test4-alpha,perfprod110
std_StdCat5_1720601386727_41_13,StdCat5,H1,perf-test9-alpha,perfprod110
std_StdCat4_1720599204720_25_44,StdCat4,L,perf-test9-alpha,perfprod110
std_StdCat4_1720599886586_30_24,StdCat4,M,perf-test9-alpha,perfprod110
std_StdCat4_1720600432100_34_25,StdCat4,H2,perf-test9-alpha,perfprod110
std_StdCat5_1720601659491_43_106,StdCat5,H2,perf-test9-alpha,perfprod110
std_StdCat5_1720601659491_43_36,StdCat5,H2,perf-test9-alpha,perfprod110
std_StdCat4_1720600295723_33_138,StdCat4,H2,perf-test9-alpha,perfprod110
std_StdCat2_1720597159074_10_38,StdCat2,H1,perf-test4-alpha,perfprod110
std_StdCat4_1720600022964_31_66,StdCat4,H1,perf-test9-alpha,perfprod110
std_StdCat2_1720597431825_12_81,StdCat2,H2,perf-test4-alpha,perfprod110
std_StdCat4_1720600432100_34_27,StdCat4,H2,perf-test9-alpha,perfprod110
std_StdCat2_1720597431825_12_123,StdCat2,H2,perf-test4-alpha,perfprod110
std_StdCat2_1720596340811_4_10,StdCat2,L,perf-test4-alpha,perfprod110
