student,classcode
perf_prod_std_04211,bM2c-iMgB
perf_prod_std_04212,dQTG-i97U
perf_prod_std_04213,PcV8-h3fW
perf_prod_std_04214,A3gG-jaXK
perf_prod_std_04215,EH2b-GiHF
perf_prod_std_04216,J2c3-4ANE
perf_prod_std_04217,PFeG-7cLb
perf_prod_std_04218,aKc6-9V2H
perf_prod_std_04219,fGg3-6H6h
perf_prod_std_04220,dM7W-T6Ja
perf_prod_std_04221,Qd28-V7gU
perf_prod_std_04222,6e3N-bHeA
perf_prod_std_04223,jX2Y-L2Pf
perf_prod_std_04224,QC7D-QV7g
perf_prod_std_04225,Teg7-K6Bg
perf_prod_std_04226,BbM3-WJbU
perf_prod_std_04227,2F3J-PdLi
perf_prod_std_04228,QYbh-ZcNd
perf_prod_std_04229,KFPa-HWLg
perf_prod_std_04230,72Da-N68g
perf_prod_std_04231,JdVR-gaBF
perf_prod_std_04232,4be3-7TR9
perf_prod_std_04233,hYP7-aBFY
perf_prod_std_04234,fU3d-eVcA
perf_prod_std_04235,d87j-9h4b
perf_prod_std_04236,6Df2-729U
perf_prod_std_04237,3R7D-4gB3
perf_prod_std_04238,hWf3-d3fH
perf_prod_std_04239,eEKd-H98c
perf_prod_std_04240,gbGH-XF3L
perf_prod_std_04241,4d8R-eHAe
perf_prod_std_04242,gW7g-MGac
perf_prod_std_04243,XRch-jH3i
perf_prod_std_04244,i6AE-HZ73
perf_prod_std_04245,hBa7-TCaj
perf_prod_std_04246,UHd4-E2Wi
perf_prod_std_04247,dFa9-K7N9
perf_prod_std_04248,fHdi-he92
perf_prod_std_04249,9cBA-fcVg
perf_prod_std_04250,2X8U-A83a
perf_prod_std_04251,iN9Q-gaPQ
perf_prod_std_04252,H7ag-bY96
perf_prod_std_04253,a8jM-236C
perf_prod_std_04254,igTN-6Nd8
perf_prod_std_04255,4EgP-ec9B
perf_prod_std_04256,2cUH-4J3D
perf_prod_std_04257,HgQU-hGDV
perf_prod_std_04258,gTc2-3Z82
perf_prod_std_04259,NZEW-f7iG
perf_prod_std_04260,K2d2-feKi
perf_prod_std_04261,jPeb-3c87
perf_prod_std_04262,7eEP-fj3f
perf_prod_std_04263,c8P2-Ugj9
perf_prod_std_04264,f2e3-2igc
perf_prod_std_04265,92Nc-H64Y
perf_prod_std_04266,eRW3-acUd
perf_prod_std_04267,c86U-bci8
perf_prod_std_04268,MA46-W2Md
perf_prod_std_04269,K79j-igjb
perf_prod_std_04270,dMH7-bG36
perf_prod_std_04271,6B7a-c6Ua
perf_prod_std_04272,ZHMf-XB4j
perf_prod_std_04273,dT93-jgTU
perf_prod_std_04274,JYWT-i29M
perf_prod_std_04275,fidc-haXa
perf_prod_std_04276,C2QW-giZ6
perf_prod_std_04277,hjJ9-BgiH
