extuserid,class,classcode,bundleCount
tch_20220828-032417_18,Perf_class_20220828-032417_18,8J9J-nNZD,0
tch_20220828-032417_19,Perf_class_20220828-032417_19,bGBy-L4pw,0
tch_20220828-032417_20,Perf_class_20220828-032417_20,sD4a-g8Gc,0
tch_20220828-032417_21,Perf_class_20220828-032417_21,Y82D-z4PJ,0
tch_20220828-032417_22,Perf_class_20220828-032417_22,bJ2s-A4MZ,0
tch_20220828-032417_23,Perf_class_20220828-032417_23,wCdC-XV9V,0
tch_20220828-032417_25,Perf_class_20220828-032417_25,AM2e-8Dve,0
tch_20220828-032417_24,Perf_class_20220828-032417_24,9zP2-uN47,0
tch_20220828-032417_27,Perf_class_20220828-032417_27,83W3-Q6dq,0
tch_20220828-032417_26,Perf_class_20220828-032417_26,BsRY-6kt8,0
tch_20220828-032417_28,Perf_class_20220828-032417_28,zLqP-sf3w,1
tch_20220828-032417_30,Perf_class_20220828-032417_30,2t2h-aU6a,1
tch_20220828-032417_29,Perf_class_20220828-032417_29,7PgV-hmV4,1
tch_20220828-032417_31,Perf_class_20220828-032417_31,o797-rbEo,1
tch_20220828-032417_32,Perf_class_20220828-032417_32,7sR8-KWYd,1
tch_20220828-032417_33,Perf_class_20220828-032417_33,bp97-97yg,1
tch_20220828-032417_34,Perf_class_20220828-032417_34,8B4Q-e3s3,1
tch_20220828-032417_35,Perf_class_20220828-032417_35,2Vmh-2PD2,1
tch_20220828-032417_36,Perf_class_20220828-032417_36,7x24-o26t,1
tch_20220828-032417_37,Perf_class_20220828-032417_37,AoMy-d3Q4,1
tch_20220828-032417_38,Perf_class_20220828-032417_38,3JtQ-47W6,2
tch_20220828-032417_39,Perf_class_20220828-032417_39,9h8J-8hjN,2
tch_20220828-032417_40,Perf_class_20220828-032417_40,sg9b-Byeq,2
tch_20220828-032417_41,Perf_class_20220828-032417_41,U4GB-68C2,2
tch_20220828-032417_43,Perf_class_20220828-032417_43,wLjy-iEg7,2
tch_20220828-032417_42,Perf_class_20220828-032417_42,ah9F-8UGW,2
tch_20220828-032417_44,Perf_class_20220828-032417_44,wDw9-nb6a,2
tch_20220828-032417_46,Perf_class_20220828-032417_46,8v28-ZqHK,2
tch_20220828-032417_45,Perf_class_20220828-032417_45,QZE7-rKPG,2
tch_20220828-032417_48,Perf_class_20220828-032417_48,oaYM-jCdB,2
tch_20220828-032417_47,Perf_class_20220828-032417_47,a8d9-8d89,2
tch_20220828-032417_49,Perf_class_20220828-032417_49,8EgJ-A83L,2
tch_20220828-032417_50,Perf_class_20220828-032417_50,ri2G-8x8Y,2
tch_20220828-032417_51,Perf_class_20220828-032417_51,buhQ-J39N,2
tch_20220828-032417_52,Perf_class_20220828-032417_52,DEh7-PgKe,2
tch_20220828-032417_54,Perf_class_20220828-032417_54,CAJn-pQ4R,2
tch_20220828-032417_53,Perf_class_20220828-032417_53,jUyu-Bbuv,2
tch_20220828-032417_55,Perf_class_20220828-032417_55,B68K-8rP9,2
tch_20220828-032417_56,Perf_class_20220828-032417_56,4gxW-nH3i,2
tch_20220828-032417_57,Perf_class_20220828-032417_57,AZh7-uD8a,2
tch_20220828-032417_58,Perf_class_20220828-032417_58,3h68-PDTX,2
tch_20220828-032417_59,Perf_class_20220828-032417_59,T6VE-9LGp,2
tch_20220828-032417_60,Perf_class_20220828-032417_60,xeF4-2wGx,3
tch_20220828-032417_61,Perf_class_20220828-032417_61,ex3a-xF29,3
tch_20220828-032417_62,Perf_class_20220828-032417_62,D3Bv-TpXq,3
tch_20220828-032417_63,Perf_class_20220828-032417_63,F74z-ythR,3
tch_20220828-032417_64,Perf_class_20220828-032417_64,4Wxh-4JRX,3
tch_20220828-032417_65,Perf_class_20220828-032417_65,MXA6-z42N,4
tch_20220828-032417_67,Perf_class_20220828-032417_67,CFaG-MW9L,4
tch_20220828-032417_66,Perf_class_20220828-032417_66,kRLC-D7mg,4
tch_20220828-032417_68,Perf_class_20220828-032417_68,3gbT-GT7n,0
tch_20220828-032417_69,Perf_class_20220828-032417_69,7M6t-FQeH,0
tch_20220828-032417_70,Perf_class_20220828-032417_70,6xzo-CZe3,0
tch_20220828-032417_71,Perf_class_20220828-032417_71,W8WK-p37Q,0
tch_20220828-032417_72,Perf_class_20220828-032417_72,67q9-B64M,0
tch_20220828-032417_74,Perf_class_20220828-032417_74,83we-2Qqp,0
tch_20220828-032417_73,Perf_class_20220828-032417_73,Z9y8-FTYA,0
tch_20220828-032417_75,Perf_class_20220828-032417_75,kaUD-KedG,0
tch_20220828-032417_76,Perf_class_20220828-032417_76,fH8X-Fyho,0
tch_20220828-032417_77,Perf_class_20220828-032417_77,ZDGb-WE8J,0
tch_20220828-032417_78,Perf_class_20220828-032417_78,c4X6-WNu8,1
tch_20220828-032417_79,Perf_class_20220828-032417_79,eH7s-K23T,1
tch_20220828-032417_80,Perf_class_20220828-032417_80,632k-zjxM,1
tch_20220828-032417_81,Perf_class_20220828-032417_81,dKZn-K7uH,1
tch_20220828-032417_82,Perf_class_20220828-032417_82,qb8T-sgUT,1
tch_20220828-032417_83,Perf_class_20220828-032417_83,uTvB-9ghX,1
tch_20220828-032417_84,Perf_class_20220828-032417_84,n27g-GbBY,1
tch_20220828-032417_85,Perf_class_20220828-032417_85,4na7-fR7v,1
tch_20220828-032417_86,Perf_class_20220828-032417_86,y7qM-L32J,1
tch_20220828-032417_87,Perf_class_20220828-032417_87,nQn3-Z9ba,1
tch_20220828-032417_88,Perf_class_20220828-032417_88,V6s9-W6f8,2
tch_20220828-032417_89,Perf_class_20220828-032417_89,U6kH-vKMz,2
