teacher,class,classcode
tch_20200710-200314_1,class_20200710-200314_1,n6L6-N6Py
tch_20200710-200314_3,class_20200710-200314_3,BLEi-k8Lv
tch_20200710-200314_2,class_20200710-200314_2,g2vq-AnER
tch_20200710-200314_5,class_20200710-200314_5,Yy8v-r23y
tch_20200710-200314_4,class_20200710-200314_4,JaxH-7Jgo
tch_20200710-200314_6,class_20200710-200314_6,8H47-yGk4
tch_20200710-200314_7,class_20200710-200314_7,WD7z-U2od
tch_20200710-200314_8,class_20200710-200314_8,xo7K-jrG3
tch_20200710-200314_10,class_20200710-200314_10,ktC2-T6U9
tch_20200710-200314_9,class_20200710-200314_9,T2e8-7FWk
tch_20200710-200314_11,class_20200710-200314_11,wDk7-M98Y
tch_20200710-200314_12,class_20200710-200314_12,8K82-68N6
tch_20200710-200314_13,class_20200710-200314_13,8pJ6-wRyx
tch_20200710-200314_14,class_20200710-200314_14,Zf3V-KHv2
tch_20200710-200314_15,class_20200710-200314_15,4rTn-NvDq
tch_20200710-200314_16,class_20200710-200314_16,27pN-XBoZ
tch_20200710-200314_17,class_20200710-200314_17,JaUd-rekX
tch_20200710-200314_18,class_20200710-200314_18,vc64-2Tqt
tch_20200710-200314_20,class_20200710-200314_20,6CK7-d6D7
tch_20200710-200314_19,class_20200710-200314_19,67nZ-696d
tch_20200710-200314_21,class_20200710-200314_21,FzT9-gRrg
tch_20200710-200314_23,class_20200710-200314_23,kY6U-DHor
tch_20200710-200314_22,class_20200710-200314_22,Fz79-HWYV
tch_20200710-200314_24,class_20200710-200314_24,Fk3i-nau7
tch_20200710-200314_25,class_20200710-200314_25,E42k-QyD3
tch_20200710-200314_26,class_20200710-200314_26,QZND-iMXs
tch_20200710-200314_27,class_20200710-200314_27,DJBF-7tPf
tch_20200710-200314_28,class_20200710-200314_28,43Xd-Zd46
tch_20200710-200314_29,class_20200710-200314_29,AzH6-z2xw
tch_20200710-200314_30,class_20200710-200314_30,jrq3-W7ya
tch_20200710-200314_31,class_20200710-200314_31,UPfT-9gLK
tch_20200710-200314_32,class_20200710-200314_32,Avsk-6zvf
tch_20200710-200314_34,class_20200710-200314_34,ACsF-7fVJ
tch_20200710-200314_33,class_20200710-200314_33,W92y-3Qqx
tch_20200710-200314_35,class_20200710-200314_35,2DZn-8vex
tch_20200710-200314_36,class_20200710-200314_36,gzZQ-3vXF
tch_20200710-200314_37,class_20200710-200314_37,X3xq-r2en
tch_20200710-200314_38,class_20200710-200314_38,7kxz-YwCn
tch_20200710-200314_40,class_20200710-200314_40,zmDE-d9dH
tch_20200710-200314_39,class_20200710-200314_39,468q-4pdb
tch_20200710-200314_41,class_20200710-200314_41,Bbu9-saup
tch_20200710-200314_42,class_20200710-200314_42,7K6J-y3Ex
tch_20200710-200314_44,class_20200710-200314_44,k3u4-8fx9
tch_20200710-200314_43,class_20200710-200314_43,kFL4-98k2
