teacher,classtitle,classcode
tch_20200513-121247_628,class_20200513-121247_628,Y2ye-hDw9
tch_20200513-121247_631,class_20200513-121247_631,Xd8L-h4uj
tch_20200513-121247_632,class_20200513-121247_632,UFm3-nmvP
tch_20200513-121247_633,class_20200513-121247_633,rXgc-tJ3N
tch_20200513-121247_634,class_20200513-121247_634,7T3H-3v8h
tch_20200513-121247_636,class_20200513-121247_636,tU67-QU89
tch_20200513-121247_635,class_20200513-121247_635,vJab-dC28
tch_20200513-121247_638,class_20200513-121247_638,v9Xo-U7it
tch_20200513-121247_637,class_20200513-121247_637,u9h4-jg9N
tch_20200513-121247_639,class_20200513-121247_639,rmg4-E3we
tch_20200513-121247_640,class_20200513-121247_640,GXyJ-nEZ6
tch_20200513-121247_642,class_20200513-121247_642,s72u-4r8d
tch_20200513-121247_641,class_20200513-121247_641,29Pb-34TG
tch_20200513-121247_644,class_20200513-121247_644,8wtR-dwvX
tch_20200513-121247_643,class_20200513-121247_643,Hs6Y-k9Pc
tch_20200513-121247_645,class_20200513-121247_645,vXFw-J6GP
tch_20200513-121247_646,class_20200513-121247_646,Dx72-34HU
tch_20200513-121247_647,class_20200513-121247_647,tsyo-K4Bj
tch_20200513-121247_648,class_20200513-121247_648,fcFN-FYs8
tch_20200513-121247_649,class_20200513-121247_649,e83t-Y8ve
tch_20200513-121247_650,class_20200513-121247_650,6JPz-tA93
tch_20200513-121247_651,class_20200513-121247_651,GJ2A-i9u6
tch_20200513-121247_653,class_20200513-121247_653,d4rD-f8Ys
tch_20200513-121247_652,class_20200513-121247_652,iQGV-peWJ
tch_20200513-121247_654,class_20200513-121247_654,xzPZ-7d4B
tch_20200513-121247_655,class_20200513-121247_655,G79D-koWp
tch_20200513-121247_656,class_20200513-121247_656,Paf3-Q6t3
tch_20200513-121247_657,class_20200513-121247_657,p8k6-Rzo6
tch_20200513-121247_659,class_20200513-121247_659,mdGQ-AZxK
tch_20200513-121247_660,class_20200513-121247_660,XBwQ-PNaf
tch_20200513-121247_658,class_20200513-121247_658,i42V-9V3H
tch_20200513-121247_661,class_20200513-121247_661,62z3-bB4u
tch_20200513-121247_662,class_20200513-121247_662,he7M-96oC
tch_20200513-121247_663,class_20200513-121247_663,938c-om3C
tch_20200513-121247_666,class_20200513-121247_666,NhKy-K4z4
tch_20200513-121247_664,class_20200513-121247_664,wyYi-oPgt
tch_20200513-121247_665,class_20200513-121247_665,UcJs-MoUy
tch_20200513-121247_668,class_20200513-121247_668,8FHU-t3o9
tch_20200513-121247_667,class_20200513-121247_667,6oTM-9t2f
tch_20200513-121247_670,class_20200513-121247_670,jtd8-gqX7
tch_20200513-121247_669,class_20200513-121247_669,Ra4y-x9up
tch_20200513-121247_671,class_20200513-121247_671,h6J6-C8vL
tch_20200513-121247_673,class_20200513-121247_673,3ubK-pza9
tch_20200513-121247_674,class_20200513-121247_674,2t7x-iH64
tch_20200513-121247_672,class_20200513-121247_672,67ka-7Ux6
tch_20200513-121247_675,class_20200513-121247_675,vKzB-893o
tch_20200513-121247_676,class_20200513-121247_676,NUdw-9o3v
tch_20200513-121247_677,class_20200513-121247_677,Bd6R-74Lh
tch_20200513-121247_678,class_20200513-121247_678,i4q7-37Lk
tch_20200513-121247_679,class_20200513-121247_679,sFZL-NLCV
tch_20200513-121247_681,class_20200513-121247_681,N3t7-69dY
tch_20200513-121247_680,class_20200513-121247_680,n8Nb-8ymp
tch_20200513-121247_683,class_20200513-121247_683,t4Ts-jxJw
tch_20200513-121247_682,class_20200513-121247_682,hwf2-W6VM
tch_20200513-121247_684,class_20200513-121247_684,dGYx-Db2A
tch_20200513-121247_685,class_20200513-121247_685,2HL7-4aY4
tch_20200513-121247_686,class_20200513-121247_686,bKtH-J2DV
tch_20200513-121247_687,class_20200513-121247_687,FgMc-whiG
tch_20200513-121247_688,class_20200513-121247_688,8ags-oqc8
tch_20200513-121247_690,class_20200513-121247_690,A3yi-6D3o
tch_20200513-121247_691,class_20200513-121247_691,4NzP-284E
tch_20200513-121247_689,class_20200513-121247_689,6tNR-6e6E
tch_20200513-121247_692,class_20200513-121247_692,2m6k-7J9E
tch_20200513-121247_693,class_20200513-121247_693,Qo3z-qA86
tch_20200513-121247_694,class_20200513-121247_694,6zei-v2u6
tch_20200513-121247_696,class_20200513-121247_696,7JmG-FVYW
tch_20200513-121247_695,class_20200513-121247_695,m2PL-3Yi4
tch_20200513-121247_698,class_20200513-121247_698,XQUa-s8aF
tch_20200513-121247_697,class_20200513-121247_697,At63-Ekmf
tch_20200513-121247_699,class_20200513-121247_699,949o-UHcy
tch_20200513-121247_700,class_20200513-121247_700,zQ8p-x3Ua
tch_20200513-121247_703,class_20200513-121247_703,dFLA-Uzpj
tch_20200513-121247_701,class_20200513-121247_701,Tdp6-Vfc9
tch_20200513-121247_702,class_20200513-121247_702,8g8x-bWiR
tch_20200513-121247_704,class_20200513-121247_704,A8dc-w6q7
tch_20200513-121247_705,class_20200513-121247_705,PfPc-Jrzx
tch_20200513-121247_707,class_20200513-121247_707,vrG4-p3nu
tch_20200513-121247_706,class_20200513-121247_706,q4tp-NL82
tch_20200513-121247_708,class_20200513-121247_708,d83a-hnu8
tch_20200513-121247_709,class_20200513-121247_709,KgMA-RgA3
