teacher,classcode,c,d,e,f,g,h
tch_20200513-093730_1338,class_20200513-093730_1338,Nv79-UPw4,,,,,
tch_20200513-093730_1339,class_20200513-093730_1339,2ijA-h6vW,,,,,
tch_20200513-093730_1340,class_20200513-093730_1340,8kJ6-JNAe,,,,,
tch_20200513-093730_1341,class_20200513-093730_1341,9Mts-4UHV,,,,,
tch_20200513-093730_1342,class_20200513-093730_1342,93v3-9zs6,,,,,
tch_20200513-093730_1344,class_20200513-093730_1344,92N9-4BPw,,,,,
tch_20200513-093730_1343,class_20200513-093730_1343,7mQy-nrn4,,,,,
tch_20200513-093730_1346,class_20200513-093730_1346,pR72-8Jxs,,,,,
tch_20200513-093730_1348,class_20200513-093730_1348,4iJ4-sP4c,,,,,
tch_20200513-093730_1345,class_20200513-093730_1345,DfMT-x62h,,,,,
tch_20200513-093730_1347,class_20200513-093730_1347,7isg-4ynx,,,,,
tch_20200513-093730_1349,class_20200513-093730_1349,xyh9-2BdE,,,,,
tch_20200513-093730_1350,class_20200513-093730_1350,x3Gw-gnTU,,,,,
tch_20200513-093730_1351,class_20200513-093730_1351,fB7T-jeU2,,,,,
tch_20200513-093730_1352,class_20200513-093730_1352,86LH-snx9,,,,,
tch_20200513-093730_1353,class_20200513-093730_1353,896k-6TE6,,,,,
tch_20200513-093730_1354,class_20200513-093730_1354,ejbC-4kWV,,,,,
tch_20200513-093730_1355,class_20200513-093730_1355,v8Q8-s9k7,,,,,
tch_20200513-093730_1356,class_20200513-093730_1356,HkZY-qEzA,,,,,
tch_20200513-093730_1357,class_20200513-093730_1357,PEcY-3upg,,,,,
tch_20200513-093730_1359,class_20200513-093730_1359,9kPW-3cdw,,,,,
tch_20200513-093730_1358,class_20200513-093730_1358,FX2b-UJ2y,,,,,
tch_20200513-093730_1360,class_20200513-093730_1360,eARr-dJ4i,,,,,
tch_20200513-093730_1362,class_20200513-093730_1362,oCM8-zqC7,,,,,
tch_20200513-093730_1364,class_20200513-093730_1364,tQ2g-f3j8,,,,,
tch_20200513-093730_1361,class_20200513-093730_1361,9GPz-QDQ7,,,,,
tch_20200513-093730_1363,class_20200513-093730_1363,rLnz-E9io,,,,,
tch_20200513-093730_1365,class_20200513-093730_1365,h7LG-Ns82,,,,,
tch_20200513-093730_1366,class_20200513-093730_1366,CZ3f-8on4,,,,,
tch_20200513-093730_1368,class_20200513-093730_1368,R7qJ-Wo4Q,,,,,
tch_20200513-093730_1367,class_20200513-093730_1367,d3B8-94AD,,,,,
tch_20200513-093730_1369,class_20200513-093730_1369,7R72-MCpF,,,,,
tch_20200513-093730_1370,class_20200513-093730_1370,68p6-y87u,,,,,
tch_20200513-093730_1372,class_20200513-093730_1372,a7N8-C4s7,,,,,
