teacherextuserid,classtitle,classcode,category,pe_category,pe_end_index2,category_type
tch_L8_20240120-145701_67,class_L8_20240120-145701_67,qLT9-NY42,L8,l8pe,4,L
tch_L7_20241120-132131_45,class_L7_20241120-132131_45,8AXM-F826,L7,l7pe,4,L
tch_L2_20241120-163000_27,class_L2_20241120-163000_27,s39a-U34u,L2,l2pe,6,L
tch_L9_20241120-132131_73,class_L9_20241120-132131_73,2iv4-xnR9,L9,l9pe,4,L
tch_L8_20240120-145701_6,class_L8_20240120-145701_6,s7ZG-N3Nu,L8,l8pe,4,L
tch_M2_20240205-130713_73,class_M2_20240205-130713_73,LedV-n438,M2,m2pe,11,M
tch_L7_20240205-134617_38,class_L7_20240205-134617_38,ia6Q-9h7h,L7,l7pe,4,L
tch_L8_20240129-153345_58,class_L8_20240129-153345_58,3cdV-4uYu,L8,l8pe,4,L
tch_L2_20240314-195444_119,class_L2_20240314-195444_119,FBfJ-xMjm,L2,l2pe,6,L
tch_M2_20241120-132131_82,class_M2_20241120-132131_82,4AM2-63sk,M2,m2pe,11,M
tch_L1_20240131-163525_5,context_class_L1_20240131-163525_5,zFJZ-XqMp,L1,l1pe,4,L
tch_H5_20241120-163000_1,ltiClass_class_H5_20241120-163000_1,g82K-P2eJ,H5,h5pe,7,H
tch_L9_20240131-155927_60,context_class_L9_20240131-155927_60,dYyE-o28g,L9,l9pe,4,L
tch_L2_20240314-180451_125,class_L2_20240314-180451_125,J7z7-czbj,L2,l2pe,6,L
tch_L1_20240205-195628_7,class_L1_20240205-195628_7,G6K6-27Qd,L1,l1pe,4,L
tch_H2_20241120-132131_5,class_H2_20241120-132131_5,479c-GrFb,H2,h2pe,17,H
tch_L8_20240204-184707_57,class_L8_20240204-184707_57,4QKv-s9C3,L8,l8pe,4,L
tch_L1_20240314-221325_103,class_L1_20240314-221325_103,gsRd-qboa,L1,l1pe,4,L
tch_L2_20240205-130713_25,class_L2_20240205-130713_25,T3hb-W9oM,L2,l2pe,6,L
tch_L2_20240314-195444_120,class_L2_20240314-195444_120,K276-RsmR,L2,l2pe,6,L
tch_M5_20240123-113943_46,class_M5_20240123-113943_46,d36D-obMf,M5,m5pe,4,M
tch_L1_20240314-195444_8,class_L1_20240314-195444_8,24uy-Xgk2,L1,l1pe,4,L
tch_M5_20240111-185155_36,class_M5_20240111-185155_36,6iZ8-mKZz,M5,m5pe,4,M
tch_M1_20240129-153345_69,class_M1_20240129-153345_69,36yz-EKz4,M1,m1pe,11,M
tch_L2_20240204-184707_20,class_L2_20240204-184707_20,HAGV-DN8R,L2,l2pe,6,L
tch_M1_20240205-134617_70,class_M1_20240205-134617_70,qD4U-epEk,M1,m1pe,11,M
tch_L7_20240314-221325_38,class_L7_20240314-221325_38,Man4-uaBQ,L7,l7pe,4,L
tch_L7_20240131-152310_34,context_class_L7_20240131-152310_34,4DHc-FVRN,L7,l7pe,4,L
tch_L7_20240119-113354_40,class_L7_20240119-113354_40,6AtL-VL8d,L7,l7pe,4,L
tch_L8_20240129-153345_53,class_L8_20240129-153345_53,na2M-aMuh,L8,l8pe,4,L
