teacher_extuserid,class_title,class_code
perf-_teacher_20190724-113724_161,perf-_perf_class_20190724-113724_161,YgZM-GZi2
perf-_teacher_20190724-113724_162,perf-_perf_class_20190724-113724_162,QbBa-6bah
perf-_teacher_20190724-113724_163,perf-_perf_class_20190724-113724_163,J46b-2U8e
perf-_teacher_20190724-113724_164,perf-_perf_class_20190724-113724_164,XbD7-f4bj
perf-_teacher_20190724-113724_165,perf-_perf_class_20190724-113724_165,bg82-PLbF
perf-_teacher_20190724-113724_166,perf-_perf_class_20190724-113724_166,dZCG-Kidj
perf-_teacher_20190724-113724_167,perf-_perf_class_20190724-113724_167,Di7f-2BHT
perf-_teacher_20190724-113724_168,perf-_perf_class_20190724-113724_168,Zfca-VgY9
perf-_teacher_20190724-113724_169,perf-_perf_class_20190724-113724_169,G3M6-jc94
perf-_teacher_20190724-113724_170,perf-_perf_class_20190724-113724_170,8hRe-abC9
perf-_teacher_20190724-113724_171,perf-_perf_class_20190724-113724_171,ihZ4-Eh7c
perf-_teacher_20190724-113724_172,perf-_perf_class_20190724-113724_172,84e7-MWf7
perf-_teacher_20190724-113724_173,perf-_perf_class_20190724-113724_173,6gif-bN4e
perf-_teacher_20190724-113724_174,perf-_perf_class_20190724-113724_174,9TcT-Vgj6
perf-_teacher_20190724-113724_175,perf-_perf_class_20190724-113724_175,gjb6-V4gi
perf-_teacher_20190724-113724_176,perf-_perf_class_20190724-113724_176,aD82-b48b
perf-_teacher_20190724-113724_177,perf-_perf_class_20190724-113724_177,8Yhj-cjiM
perf-_teacher_20190724-113724_178,perf-_perf_class_20190724-113724_178,cG2W-7bBf
perf-_teacher_20190724-113724_179,perf-_perf_class_20190724-113724_179,34WD-QbFa
perf-_teacher_20190724-113724_180,perf-_perf_class_20190724-113724_180,7iAR-Y2hd
perf-_teacher_20190724-113724_181,perf-_perf_class_20190724-113724_181,TaLj-9Y8a
perf-_teacher_20190724-113724_182,perf-_perf_class_20190724-113724_182,U3T3-cFe4
perf-_teacher_20190724-113724_183,perf-_perf_class_20190724-113724_183,ae2Y-K4P9
perf-_teacher_20190724-113724_184,perf-_perf_class_20190724-113724_184,FjM4-fF8N
perf-_teacher_20190724-113724_185,perf-_perf_class_20190724-113724_185,QN4c-BKYh
perf-_teacher_20190724-113724_186,perf-_perf_class_20190724-113724_186,b4N2-ba3U
perf-_teacher_20190724-113724_187,perf-_perf_class_20190724-113724_187,7iVZ-hj3e
perf-_teacher_20190724-113724_188,perf-_perf_class_20190724-113724_188,P3jF-T84f
perf-_teacher_20190724-113724_189,perf-_perf_class_20190724-113724_189,Rc7Y-a486
perf-_teacher_20190724-113724_190,perf-_perf_class_20190724-113724_190,j4i8-j4d7
perf-_teacher_20190724-113724_191,perf-_perf_class_20190724-113724_191,8h9a-fW4Q
perf-_teacher_20190724-113724_192,perf-_perf_class_20190724-113724_192,bfBf-7cAR
perf-_teacher_20190724-113724_193,perf-_perf_class_20190724-113724_193,7Yb4-Xigc
perf-_teacher_20190724-113724_194,perf-_perf_class_20190724-113724_194,W3c4-hZ8j
perf-_teacher_20190724-113724_195,perf-_perf_class_20190724-113724_195,dE3a-fdF9
perf-_teacher_20190724-113724_196,perf-_perf_class_20190724-113724_196,f4dW-T84P
perf-_teacher_20190724-113724_197,perf-_perf_class_20190724-113724_197,j6Ma-Qifh
perf-_teacher_20190724-113724_198,perf-_perf_class_20190724-113724_198,aiKP-FR24
perf-_teacher_20190724-113724_199,perf-_perf_class_20190724-113724_199,K79E-6Zgf
perf-_teacher_20190724-113724_200,perf-_perf_class_20190724-113724_200,PHg3-jFe7
perf-_teacher_20190724-113724_201,perf-_perf_class_20190724-113724_201,NfgR-hibj
perf-_teacher_20190724-113724_202,perf-_perf_class_20190724-113724_202,9X6V-8UhB
perf-_teacher_20190724-113724_203,perf-_perf_class_20190724-113724_203,h6Jf-TgjA
perf-_teacher_20190724-113724_204,perf-_perf_class_20190724-113724_204,Bg9d-Gjbe
perf-_teacher_20190724-113724_205,perf-_perf_class_20190724-113724_205,G2cK-iC6h
perf-_teacher_20190724-113724_206,perf-_perf_class_20190724-113724_206,B2eg-c7gd
perf-_teacher_20190724-113724_207,perf-_perf_class_20190724-113724_207,KW9V-h38a
perf-_teacher_20190724-113724_208,perf-_perf_class_20190724-113724_208,jcMh-Q6B3
perf-_teacher_20190724-113724_209,perf-_perf_class_20190724-113724_209,FL94-7NdZ
perf-_teacher_20190724-113724_210,perf-_perf_class_20190724-113724_210,b3i3-Xf8c
perf-_teacher_20190724-113724_211,perf-_perf_class_20190724-113724_211,agUd-fFBP
perf-_teacher_20190724-113724_212,perf-_perf_class_20190724-113724_212,ed2h-fcEf
perf-_teacher_20190724-113724_213,perf-_perf_class_20190724-113724_213,7i2C-B8N7
perf-_teacher_20190724-113724_214,perf-_perf_class_20190724-113724_214,jH2J-K7aQ
perf-_teacher_20190724-113724_215,perf-_perf_class_20190724-113724_215,68a6-872U
perf-_teacher_20190724-113724_216,perf-_perf_class_20190724-113724_216,jega-AfcY
perf-_teacher_20190724-113724_217,perf-_perf_class_20190724-113724_217,eAeQ-8iab
perf-_teacher_20190724-113724_218,perf-_perf_class_20190724-113724_218,TcYZ-dU2X
perf-_teacher_20190724-113724_219,perf-_perf_class_20190724-113724_219,2hHM-b8Ud
perf-_teacher_20190724-113724_220,perf-_perf_class_20190724-113724_220,C4Vf-hCYg
perf-_teacher_20190724-113724_221,perf-_perf_class_20190724-113724_221,j2Z4-Zc8Y
perf-_teacher_20190724-113724_222,perf-_perf_class_20190724-113724_222,2UT3-7ihf
perf-_teacher_20190724-113724_223,perf-_perf_class_20190724-113724_223,KNGd-9fh7
perf-_teacher_20190724-113724_224,perf-_perf_class_20190724-113724_224,h2J7-g27g
perf-_teacher_20190724-113724_225,perf-_perf_class_20190724-113724_225,GD36-7RQW
perf-_teacher_20190724-113724_226,perf-_perf_class_20190724-113724_226,jN2T-eLcK
perf-_teacher_20190724-113724_227,perf-_perf_class_20190724-113724_227,F6QX-eh2g
perf-_teacher_20190724-113724_228,perf-_perf_class_20190724-113724_228,Xia7-d37D
perf-_teacher_20190724-113724_229,perf-_perf_class_20190724-113724_229,j3hj-Mj7G
perf-_teacher_20190724-113724_230,perf-_perf_class_20190724-113724_230,fjVb-7X7a
perf-_teacher_20190724-113724_231,perf-_perf_class_20190724-113724_231,U9e3-gFPC
perf-_teacher_20190724-113724_232,perf-_perf_class_20190724-113724_232,i3PM-gJ4F
perf-_teacher_20190724-113724_233,perf-_perf_class_20190724-113724_233,eYjf-hMh6
perf-_teacher_20190724-113724_234,perf-_perf_class_20190724-113724_234,RfU9-PhG2
perf-_teacher_20190724-113724_235,perf-_perf_class_20190724-113724_235,gcB6-P2hg
perf-_teacher_20190724-113724_236,perf-_perf_class_20190724-113724_236,fjYf-Hbad
perf-_teacher_20190724-113724_237,perf-_perf_class_20190724-113724_237,V27j-AfaT
perf-_teacher_20190724-113724_238,perf-_perf_class_20190724-113724_238,U89d-aj8b
perf-_teacher_20190724-113724_239,perf-_perf_class_20190724-113724_239,FNaX-48c9
perf-_teacher_20190724-113724_240,perf-_perf_class_20190724-113724_240,963a-7af8
perf-_teacher_20190724-113724_241,perf-_perf_class_20190724-113724_241,UBJQ-gXV7
perf-_teacher_20190724-113724_242,perf-_perf_class_20190724-113724_242,EgGb-DaYQ
perf-_teacher_20190724-113724_243,perf-_perf_class_20190724-113724_243,Pi62-af4R
