extuserid,classcode,category
std_hqXw-bkmt_1692512388438_58,hqXw-bkmt,3B10PE
std_WL2A-p3aD_1692480747507_60,WL2A-p3aD,3B10PE
std_Cr9c-Bu7G_1692505350210_55,Cr9c-Bu7G,3B10PE
std_2B7P-DfPJ_1692507928725_113,2B7P-DfPJ,3B10PE
std_2B7P-DfPJ_1692507412329_113,2B7P-DfPJ,3B10PE
std_MQ3t-2u7E_1692481998862_89,MQ3t-2u7E,3B10PE
std_Lmvd-2dmC_1692481413362_85,Lmvd-2dmC,3B10PE
std_BdsD-GhQM_1692512576798_60,BdsD-GhQM,3B10PE
std_Ux9W-uGZv_1692513876166_111,Ux9W-uGZv,3B10PE
std_Gx7M-63P8_1692513042071_83,Gx7M-63P8,3B10PE
std_d36x-9FAa_1692511520204_57,d36x-9FAa,3B10PE
std_ZzHU-4BMC_1692513525827_113,ZzHU-4BMC,3B10PE
std_UN78-7Xp8_1692481228021_57,UN78-7Xp8,3B10PE
std_4yk2-3WxR_1692506147537_53,4yk2-3WxR,3B10PE
std_itGB-vGPh_1692514253480_114,itGB-vGPh,3B10PE
std_HD2a-6z3d_1692506339962_88,HD2a-6z3d,3B10PE
std_4G7p-znzR_1692481312478_51,4G7p-znzR,3B10PE
std_26nw-MLKN_1692507207608_89,26nw-MLKN,3B10PE
std_9xBa-oyev_1692507505461_114,9xBa-oyev,3B10PE
std_i3CM-BmPR_1692480865157_55,i3CM-BmPR,3B10PE
std_d36x-9FAa_1692512407391_57,d36x-9FAa,3B10PE
std_ZpH7-RzyV_1692481506104_53,ZpH7-RzyV,3B10PE
std_8Ji3-KMzR_1692513014750_89,8Ji3-KMzR,3B10PE
std_odPe-Jo83_1692506478287_86,odPe-Jo83,3B10PE
std_MQ3t-2u7E_1692481858320_89,MQ3t-2u7E,3B10PE
std_MTZT-ow4J_1692480531102_52,MTZT-ow4J,3B10PE
std_xCgB-P6fc_1692480659450_59,xCgB-P6fc,3B10PE
std_odPe-Jo83_1692505753487_86,odPe-Jo83,3B10PE
std_d36x-9FAa_1692512241332_57,d36x-9FAa,3B10PE
std_3JNj-vWh8_1692506556073_111,3JNj-vWh8,3B10PE
std_3JNj-vWh8_1692507271287_111,3JNj-vWh8,3B10PE
std_Lmvd-2dmC_1692482426461_85,Lmvd-2dmC,3B10PE
std_Xnxc-xnQn_1692513545354_116,Xnxc-xnQn,3B10PE
std_3n3f-7Nuf_1692507629115_119,3n3f-7Nuf,3B10PE
std_9fkW-3V2F_1692506893110_85,9fkW-3V2F,3B10PE
std_UN78-7Xp8_1692480289007_57,UN78-7Xp8,3B10PE
std_8ZhR-qWrB_1692483522762_112,8ZhR-qWrB,3B10PE
std_iuCW-2KYr_1692507624507_116,iuCW-2KYr,3B10PE
std_8TZ2-q9ib_1692506604190_84,8TZ2-q9ib,3B10PE
std_4Ckm-dnCk_1692512692679_55,4Ckm-dnCk,3B10PE
std_kpZD-g8jv_1692480867111_56,kpZD-g8jv,3B10PE
