extuserid,classcode,category
std_3ks3-xTFo_1705930865624_8,3ks3-xTFo,H6
std_36mn-8nw6_1705499038100_120,36mn-8nw6,L9
std_36mn-8nw6_1705499000920_120,36mn-8nw6,L9
std_dqnF-BEwi_1703844885330_54,dqnF-BEwi,M1
std_8Aqc-8dAu_1703843644087_5,8Aqc-8dAu,L1
std_8Aqc-8dAu_1703843599540_5,8Aqc-8dAu,L1
std_2H2E-3W9p_1705575844733_59,2H2E-3W9p,L8
std_3n2F-Bu8E_1703843968750_18,3n2F-Bu8E,L2
std_36Wm-t4im_1703845748624_86,36Wm-t4im,H4
std_2ujr-E2ou_1705498662676_100,2ujr-E2ou,L9
std_3764-JPy3_1703845751347_84,3764-JPy3,H3
std_47tP-w8d2_1705639075209_61,47tP-w8d2,L7
std_27bX-9N2k_1705638836516_48,27bX-9N2k,L7
std_2ujr-E2ou_1705498627330_100,2ujr-E2ou,L9
std_DVxA-Vaj2_1703843793002_13,DVxA-Vaj2,L2
std_24gx-rp27_1705638424323_27,24gx-rp27,L7
std_372s-9PT8_1703843615378_6,372s-9PT8,L1
std_36mn-8nw6_1705499018364_120,36mn-8nw6,L9
std_DVxA-Vaj2_1703843760984_13,DVxA-Vaj2,L2
std_2ujr-E2ou_1705498650803_100,2ujr-E2ou,L9
std_DVxA-Vaj2_1703843782120_13,DVxA-Vaj2,L2
std_dfV3-RJ42_1703845427705_71,dfV3-RJ42,H1
std_3n2F-Bu8E_1703843923926_18,3n2F-Bu8E,L2
std_23WK-26jL_1704981175997_49,23WK-26jL,M5
std_36mn-8nw6_1705499047670_120,36mn-8nw6,L9
std_3D6h-vo96_1705576820372_106,3D6h-vo96,L8
std_2vnJ-K3gw_1705498885127_113,2vnJ-K3gw,L9
std_DVxA-Vaj2_1703843759314_13,DVxA-Vaj2,L2
std_2rgG-pECK_1703843603323_4,2rgG-pECK,L1
std_d93q-QGgf_1703843885725_17,d93q-QGgf,L2
std_23WK-26jL_1704981134784_49,23WK-26jL,M5
std_dfV3-RJ42_1703845477187_71,dfV3-RJ42,H1
std_6gMc-9h4J_1705637965291_4,6gMc-9h4J,L7
std_23WK-26jL_1704981203848_49,23WK-26jL,M5
std_36mn-8nw6_1705499029397_120,36mn-8nw6,L9
std_23WK-26jL_1704981162414_49,23WK-26jL,M5
std_3764-JPy3_1703845809043_84,3764-JPy3,H3
std_DVxA-Vaj2_1703843854798_13,DVxA-Vaj2,L2
std_4L7g-EHY7_1703845196769_64,4L7g-EHY7,M3
std_3764-JPy3_1703845684457_84,3764-JPy3,H3
std_3764-JPy3_1703845836995_84,3764-JPy3,H3
std_2rgG-pECK_1703843578751_4,2rgG-pECK,L1
std_3764-JPy3_1703845821978_84,3764-JPy3,H3
std_2x3a-97v6_1705575621431_48,2x3a-97v6,L8
std_8GYg-2zAz_1703844032215_20,8GYg-2zAz,L2
std_dqnF-BEwi_1703844887720_54,dqnF-BEwi,M1
std_23WK-26jL_1704981132301_49,23WK-26jL,M5
std_3n2F-Bu8E_1703843909929_18,3n2F-Bu8E,L2
std_23WK-26jL_1704981232551_49,23WK-26jL,M5
std_8GYg-2zAz_1703844054921_20,8GYg-2zAz,L2
std_3n2F-Bu8E_1703843896335_18,3n2F-Bu8E,L2
std_Koap-N2uG_1703843964070_19,Koap-N2uG,L2
std_48PL-YQtD_1703844162743_27,48PL-YQtD,L3
std_8GYg-2zAz_1703843974443_20,8GYg-2zAz,L2
std_48PL-YQtD_1703844221075_27,48PL-YQtD,L3
std_4L7g-EHY7_1703845156669_64,4L7g-EHY7,M3
std_3764-JPy3_1703845668950_84,3764-JPy3,H3
std_7D4m-Rk9q_1703844997427_58,7D4m-Rk9q,M2
std_9YpJ-k2Dj_1703843539321_3,9YpJ-k2Dj,L1
std_2ujr-E2ou_1705498646787_100,2ujr-E2ou,L9
std_8GYg-2zAz_1703843968360_20,8GYg-2zAz,L2
std_2rgG-pECK_1703843573697_4,2rgG-pECK,L1
std_2QVq-Q2KG_1703843524119_2,2QVq-Q2KG,L1
std_Koap-N2uG_1703843984332_19,Koap-N2uG,L2
std_3n2F-Bu8E_1703843972623_18,3n2F-Bu8E,L2
std_9YpJ-k2Dj_1703843535065_3,9YpJ-k2Dj,L1
std_39n7-9RT6_1705991327248_23,39n7-9RT6,H5
