tch,assignmenttitle,ct,cc
b2ad68f5a8764280a44b05af29e34be8,asgmt_300321_b2ad68f5a8764280a44b05af29e34be8,Class_1039,gK8Z-KgaZ
tch_20200511-194843_1,asgmt_200716_tch_20200511-194843_1,class_20200511-194843_1,NpQ6-ArZb
tch_20200511-194843_2,asgmt_200716_tch_20200511-194843_2,class_20200511-194843_2,aDj6-P23U
tch_20200511-194843_3,asgmt_200716_tch_20200511-194843_3,class_20200511-194843_3,CHKW-w84i
tch_20200511-194843_4,asgmt_200716_tch_20200511-194843_4,class_20200511-194843_4,CyjB-L4fT
tch_20200511-194843_6,asgmt_200716_tch_20200511-194843_6,class_20200511-194843_6,HT4X-T8cT
tch_20200511-194843_5,asgmt_200716_tch_20200511-194843_5,class_20200511-194843_5,42jX-D98t
tch_20200511-194843_7,asgmt_200716_tch_20200511-194843_7,class_20200511-194843_7,MNz8-TVvk
tch_20200511-194843_9,asgmt_200716_tch_20200511-194843_9,class_20200511-194843_9,8438-Y7mU
tch_20200511-194843_8,asgmt_200716_tch_20200511-194843_8,class_20200511-194843_8,4b6C-nUwb
tch_20200511-194843_10,asgmt_200716_tch_20200511-194843_10,class_20200511-194843_10,r78W-TnMi
tch_20200511-194843_11,asgmt_200716_tch_20200511-194843_11,class_20200511-194843_11,78xH-8A8U
tch_20200511-194843_13,asgmt_200716_tch_20200511-194843_13,class_20200511-194843_13,hAXT-fbya
tch_20200511-194843_12,asgmt_200716_tch_20200511-194843_12,class_20200511-194843_12,3FW8-W4XU
tch_20200511-194843_14,asgmt_200716_tch_20200511-194843_14,class_20200511-194843_14,nW6H-DUKg
tch_20200511-194843_15,asgmt_200716_tch_20200511-194843_15,class_20200511-194843_15,gKde-6WFs
tch_20200511-194843_16,asgmt_200716_tch_20200511-194843_16,class_20200511-194843_16,xq8C-bwvp
tch_20200511-194843_19,asgmt_200716_tch_20200511-194843_19,class_20200511-194843_19,cmt7-VCKt
tch_20200511-194843_17,asgmt_200716_tch_20200511-194843_17,class_20200511-194843_17,HgRF-voPM
tch_20200511-194843_18,asgmt_200716_tch_20200511-194843_18,class_20200511-194843_18,W42Y-F46c
tch_20200511-194843_20,asgmt_200716_tch_20200511-194843_20,class_20200511-194843_20,M3v9-qL4K
tch_20200511-194843_22,asgmt_200716_tch_20200511-194843_22,class_20200511-194843_22,7Cfq-X7FJ
tch_20200511-194843_21,asgmt_200716_tch_20200511-194843_21,class_20200511-194843_21,J6B7-yJAv
tch_20200511-194843_23,asgmt_200716_tch_20200511-194843_23,class_20200511-194843_23,p3C7-HPjn
tch_20200511-194843_24,asgmt_200716_tch_20200511-194843_24,class_20200511-194843_24,2ApP-YqCc
tch_20200511-194843_25,asgmt_200716_tch_20200511-194843_25,class_20200511-194843_25,MRYz-BrJo
tch_20200511-194843_26,asgmt_200716_tch_20200511-194843_26,class_20200511-194843_26,7o27-9ywx
tch_20200511-194843_27,asgmt_200716_tch_20200511-194843_27,class_20200511-194843_27,Xnoq-fho6
tch_20200511-194843_28,asgmt_200716_tch_20200511-194843_28,class_20200511-194843_28,4bNZ-H4W9
tch_20200511-194843_29,asgmt_200716_tch_20200511-194843_29,class_20200511-194843_29,maN2-eh2c
tch_20200511-194843_30,asgmt_200716_tch_20200511-194843_30,class_20200511-194843_30,Tutb-Ano6
tch_20200511-194843_32,asgmt_200716_tch_20200511-194843_32,class_20200511-194843_32,Fobh-pdAX
tch_20200511-194843_31,asgmt_200716_tch_20200511-194843_31,class_20200511-194843_31,t6Qn-rsCh
tch_20200511-194843_33,asgmt_200716_tch_20200511-194843_33,class_20200511-194843_33,7g4F-4oHw
tch_20200511-194843_34,asgmt_200716_tch_20200511-194843_34,class_20200511-194843_34,Wia4-aqX8
tch_20200511-194843_35,asgmt_200716_tch_20200511-194843_35,class_20200511-194843_35,9bJH-rpKP
tch_20200511-194843_37,asgmt_200716_tch_20200511-194843_37,class_20200511-194843_37,87d8-s2h8
tch_20200511-194843_36,asgmt_200716_tch_20200511-194843_36,class_20200511-194843_36,UTrd-ui2o
tch_20200511-194843_39,asgmt_200716_tch_20200511-194843_39,class_20200511-194843_39,q27z-Tv7T
tch_20200511-194843_38,asgmt_200716_tch_20200511-194843_38,class_20200511-194843_38,MHgD-URw2
tch_20200511-194843_41,asgmt_200716_tch_20200511-194843_41,class_20200511-194843_41,MjUw-FcVy
tch_20200511-194843_40,asgmt_200716_tch_20200511-194843_40,class_20200511-194843_40,KnzA-9AMf
tch_20200511-194843_42,asgmt_200716_tch_20200511-194843_42,class_20200511-194843_42,9LFG-xv8q
tch_20200511-194843_43,asgmt_200716_tch_20200511-194843_43,class_20200511-194843_43,RUFU-2vjz
tch_20200511-194843_44,asgmt_200716_tch_20200511-194843_44,class_20200511-194843_44,gCe3-PF3f
tch_20200511-194843_45,asgmt_200716_tch_20200511-194843_45,class_20200511-194843_45,v2Dx-wjf4
tch_20200511-194843_46,asgmt_200716_tch_20200511-194843_46,class_20200511-194843_46,8DeW-Yj8H
tch_20200511-194843_48,asgmt_200716_tch_20200511-194843_48,class_20200511-194843_48,zn46-YDZ3
tch_20200511-194843_47,asgmt_200716_tch_20200511-194843_47,class_20200511-194843_47,KQNc-NvFK
tch_20200511-194843_49,asgmt_200716_tch_20200511-194843_49,class_20200511-194843_49,w7fT-eWp7
tch_20200511-194843_50,asgmt_200716_tch_20200511-194843_50,class_20200511-194843_50,hbo4-sM9w
tch_20200511-194843_51,asgmt_200716_tch_20200511-194843_51,class_20200511-194843_51,2tgT-W247
tch_20200511-194843_53,asgmt_200716_tch_20200511-194843_53,class_20200511-194843_53,LfsZ-2cKV
tch_20200511-194843_52,asgmt_200716_tch_20200511-194843_52,class_20200511-194843_52,aEjm-gBhx
tch_20200511-194843_54,asgmt_200716_tch_20200511-194843_54,class_20200511-194843_54,FCch-XCkw
tch_20200511-194843_55,asgmt_200716_tch_20200511-194843_55,class_20200511-194843_55,sk7V-AqL8
tch_20200511-194843_56,asgmt_200716_tch_20200511-194843_56,class_20200511-194843_56,vYie-fs6L
tch_20200511-194843_58,asgmt_200716_tch_20200511-194843_58,class_20200511-194843_58,BR2L-Bc46
tch_20200511-194843_60,asgmt_200716_tch_20200511-194843_60,class_20200511-194843_60,YjT8-B4ts
tch_20200511-194843_59,asgmt_200716_tch_20200511-194843_59,class_20200511-194843_59,s6hj-H8p9
tch_20200511-194843_62,asgmt_200716_tch_20200511-194843_62,class_20200511-194843_62,A2LK-kvQ9
tch_20200511-194843_61,asgmt_200716_tch_20200511-194843_61,class_20200511-194843_61,n747-6Dkt
tch_20200511-194843_63,asgmt_200716_tch_20200511-194843_63,class_20200511-194843_63,2tg2-3Y43
tch_20200511-194843_57,asgmt_200716_tch_20200511-194843_57,class_20200511-194843_57,2Ggo-29py
tch_20200511-194843_65,asgmt_200716_tch_20200511-194843_65,class_20200511-194843_65,8LH2-JBr6
tch_20200511-194843_64,asgmt_200716_tch_20200511-194843_64,class_20200511-194843_64,M6vc-oEmo
tch_20200511-194843_66,asgmt_200716_tch_20200511-194843_66,class_20200511-194843_66,7Cm9-Kr3Z
tch_20200511-194843_67,asgmt_200716_tch_20200511-194843_67,class_20200511-194843_67,g2py-ip4H
tch_20200511-194843_68,asgmt_200716_tch_20200511-194843_68,class_20200511-194843_68,TH48-juM8
tch_20200511-194843_70,asgmt_200716_tch_20200511-194843_70,class_20200511-194843_70,h8Uq-H8Xf
tch_20200511-194843_71,asgmt_200716_tch_20200511-194843_71,class_20200511-194843_71,9zDj-3QiX
tch_20200511-194843_69,asgmt_200716_tch_20200511-194843_69,class_20200511-194843_69,4WvF-t9Tn
