teacherextuserid,classtitle,classcode,category,pe_category,category_type,
tch_H1_20240222-143108_88,class_H1_20240222-143108_88,Ey9k-2n6L,H1,h1pe,H,Low_Cursor
tch_H1_20240128-180332_86,class_H1_20240128-180332_86,eUc9-7vGH,H1,h1pe,H,Low_Cursor
tch_H1_20240222-143108_87,class_H1_20240222-143108_87,sBU7-k7Yw,H1,h1pe,H,Low_Cursor
tch_H1_20240128-190832_88,class_H1_20240128-190832_88,qW8m-7Ykb,H1,h1pe,H,Low_Cursor
tch_H1_20240222-143108_186,class_H1_20240222-143108_186,t4m6-Tu7u,H1,h1pe,H,Low_Cursor
tch_H1_20240222-110512_88,class_H1_20240222-110512_88,n4Ct-F8V9,H1,h1pe,H,Low_Cursor
tch_H1_20240128-195807_85,class_H1_20240128-195807_85,YQXE-Lr7V,H1,h1pe,H,Low_Cursor
tch_H1_20240222-172411_85,class_H1_20240222-172411_85,83o6-294R,H1,h1pe,H,Low_Cursor
tch_H1_20240222-143108_185,class_H1_20240222-143108_185,wm27-Wk4K,H1,h1pe,H,Low_Cursor
tch_H1_20240128-190832_86,class_H1_20240128-190832_86,73d7-yPbm,H1,h1pe,H,Low_Cursor
tch_H1_20240128-220541_86,class_H1_20240128-220541_86,MZPz-k3fZ,H1,h1pe,H,Low_Cursor
tch_H1_20240128-180332_88,class_H1_20240128-180332_88,2KxC-zCp6,H1,h1pe,H,Low_Cursor
tch_H1_20240128-170457_89,class_H1_20240128-170457_89,87ia-xkDg,H1,h1pe,H,Low_Cursor
tch_H1_20240128-142311_88,class_H1_20240128-142311_88,RNWQ-dp6G,H1,h1pe,H,Low_Cursor
tch_H1_20240222-172411_87,class_H1_20240222-172411_87,3Phv-oHBK,H1,h1pe,H,Low_Cursor
tch_H1_20240222-143108_86,class_H1_20240222-143108_86,M4QE-m7KT,H1,h1pe,H,Low_Cursor
tch_H1_20240128-195807_86,class_H1_20240128-195807_86,yaD2-B2NY,H1,h1pe,H,Low_Cursor
tch_H1_20240103-170558_73,class_H1_20240103-170558_73,2U2x-w6x9,H1,h1pe,H,Low_Cursor
tch_H1_20240128-142311_89,class_H1_20240128-142311_89,2TiA-3rL7,H1,h1pe,H,Low_Cursor
tch_H1_20240103-170558_71,class_H1_20240103-170558_71,4d34-ZeU2,H1,h1pe,H,Low_Cursor
tch_H1_20240128-142311_85,class_H1_20240128-142311_85,Y29L-3vg7,H1,h1pe,H,Low_Cursor
tch_H1_20240128-130831_85,class_H1_20240128-130831_85,2Tnw-ho47,H1,h1pe,H,Low_Cursor
tch_H1_20240128-220541_87,class_H1_20240128-220541_87,H7s3-4fLD,H1,h1pe,H,Low_Cursor
tch_H1_20231229-173128_71,class_H1_20231229-173128_71,4H9H-h23d,H1,h1pe,H,Low_Cursor
tch_H1_20240102-192514_75,class_H1_20240102-192514_75,F43V-nte9,H1,h1pe,H,Low_Cursor
tch_H1_20240128-205614_88,class_H1_20240128-205614_88,Ts2X-2mb4,H1,h1pe,H,Low_Cursor
tch_H1_20240128-190832_85,class_H1_20240128-190832_85,pxp2-6pwo,H1,h1pe,H,Low_Cursor
tch_H1_20240124-195937_89,class_H1_20240124-195937_89,49wL-i8i9,H1,h1pe,H,Low_Cursor
tch_H1_20240103-170558_72,class_H1_20240103-170558_72,xCHx-rFLU,H1,h1pe,H,Low_Cursor
tch_H1_20240128-220541_88,class_H1_20240128-220541_88,N73e-pd6s,H1,h1pe,H,Low_Cursor
tch_H1_20240222-143108_85,class_H1_20240222-143108_85,wVdW-Fia9,H1,h1pe,H,Low_Cursor
tch_H1_20240124-195937_88,class_H1_20240124-195937_88,d6xf-ni79,H1,h1pe,H,Low_Cursor
tch_H1_20240128-170457_87,class_H1_20240128-170457_87,3aKB-47PK,H1,h1pe,H,Low_Cursor
tch_H1_20240222-143108_188,class_H1_20240222-143108_188,tUfG-Uq49,H1,h1pe,H,Low_Cursor
tch_H1_20240228-113644_86,class_H1_20240228-113644_86,FR8t-j8pz,H1,h1pe,H,Low_Cursor
tch_H1_20231229-151113_75,class_H1_20231229-151113_75,e8LP-2dVz,H1,h1pe,H,Low_Cursor
tch_H1_20240128-130831_88,class_H1_20240128-130831_88,8dqX-86R9,H1,h1pe,H,Low_Cursor
tch_H1_20231229-183345_73,class_H1_20231229-183345_73,39ij-h4vu,H1,h1pe,H,Low_Cursor
tch_H1_20240222-110512_186,class_H1_20240222-110512_186,iZNu-3W3k,H1,h1pe,H,Low_Cursor
tch_H1_20240222-143108_89,class_H1_20240222-143108_89,86wV-29pt,H1,h1pe,H,Low_Cursor
tch_H1_20240102-192514_72,class_H1_20240102-192514_72,rfwH-N6n3,H1,h1pe,H,Low_Cursor
tch_H1_20240128-180332_89,class_H1_20240128-180332_89,23Q2-7c4U,H1,h1pe,H,Low_Cursor
tch_H1_20240222-110512_87,class_H1_20240222-110512_87,Tpx3-ibc9,H1,h1pe,H,Low_Cursor
tch_H1_20231229-183345_72,class_H1_20231229-183345_72,MC7J-Y67F,H1,h1pe,H,Low_Cursor
tch_H1_20240222-172411_188,class_H1_20240222-172411_188,C6x2-stdv,H1,h1pe,H,Low_Cursor
tch_H1_20240222-110512_85,class_H1_20240222-110512_85,3ZWG-MLoK,H1,h1pe,H,Low_Cursor
tch_H1_20240128-205614_89,class_H1_20240128-205614_89,U9Qx-ocq8,H1,h1pe,H,Low_Cursor
tch_H1_20240128-205614_85,class_H1_20240128-205614_85,6gDt-CmFz,H1,h1pe,H,Low_Cursor
tch_H1_20240128-190832_89,class_H1_20240128-190832_89,Z6Yq-37hD,H1,h1pe,H,Low_Cursor
tch_H1_20231229-151113_71,class_H1_20231229-151113_71,dfV3-RJ42,H1,h1pe,H,Low_Cursor
tch_H1_20240128-195807_87,class_H1_20240128-195807_87,4Cvi-g9Lp,H1,h1pe,H,Low_Cursor
tch_H1_20240222-110512_89,class_H1_20240222-110512_89,jq9B-FPAQ,H1,h1pe,H,Low_Cursor
tch_H1_20240222-172411_189,class_H1_20240222-172411_189,mBF3-NtWa,H1,h1pe,H,Low_Cursor
tch_H1_20240128-205614_86,class_H1_20240128-205614_86,4pYE-bZ3s,H1,h1pe,H,Low_Cursor
tch_H1_20240222-143108_189,class_H1_20240222-143108_189,MN9X-nwK4,H1,h1pe,H,Low_Cursor
tch_H1_20231229-183345_74,class_H1_20231229-183345_74,n74w-Z9FB,H1,h1pe,H,Low_Cursor
tch_H1_20240222-110512_187,class_H1_20240222-110512_187,XxZi-TBnB,H1,h1pe,H,Low_Cursor
tch_H1_20240128-142311_87,class_H1_20240128-142311_87,Xvpg-2iTg,H1,h1pe,H,Low_Cursor
tch_H1_20240222-172411_185,class_H1_20240222-172411_185,b8VM-hHhL,H1,h1pe,H,Low_Cursor
tch_H1_20240128-142311_86,class_H1_20240128-142311_86,nGZa-7Crp,H1,h1pe,H,Low_Cursor
tch_H1_20240222-110512_188,class_H1_20240222-110512_188,Jujm-Zx74,H1,h1pe,H,Low_Cursor
tch_H1_20240102-192514_74,class_H1_20240102-192514_74,GTJW-Y8E4,H1,h1pe,H,Low_Cursor
tch_H1_20240124-195937_85,class_H1_20240124-195937_85,L4eu-iB7v,H1,h1pe,H,Low_Cursor
tch_H1_20240128-180332_85,class_H1_20240128-180332_85,P3h8-j7nb,H1,h1pe,H,Low_Cursor
tch_H1_20240128-205614_87,class_H1_20240128-205614_87,GsJh-y6un,H1,h1pe,H,Low_Cursor
tch_H1_20240128-130831_87,class_H1_20240128-130831_87,9nZb-m989,H1,h1pe,H,Low_Cursor
tch_H1_20240124-195937_87,class_H1_20240124-195937_87,ghU2-Rh6H,H1,h1pe,H,Low_Cursor
tch_H1_20240222-172411_187,class_H1_20240222-172411_187,832y-DVt9,H1,h1pe,H,Low_Cursor
tch_H1_20240128-170457_85,class_H1_20240128-170457_85,o49B-2Vsx,H1,h1pe,H,Low_Cursor
tch_H1_20240128-130831_86,class_H1_20240128-130831_86,dHz3-G6Rz,H1,h1pe,H,Low_Cursor
tch_H1_20240128-170457_86,class_H1_20240128-170457_86,LJyo-YeKL,H1,h1pe,H,Low_Cursor
tch_H1_20240222-143108_187,class_H1_20240222-143108_187,4zHL-JXL6,H1,h1pe,H,Low_Cursor
tch_H1_20240128-170457_88,class_H1_20240128-170457_88,97nE-x2G6,H1,h1pe,H,Low_Cursor
