extuserid,classcode,classid,invid,tchextuserid,category,pe_category,pe_end_index,category_type
std_y694-Z8pg_1717765823220_2,jNuM-ibGs,472b483d-9bf9-49ea-8dde-d40ed9ba9f41,f8920c88-5532-43e2-b2e2-e89cd34247b3,tch_L1_20240409-140741_9,L1,l1pe,4,L
std_6a8p-aiUB_1717765823220_6,zJR8-zGFE,44297487-22b9-4d7d-bcff-7ab59d21159c,82403242-e9f1-4c90-ab0a-3eca06d4c4af,tch_L1_20240409-140741_10,L1,l1pe,4,L
std_6mhB-FWkg_1717765824070_5,os4V-qsRc,9dbdda7d-b123-4726-ae46-a7b00eb457db,a6e2f594-049c-42c3-9ac6-691aff297811,tch_L1_20240409-140741_11,L1,l1pe,4,L
std_dMtR-7G8q_1717765823451_3,xc4h-T9DK,e57597d5-2c8b-4781-921d-77b4697cb45d,c66d979b-a42d-4cc9-a904-7e51e50a0811,tch_L2_20240409-140741_16,L1,l1pe,4,L
std_436R-QWqo_1717765824736_4,3kmh-R264,65a33d6b-a20e-47fe-8f86-9941f80e89fe,9ce3b4ca-c5f6-416e-9bc2-7ab8f22701fa,tch_L2_20240409-140741_17,L1,l1pe,4,L
std_6a8p-aiUB_1717765825261_6,DPgX-27ge,0cd13854-29b8-4f1b-89c4-6bf50f061c89,c0088046-8317-4b95-8a16-9838079ffba8,tch_L2_20240409-140741_18,L1,l1pe,4,L
std_8Aqv-M37g_1717765826051_7,4dKh-V9i9,e3fdbe31-7022-4799-ae2b-26f42079e47c,52c171b6-c539-404e-8422-5986b68891cf,tch_L3_20240409-140741_29,L1,l1pe,4,L
std_6mhB-FWkg_1717765825570_5,fnNe-pmt3,5c31d6be-8db2-4ef4-b5ae-515bec68c935,9e0fc706-f933-4262-a478-76692046941a,tch_L7_20240409-140741_34,L1,l1pe,4,L
std_dMtR-7G8q_1717765825616_3,bk69-b96M,9e18f1ff-2702-41e9-a9aa-916deff71382,5f434d37-c0d5-415f-8413-0df8e656af2c,tch_L3_20240409-140741_31,L1,l1pe,4,L
std_436R-QWqo_1717765826679_4,PA89-fg8g,66c452f4-5492-47c4-b716-69d033fc234a,80277e35-2c69-4a87-b5de-1958f892a229,tch_L3_20240409-140741_30,L1,l1pe,4,L
std_8Aqv-M37g_1717765827781_7,2R32-9bfD,7321caba-2104-4dc1-b4a1-faaf982d3390,479d2fc7-0521-435e-9801-d4b08e2f9771,tch_L7_20240409-140741_35,L1,l1pe,4,L
std_dMtR-7G8q_1717765828027_3,PRZj-qb9F,586b7c25-9554-4ef7-889f-79ee9b4d97e9,6ec13107-0bfb-4c19-829b-e523199cf9ed,tch_L7_20240409-140741_36,L1,l1pe,4,L
std_6a8p-aiUB_1717765827532_6,epgi-4Dd4,27de2080-7066-4a50-9aac-f633312406d9,3d0210e5-d0ba-4ab0-a2c8-07f72669c264,tch_L8_20240409-140741_49,L1,l1pe,4,L
std_6mhB-FWkg_1717765827874_5,FGhM-upsC,85ee09a1-132a-48f2-bfff-b8ea82effb8e,fc4780c9-72d5-415b-bf02-d495a84207fd,tch_L8_20240409-140741_50,L1,l1pe,4,L
std_436R-QWqo_1717765828801_4,KHx3-MY2u,2e41a20d-d497-4395-966f-b7813a3347aa,8d378b2e-992d-4f86-a92a-84a5a96c70f5,tch_L8_20240409-140741_51,L1,l1pe,4,L
std_8Aqv-M37g_1717765829603_7,BwE2-aeXR,45822210-8683-4cf1-b8bb-7aae39b1e179,3f0a41dd-4c1b-458b-b679-eceef0a1a7de,tch_L9_20240409-140741_60,L1,l1pe,4,L
std_dMtR-7G8q_1717765829928_3,48c2-9AWy,7b12ed7b-adf3-40ed-83d5-e1e9a49abea3,9ca58aae-0ae0-45f1-a4fa-8824eb48a6cf,tch_M1_20240409-140741_69,L1,l1pe,4,L
std_6a8p-aiUB_1717765829974_6,aDir-72P9,53d5ada8-be4f-4518-8e40-79ff8c91cb6a,f4997799-65a1-425c-a21e-cdd8bac1653d,tch_M2_20240409-140741_71,L1,l1pe,4,L
std_6mhB-FWkg_1717765830281_5,MCYy-86Hx,c354b579-4e13-41ae-a71f-e3fa30cde461,53016bfe-2a99-4aa0-8ca7-e14bfecff597,tch_M3_20240409-140741_74,L1,l1pe,4,L
std_436R-QWqo_1717765830851_4,K2u8-YRwL,01952682-b751-456f-bff0-5deb7a70c29e,215d2732-0c8e-423c-b3d6-f191da367634,tch_M4_20240409-140741_79,L1,l1pe,4,L
std_8Aqv-M37g_1717765831452_7,FKb6-ieo8,c6e0fe56-0b4a-4ee7-a320-03ddef49cfd6,7e89e9af-cffe-4949-a9eb-d47babdf3b9c,tch_H2_20240409-140741_91,L1,l1pe,4,L
std_dMtR-7G8q_1717765831514_3,7D2h-4EnF,a47ad690-9a3c-4625-8aed-90d2befd668c,4780423c-1429-479e-b504-2806d8c175f6,tch_H1_20240409-140741_86,L1,l1pe,4,L
std_6a8p-aiUB_1717765831976_6,3Wsv-2CjX,9328a844-a083-4f16-a842-dcc9486d6a03,040165cd-ef46-4b56-9e11-54df8b37a77a,tch_H3_20240409-140741_92,L1,l1pe,4,L
std_6mhB-FWkg_1717765832342_5,e9x9-8e68,db817d06-930a-452b-82cd-c25b89641f36,d36906b5-7787-4dac-a129-1cae7625ab1d,tch_H3_20240409-140741_93,L1,l1pe,4,L
std_436R-QWqo_1717765832911_4,jNuM-ibGs,472b483d-9bf9-49ea-8dde-d40ed9ba9f41,81afc871-658d-4734-933d-6ccba2f85518,tch_L1_20240409-140741_9,L1,l1pe,4,L
std_dMtR-7G8q_1717765833961_3,zJR8-zGFE,44297487-22b9-4d7d-bcff-7ab59d21159c,ca642406-171f-468a-8429-311cdbd38013,tch_L1_20240409-140741_10,L1,l1pe,4,L
