std_extuserid,classcode,classid,invitationid,tch
s41_1592994187160_1,6BAZ-hqnW,790c6019-b604-11ea-94cc-0242ac110002,fa2e6edc-f67a-4b42-9600-910e06b07bbb,t241_20200624-155115_1
s41_1592994204535_1,6BAZ-hqnW,790c6019-b604-11ea-94cc-0242ac110002,c3dc435c-5e86-4628-b790-284e71b66f6d,t241_20200624-155115_1
s41_1592994223087_1,6BAZ-hqnW,790c6019-b604-11ea-94cc-0242ac110002,e5ff2eaa-9459-409c-868b-52709a994b69,t241_20200624-155115_1
s41_1592994290572_3,P49p-ufm4,b6b2ffe0-b604-11ea-840b-0242ac110002,779e837d-0ac0-4195-87a0-c26c039a883f,t241_20200624-155115_3
s41_1592994302140_1,6BAZ-hqnW,790c6019-b604-11ea-94cc-0242ac110002,2bcab023-e2fc-4d9d-960e-e9db634fea89,t241_20200624-155115_1
s41_1592994305659_2,7Vns-3r7e,9a84cc4a-b604-11ea-840b-0242ac110002,e4dbccbf-5706-49f6-9d38-b5eb0b2d3481,t241_20200624-155115_2
s41_1592994309715_3,P49p-ufm4,b6b2ffe0-b604-11ea-840b-0242ac110002,188ac209-efed-43d2-9985-3ba4fc4138c3,t241_20200624-155115_3
s41_1592994319967_1,6BAZ-hqnW,790c6019-b604-11ea-94cc-0242ac110002,c43d05ca-5f02-422c-b2a3-834308a1b78c,t241_20200624-155115_1
s41_1592994324969_2,7Vns-3r7e,9a84cc4a-b604-11ea-840b-0242ac110002,085922d3-08c7-4567-88e4-3dab5591c837,t241_20200624-155115_2
s41_1592994330023_3,P49p-ufm4,b6b2ffe0-b604-11ea-840b-0242ac110002,d456979e-1509-4291-8ea9-91e0181a141c,t241_20200624-155115_3
s41_1592994338213_1,6BAZ-hqnW,790c6019-b604-11ea-94cc-0242ac110002,5567f2b7-6081-41ac-a18e-7c5fa3bfaeb3,t241_20200624-155115_1
s41_1592994341402_4,Q2C8-eaMc,d515c791-b604-11ea-94cc-0242ac110002,42a44019-b19a-42ac-883d-f7cd502bd9fb,t241_20200624-155115_4
s41_1592994342465_2,7Vns-3r7e,9a84cc4a-b604-11ea-840b-0242ac110002,5cb9d797-0973-4c04-a77b-6073c8df07c5,t241_20200624-155115_2
s41_1592994349176_3,P49p-ufm4,b6b2ffe0-b604-11ea-840b-0242ac110002,d436101f-7b13-43d1-b4ac-163c32336eac,t241_20200624-155115_3
s41_1592994357834_1,6BAZ-hqnW,790c6019-b604-11ea-94cc-0242ac110002,f2f7c007-7bf9-4b41-9cfb-961e406123e5,t241_20200624-155115_1
s41_1592994360789_4,Q2C8-eaMc,d515c791-b604-11ea-94cc-0242ac110002,56cf5c85-b1c9-4252-85c7-3d599558e61d,t241_20200624-155115_4
s41_1592994361421_2,7Vns-3r7e,9a84cc4a-b604-11ea-840b-0242ac110002,15081fd0-7aeb-4c87-8103-b653ae46f7c2,t241_20200624-155115_2
s41_1592994368975_3,P49p-ufm4,b6b2ffe0-b604-11ea-840b-0242ac110002,d15553b1-5f91-441f-8ef9-a17dba1a040c,t241_20200624-155115_3
s41_1592994373748_1,6BAZ-hqnW,790c6019-b604-11ea-94cc-0242ac110002,f27c0793-a9a8-4c7b-ad9f-51e6f9dd29bf,t241_20200624-155115_1
s41_1592994378814_5,YUZ7-AWX3,f18cc413-b604-11ea-840b-0242ac110002,011e2873-8dce-4d46-9a35-5450be6615eb,t241_20200624-155115_5
s41_1592994381521_4,Q2C8-eaMc,d515c791-b604-11ea-94cc-0242ac110002,54295250-64d7-4dd5-8bae-af8e8f5b50eb,t241_20200624-155115_4
s41_1592994381723_2,7Vns-3r7e,9a84cc4a-b604-11ea-840b-0242ac110002,423e12f9-3824-475d-a472-7a78e684ba05,t241_20200624-155115_2
s41_1592994389530_3,P49p-ufm4,b6b2ffe0-b604-11ea-840b-0242ac110002,74964833-1759-453e-9fe5-34b010edd50c,t241_20200624-155115_3
s41_1592994394893_1,6BAZ-hqnW,790c6019-b604-11ea-94cc-0242ac110002,45853ca1-dc58-459f-8170-d831dd9af18c,t241_20200624-155115_1
s41_1592994398027_5,YUZ7-AWX3,f18cc413-b604-11ea-840b-0242ac110002,04ad70e5-c053-48cb-b748-d12dedc7acdc,t241_20200624-155115_5
s41_1592994400148_4,Q2C8-eaMc,d515c791-b604-11ea-94cc-0242ac110002,08c09fa5-4a2c-4592-b99f-1ad16ec58ee6,t241_20200624-155115_4
s41_1592994401891_2,7Vns-3r7e,9a84cc4a-b604-11ea-840b-0242ac110002,4afbea8a-9642-40c1-9e3d-5d2f6d1b8688,t241_20200624-155115_2
s41_1592994405475_3,P49p-ufm4,b6b2ffe0-b604-11ea-840b-0242ac110002,fe6ee543-1a7a-4a7a-b15d-9d7661a42770,t241_20200624-155115_3
s41_1592994413189_1,6BAZ-hqnW,790c6019-b604-11ea-94cc-0242ac110002,6e921536-8e05-45d8-93af-807a26cf0afd,t241_20200624-155115_1
s41_1592994417858_5,YUZ7-AWX3,f18cc413-b604-11ea-840b-0242ac110002,484e82aa-3139-420b-b02c-8d8944e850a6,t241_20200624-155115_5
s41_1592994421732_2,7Vns-3r7e,9a84cc4a-b604-11ea-840b-0242ac110002,95b7f444-d9fa-4bac-b400-b1fc88f2554d,t241_20200624-155115_2
s41_1592994420727_4,Q2C8-eaMc,d515c791-b604-11ea-94cc-0242ac110002,06344280-eeb2-46c6-bdc5-74bf292d7b40,t241_20200624-155115_4
