extuserid,classcode,classid,invid,tchextuserid,category,category_type
s42_1736225405835_56,9J2x-7Y69,8fc5e468-aed8-4021-b45a-6141be15fcab,7efd2368-42c0-4f58-85ae-d47daa1b561e,tch_L1_20241220-102523_1,L1,L
s42_1736229347526_17,g286-wk7T,9789aad5-c1dc-4f16-b603-6e21b05e0ce6,1d6942ac-4af9-4273-9036-12cf3720eeb1,tch_H1_20241211-114436_13,H1,H
s42_1735808684432_30,ERUw-NCK7,ea62e409-ba06-46a3-bfa1-ea2daee95b49,ba317d71-d90e-4454-a14a-45dbdd81b7cd,tch_M3_20241220-112940_11,M3,M
s42_1735803134828_23,oH8m-b2zY,e2a9c835-de79-4f6f-8af1-797826ce2b3f,f58093fa-6907-45d0-aab4-deb50e83d8e7,tch_M2_20241219-114559_10,M2,M
s42_1735800133034_31,FGHG-nqV4,2198db49-386d-421b-a7b6-b8c4709ec0a0,ee8fe85f-a8db-4b77-8cd3-24dfedbb1444,tch_L9_20241220-120126_9,L9,L
s42_1736225180630_43,J8fP-79oQ,5f7cc648-e982-44f1-a234-dfc156984660,62aa487b-ffc2-42e5-a886-e48b7383b6b2,tch_L1_20241211-114436_2,L1,L
s42_1735807681521_8,AXC8-eyi7,573fdbe1-58ef-461b-b2c4-47d52d2b1653,10962e40-e266-433f-8472-2dd8959c7440,tch_M3_20241114-152217_11,M3,M
s42_1736225361250_52,7N7x-2KEm,527d843a-2c2b-4d29-a5f3-619ff3dd0c1f,a0be3f2c-bc11-4087-873c-fd60503cc8f9,tch_L1_20241219-130914_2,L1,L
s42_1736227949333_40,9PLb-MD6Y,02f21d4c-3b1c-4fdb-b2ff-961dbae94c81,28243375-b013-489e-86e7-86383a763ef6,tch_L2_20241219-105858_4,L2,L
s42_1735793142331_26,uVeU-K69c,d6003091-d20d-455d-b068-18e4f0ad4349,a29d0ab0-3a82-4b3b-bb25-a6c115008bb4,tch_L8_20241219-130914_8,L8,L
s42_1735807326741_1,ueEa-teq6,65a7709d-25b6-458b-a25e-b09a454a2ecf,2760fd5b-d03c-454e-8373-21ef3945d394,tch_M3_20241114-102050_11,M3,M
s42_1736224535438_14,LPTB-j9pU,c28aceb9-e526-44c6-9ebf-2636e1ffe098,7d0730bf-766f-4af6-8c13-82d4693dfcfd,tch_L1_20241114-143802_2,L1,L
s42_1736227818623_33,X74A-3w9Q,a428a380-9d4f-4fb0-9197-ac75630dac3f,e21b7815-b4c5-4671-a060-98e3cb11af4c,tch_L2_20241211-114436_3,L2,L
s42_1735808702531_30,ERUw-NCK7,ea62e409-ba06-46a3-bfa1-ea2daee95b49,d99106c0-2e66-45da-a3ba-9cc3a7a46806,tch_M3_20241220-112940_11,M3,M
s42_1735808541533_26,4M3k-V8DJ,32ebbba8-7aaa-4991-ab7c-19a8cb176eab,ed1724cd-29d4-492a-99d9-1de9069af1bd,tch_M3_20241219-130914_11,M3,M
s42_1735628911549_10,8Nf8-c9hg,d66a5665-6c5e-45b3-a180-faa367f3ce6a,cf5a317f-8a1a-45cd-a77d-b79193313cc6,tch_L3_20241114-161323_5,L3,L
s42_1736224752713_20,g2W4-Vqjq,63df8e8e-b15c-4a56-9ae1-ead804ce09b2,2569663b-058f-4dcb-8347-c479c3fd6a1f,tch_L1_20241114-161323_2,L1,L
s42_1736225510883_60,p2p2-d72d,2b99df2e-50ba-4995-8277-bc9e964a4b4c,d5a76d53-5388-4eec-82fd-90fc75ab1fb2,tch_L1_20241220-112940_2,L1,L
s42_1736224879734_29,8J7T-bxP9,b787a090-ef0c-4367-8c54-5ab9df6021af,08486f1c-d901-4a35-b60b-d0e5c3756198,tch_L1_20241211-104452_1,L1,L
s42_1735629923332_13,F7x6-y2CX,adf0bc6d-5b4e-46b4-927c-f45346953a12,5970ee7a-d0c9-4105-8e74-ba4e4d50ba44,tch_L7_20241114-143802_6,L7,L
s42_1736224467677_7,x7g7-iK94,af80acde-2969-4f8e-a6d3-a4e88ff44cc5,4569cce2-5a7e-431e-a154-e4fb9e5ee655,tch_L1_20241114-122355_1,L1,L
s42_1735807700675_10,3CiJ-b3TR,004cd98f-83a8-48b9-a1bc-0a13f772d635,5fdcae34-1566-4087-93f3-a75d798972e0,tch_M3_20241114-161323_11,M3,M
s42_1735811055597_31,pBnD-2j49,a185c741-2f2d-46ec-b0cb-692bef5538bc,0ccb1b37-5a13-492f-9bf1-3b75ab9b044e,tch_M5_20241220-120126_12,M5,M
s42_1735798690121_4,dH49-3b78,94a8ba92-d8b3-4aeb-8409-7f715bc09bd7,d3c2e43d-f2de-4991-a115-abd61f71ace3,tch_L9_20241114-122355_9,L9,L
s42_1736228179732_51,Ldn9-xC2Y,825a8961-fd86-4000-8f3b-89e77a60f6e3,7beb6002-2ffa-4bf4-bd72-640d09dc7022,tch_L2_20241219-130914_3,L2,L
s42_1736224363410_3,s7Ds-KYQ7,add4051d-8f41-46af-a540-4943652e94d1,10ea8b11-208f-4b16-9633-643b38a24d80,tch_L1_20241114-105717_1,L1,L
s42_1735810495420_22,RMe6-pjP2,bfd75004-8e22-4cac-843c-c13431468479,f70ee9cb-4ce5-43d8-9008-9376578d1ede,tch_M5_20241211-114436_12,M5,M
s42_1736227906856_40,9PLb-MD6Y,02f21d4c-3b1c-4fdb-b2ff-961dbae94c81,d330be5e-6c93-4ee7-8b22-820736a7b9d7,tch_L2_20241219-105858_4,L2,L
