teacvherextuserid,classcode,classid,invitationid
perf_teacher1015_20190802-183704_7,3Mje-MFhe,4c398790-b515-11e9-89b9-0242ac110002,af9ac3bf-9a0e-4a76-b47a-e335fc7b8ccc
perf_teacher1015_20190802-183704_6,6jfh-LhQ8,4bd98da6-b515-11e9-9198-0242ac110003,34e84394-0e3f-432a-8522-6a10e704fc2c
perf_teacher1015_20190802-183704_5,dDGW-dcE7,4a01e703-b515-11e9-89b9-0242ac110002,16b117db-788a-48af-8872-51396c411dea
perf_teacher1015_20190802-183704_11,8ch8-JjHj,4ee63128-b515-11e9-9198-0242ac110003,771d8cbb-95e3-438b-b7fd-79a33083e18c
perf_teacher1015_20190802-183704_8,fj83-b6MN,4ca197f6-b515-11e9-aead-0242ac110003,cedc51fe-460d-463d-b86c-315e8d8f6283
perf_teacher1015_20190802-183704_9,7cGH-9ZGU,4d0cb671-b515-11e9-ad14-0242ac110003,4fc9c786-605f-476e-adb5-82ac640aca1f
perf_teacher1015_20190802-183704_10,ePj7-c6fd,4f1bbfc6-b515-11e9-a587-0242ac110003,956edac0-6477-49d6-844c-27b4f3c981df
perf_teacher1015_20190802-183704_14,adUM-J4c8,4d9e6e6d-b515-11e9-a587-0242ac110003,8b287fe3-b60f-487e-b67d-da94836378f8
perf_teacher1015_20190802-183704_12,9826-e9cf,4eb24fdc-b515-11e9-a587-0242ac110003,a27b42f6-137b-41f2-84ec-50e823c36f73
perf_teacher1015_20190802-183704_13,dKi4-Gci7,4dd44bfb-b515-11e9-89b9-0242ac110002,d831aede-1f84-49c6-a7aa-b665dde7dc9b
perf_teacher1015_20190802-183704_16,CA2F-C7dj,50a6cd1a-b515-11e9-89b9-0242ac110002,fd6ec687-6373-4519-88ed-b3ce896ca26c
perf_teacher1015_20190802-183704_17,8ebY-8YjM,52e06954-b515-11e9-ad14-0242ac110003,4daf671a-3536-4651-bf7f-b787f14c0d7b
perf_teacher1015_20190802-183704_15,jfX9-4J8b,507053c2-b515-11e9-aead-0242ac110003,4fc84d10-dc3e-4a02-ac10-4e682f0e3cf2
perf_teacher1015_20190802-183704_19,3idL-id72,514aad8c-b515-11e9-9198-0242ac110003,189f12d6-e0b8-4a29-8f12-0eaabdf5c227
perf_teacher1015_20190802-183704_20,9Vgd-af8c,52f85e3e-b515-11e9-ad14-0242ac110003,420c9c46-9348-4b80-ab20-19d3e27a2de2
perf_teacher1015_20190802-183704_18,Tc9c-G4RM,5277e37a-b515-11e9-aead-0242ac110003,19610318-bd8c-4559-955a-abd915aec526
perf_teacher1015_20190802-183704_21,dMc2-ZQHC,53adf1cb-b515-11e9-9198-0242ac110003,03d27814-908f-43fd-92f0-323ac0773afe
perf_teacher1015_20190802-183704_22,PjXE-f3F2,559fafc4-b515-11e9-9198-0242ac110003,e4430529-979a-41cd-9dc8-833ef5376b2b
perf_teacher1015_20190802-183704_23,NgHi-MbjG,5895224d-b515-11e9-ad14-0242ac110003,16d1ab99-0e98-4a0c-bac5-98aad7ff30cf
