teacherextuserid,classcode,classid,invitationid,tch
dcc348dc8db842e48e433726428fb495,aF36-8rAW,3d879ca1-bc4e-11ea-94cc-0242ac110002,e455f654-cce8-4137-a710-f9b8e40c448c,28f4538e0e224a84939d42b23a3e891e
t11045_1592814521964_10,Zg3t-wKj9,4d2d241b-b462-11ea-840b-0242ac110002,09181fb2-2972-43b9-90d1-8621d09574ef,t21045_20200622-135152_10
t11045_1592814522377_7,3q39-DnYJ,0627d66c-b462-11ea-840b-0242ac110002,9f95ccaa-c1ff-492e-afa7-eac8ea24e304,t21045_20200622-135152_7
t11045_1592814520537_5,mg4j-2h43,d940eed4-b461-11ea-94cc-0242ac110002,41adbdc7-8933-44f3-bcab-068f0fdb8562,t21045_20200622-135152_5
t11045_1592814527750_4,27W9-QEu7,be2b565d-b461-11ea-840b-0242ac110002,8f7da75f-9fe9-4099-8372-6fc38987b0e0,t21045_20200622-135152_4
t11045_1592814529151_6,28E2-9ZBD,ee5c3902-b461-11ea-94cc-0242ac110002,7bc56667-4c17-4eba-9fb2-07fa0ea7a9e4,t21045_20200622-135152_6
t11045_1592814535032_10,Zg3t-wKj9,4d2d241b-b462-11ea-840b-0242ac110002,841c91fd-56dd-4c8c-9982-be6b5235e2b9,t21045_20200622-135152_10
t11045_1592814532821_8,7KnX-2TEs,1fc9b9e6-b462-11ea-94cc-0242ac110002,2b30d4b9-1dca-4c57-b34b-484d41ee7f9f,t21045_20200622-135152_8
t11045_1592814534178_9,8cD8-VLEp,352d7ebd-b462-11ea-94cc-0242ac110002,4358a5fc-f5cd-4478-95e9-01689ec46c7b,t21045_20200622-135152_9
t11045_1592814538515_5,mg4j-2h43,d940eed4-b461-11ea-94cc-0242ac110002,6e6618f0-4f11-4a5a-a4f7-1a5fa9fd7aa9,t21045_20200622-135152_5
t11045_1592814535682_7,3q39-DnYJ,0627d66c-b462-11ea-840b-0242ac110002,bdd9e39a-4383-4b81-891e-cd366058beda,t21045_20200622-135152_7
t11045_1592814544826_6,28E2-9ZBD,ee5c3902-b461-11ea-94cc-0242ac110002,9c30a170-f7a3-4355-8932-864b111fd767,t21045_20200622-135152_6
t11045_1592814542006_4,27W9-QEu7,be2b565d-b461-11ea-840b-0242ac110002,8864b021-7198-42f7-98db-454f916b146e,t21045_20200622-135152_4
t11045_1592814546367_10,Zg3t-wKj9,4d2d241b-b462-11ea-840b-0242ac110002,da856630-aedd-4b2d-a779-cdf82ef66c79,t21045_20200622-135152_10
t11045_1592814548651_9,8cD8-VLEp,352d7ebd-b462-11ea-94cc-0242ac110002,1edf3d2e-d561-4872-a468-98b3e8c154be,t21045_20200622-135152_9
t11045_1592814547767_8,7KnX-2TEs,1fc9b9e6-b462-11ea-94cc-0242ac110002,9f87204b-18f0-44a8-a1f5-66e6a53f9799,t21045_20200622-135152_8
t11045_1592814551219_5,mg4j-2h43,d940eed4-b461-11ea-94cc-0242ac110002,c27e44df-acc5-4f67-bfc6-900deb63ec95,t21045_20200622-135152_5
t11045_1592814553169_7,3q39-DnYJ,0627d66c-b462-11ea-840b-0242ac110002,61480114-eae6-470d-bb13-c6d7e16fdf0a,t21045_20200622-135152_7
t11045_1592814557131_6,28E2-9ZBD,ee5c3902-b461-11ea-94cc-0242ac110002,b30be2f7-1fd9-49ed-a9bf-965a609757da,t21045_20200622-135152_6
t11045_1592814561007_9,8cD8-VLEp,352d7ebd-b462-11ea-94cc-0242ac110002,548b2df9-099a-4040-8f74-1b94a64a83a4,t21045_20200622-135152_9
t11045_1592814560614_10,Zg3t-wKj9,4d2d241b-b462-11ea-840b-0242ac110002,4db50201-3319-4eb3-8181-59db53e9953c,t21045_20200622-135152_10
t11045_1592814565431_8,7KnX-2TEs,1fc9b9e6-b462-11ea-94cc-0242ac110002,3538adfd-d540-4e3d-925b-3cd80ad43961,t21045_20200622-135152_8
t11045_1592814566540_7,3q39-DnYJ,0627d66c-b462-11ea-840b-0242ac110002,4ce4ea94-84a2-4ad0-a8d1-1ca7cb53fb4a,t21045_20200622-135152_7
t11045_1592814566022_5,mg4j-2h43,d940eed4-b461-11ea-94cc-0242ac110002,166e6dbb-01d2-43d9-a80a-02fc1ca5f37f,t21045_20200622-135152_5
t11045_1592814569971_6,28E2-9ZBD,ee5c3902-b461-11ea-94cc-0242ac110002,ac8d3010-134e-4df2-9c6e-6146bfb554a0,t21045_20200622-135152_6
t11045_1592814575814_9,8cD8-VLEp,352d7ebd-b462-11ea-94cc-0242ac110002,951a9476-bb80-4a00-92e1-c1fb46de44aa,t21045_20200622-135152_9
t11045_1592814580370_7,3q39-DnYJ,0627d66c-b462-11ea-840b-0242ac110002,809060c6-8d9c-492c-928b-f7a489d9b97b,t21045_20200622-135152_7
