tchextuserid,stduuid,stdextid,classcode
tch_20240418-114603_25,0b2f4093-d065-456c-a1ce-b610a7d05dc4,std_1713436316744_11,L6ET-7zU7
tch_20240418-114603_71,b328da96-a81a-4817-a589-d9c51223af41,std_1713436315118_61,E96u-2m9i
tch_20240418-114603_55,93e0af7a-854b-4649-a43c-ccc74206d608,std_1713436319063_49,d6p4-x4GV
tch_20240418-114603_72,a1e8ad64-a7ec-4753-a477-d4b8b5a79a5f,std_1713436320061_30,w9hb-fDs3
tch_20240418-114603_41,a848b024-2f0d-4bdc-85e9-8ab4efea8789,std_1713436316928_14,jhUD-9yAz
tch_20240418-114603_24,ed43ddb3-75ff-4080-8727-484980bb27bd,std_1713436318961_54,tnsZ-fxg4
tch_20240418-114603_73,dc1a2c09-fc86-4d5f-b98a-efa1db1d2781,std_1713436320298_73,bD7B-knkW
tch_20240418-114603_59,5a8e0c61-3a09-4962-8078-a0815237291f,std_1713436322018_60,68Q2-g4dt
tch_20240418-114603_57,0feab9b2-1a4a-4957-b155-e479a69cd0ad,std_1713436322019_48,XKnY-ghnT
tch_20240418-114603_27,1c936abb-a926-4bdf-adc2-019de60082b5,std_1713436324194_65,29ma-pQ6Q
tch_20240418-114603_56,0fb6ba67-ac5b-47fa-9071-50a128dc0464,std_1713436320376_70,7vJ7-i3sV
tch_20240418-114603_74,1db64791-4930-42a2-a1d0-1b798a4ba0d7,std_1713436320565_51,k4A4-QBNx
tch_20240418-114603_58,f744d7a4-f672-4b44-b657-da2a75ab3894,std_1713436321168_59,LA4v-wezQ
tch_20240418-114603_75,155327ac-5309-48c3-9de8-bf22d445d383,std_1713436320793_62,grMN-8w9U
tch_20240418-114603_61,772c3bb6-fdf4-4f52-b417-16fe0cb80405,std_1713436323897_18,4wve-RV79
tch_20240418-114603_44,875c9b91-5d1c-47ea-a48c-2bc38b18989e,std_1713436322780_68,9Xw2-qRVt
tch_20240418-114603_42,7f725cce-86eb-46b9-ae54-8038847c9666,std_1713436324730_16,HZ46-a8gd
tch_20240418-114603_76,c5cec00c-7113-4b30-b6f4-481889b0952a,std_1713436325705_63,GZm8-NVAP
tch_20240418-114603_47,4caad498-c5c3-4da9-b302-c6baa5fcb180,std_1713436326806_47,8P2m-iZGJ
tch_20240418-114603_62,e0d13553-7721-459b-8c68-88c79c3511d1,std_1713436325242_39,yRF6-psyF
tch_20240418-114603_63,5e195351-7dd6-4955-9cbc-d209a2d07086,std_1713436324436_71,b93P-E3Cc
tch_20240418-114603_46,c7993851-d718-4453-b8db-ca2a41511d6a,std_1713436326424_57,mPhx-9RTf
tch_20240418-114603_26,2f16e9d7-da92-4e23-abe5-0b9e30159fe0,std_1713436324574_33,nb29-6LDG
tch_20240418-114603_34,10e25b80-786a-4c2a-b1d3-db82b03bf29a,std_1713436329893_66,dEqz-cBXr
tch_20240418-114603_33,48c4cef2-e082-46bb-8b05-58ad24ca9944,std_1713436330930_45,b2Wv-pLs3
tch_20240418-114603_77,d99785ec-5982-472e-8013-b138f9ee4a9e,std_1713436329415_41,DgAd-43fz
