tchextid,stduserid,stdextid,classcode
tch_20200706-220859_30,dcea6311-c11a-11ea-af23-0242ac110002,std_1594213169770_130,dhFy-VL2n
tch_20200706-220859_21,e1a2e1a9-c11a-11ea-af23-0242ac110002,std_1594213178101_121,8bj4-A7Ho
tch_20200706-220859_31,e1a13399-c11a-11ea-887e-0242ac110002,std_1594213177776_131,mfyZ-vM7u
tch_20200706-220859_25,e2b11d23-c11a-11ea-acee-0242ac110002,std_1594213179813_125,YUB4-2yHV
tch_20200706-220859_28,e4cea6c0-c11a-11ea-af23-0242ac110002,std_1594213183385_128,gjFx-UJnk
tch_20200706-220859_32,e673a38b-c11a-11ea-887e-0242ac110002,std_1594213185781_132,f3q7-3D86
tch_20200706-220859_26,e74d13e9-c11a-11ea-acee-0242ac110002,std_1594213187558_126,Ur89-2Nec
tch_20200706-220859_29,e68e3013-c11a-11ea-acee-0242ac110002,std_1594213186313_129,d9yF-i4zZ
tch_20200706-220859_22,e7a8c8ce-c11a-11ea-887e-0242ac110002,std_1594213188195_122,PE6E-v4V6
tch_20200706-220859_23,e945af0f-c11a-11ea-acee-0242ac110002,std_1594213190836_123,p4Qf-nh67
tch_20200706-220859_33,eb37468b-c11a-11ea-acee-0242ac110002,std_1594213193785_133,uroU-p2P9
tch_20200706-220859_27,ed1d1da4-c11a-11ea-af23-0242ac110002,std_1594213197332_127,3bNB-E826
tch_20200706-220859_24,eea591f5-c11a-11ea-acee-0242ac110002,std_1594213199901_124,7L2z-g8uK
tch_20200706-220859_34,effee064-c11a-11ea-887e-0242ac110002,std_1594213201792_134,FT7U-46Ya
tch_20200706-220859_30,ef47c575-c11a-11ea-af23-0242ac110002,std_1594213200954_130,dhFy-VL2n
tch_20200706-220859_25,f19b049c-c11a-11ea-acee-0242ac110002,std_1594213204860_125,YUB4-2yHV
tch_20200706-220859_31,f107769e-c11a-11ea-acee-0242ac110002,std_1594213203889_131,mfyZ-vM7u
tch_20200706-220859_28,f3653d4b-c11a-11ea-acee-0242ac110002,std_1594213207848_128,gjFx-UJnk
tch_20200706-220859_32,f58e0fe8-c11a-11ea-af23-0242ac110002,std_1594213211488_132,f3q7-3D86
tch_20200706-220859_35,f4c8768c-c11a-11ea-887e-0242ac110002,std_1594213209799_135,yicW-7LC9
tch_20200706-220859_29,f6c35bdf-c11a-11ea-af23-0242ac110002,std_1594213213527_129,d9yF-i4zZ
tch_20200706-220859_26,f62e20ed-c11a-11ea-af23-0242ac110002,std_1594213212524_126,Ur89-2Nec
tch_20200706-220859_36,f98477b0-c11a-11ea-acee-0242ac110002,std_1594213217805_136,Lo83-Bn6f
tch_20200706-220859_33,fcce99ab-c11a-11ea-af23-0242ac110002,std_1594213223652_133,uroU-p2P9
tch_20200706-220859_27,fdc10fa7-c11a-11ea-acee-0242ac110002,std_1594213225243_127,3bNB-E826
tch_20200706-220859_37,fe4693d7-c11a-11ea-af23-0242ac110002,std_1594213225810_137,nGtN-2iZ4
tch_20200706-220859_34,ff852e3a-c11a-11ea-887e-0242ac110002,std_1594213228220_134,FT7U-46Ya
tch_20200706-220859_30,ffbbcee5-c11a-11ea-acee-0242ac110002,std_1594213228527_130,dhFy-VL2n
tch_20200706-220859_31,02335e93-c11b-11ea-acee-0242ac110002,std_1594213232684_131,mfyZ-vM7u
tch_20200706-220859_38,030d43d3-c11b-11ea-acee-0242ac110002,std_1594213233817_138,AXsy-JCnU
tch_20200706-220859_32,033899b6-c11b-11ea-887e-0242ac110002,std_1594213234434_132,f3q7-3D86
tch_20200706-220859_35,03dc5367-c11b-11ea-af23-0242ac110002,std_1594213235446_135,yicW-7LC9
tch_20200706-220859_28,02d76633-c11b-11ea-887e-0242ac110002,std_1594213233756_128,gjFx-UJnk
tch_20200706-220859_39,07d04a69-c11b-11ea-887e-0242ac110002,std_1594213241822_139,ofnd-fc39
tch_20200706-220859_29,06eec3a8-c11b-11ea-887e-0242ac110002,std_1594213240647_129,d9yF-i4zZ
tch_20200706-220859_36,07892e93-c11b-11ea-af23-0242ac110002,std_1594213241649_136,Lo83-Bn6f
tch_20200706-220859_33,0baf5905-c11b-11ea-af23-0242ac110002,std_1594213248643_133,uroU-p2P9
tch_20200706-220859_40,0c9572f2-c11b-11ea-acee-0242ac110002,std_1594213249829_140,3F4N-z4w7
tch_20200706-220859_37,0d935b9f-c11b-11ea-887e-0242ac110002,std_1594213251771_137,nGtN-2iZ4
tch_20200706-220859_41,115c4a4a-c11b-11ea-acee-0242ac110002,std_1594213257838_141,8rT4-YMfu
