stdextid,groupid,tchextid
std_1705253835496_32,8b030d58-2d42-4c2a-9e07-c7785093da41,tch_20240114-225417_32
std_1705254057370_25,e7aa5145-d85f-49a9-923f-0322234a853a,tch_20240114-225417_25
std_1705253957185_29,1ba96fd2-550c-480d-b1a8-fd4b722d969e,tch_20240114-225417_29
std_1705254173295_26,58f5e364-c8b5-459b-82ce-c2e37d855485,tch_20240114-225417_26
std_1705253956214_30,f69fee7d-3dd2-451d-9834-95317fd70966,tch_20240114-225417_30
std_1705254177208_23,8f180b94-43b1-4393-9f10-9555284bb433,tch_20240114-225417_23
std_1705254188282_27,12413108-de1b-4f2b-a474-1af5be0b5ed7,tch_20240114-225417_27
std_1705253856305_34,321963a3-97ff-454c-af8c-01eb8a9149a9,tch_20240114-225417_34
std_1705253975423_33,2f90f833-a756-4e50-8dd3-11e9580f9e86,tch_20240114-225417_33
std_1705254072771_28,ce858751-1ca9-4b60-80c9-253988dab27e,tch_20240114-225417_28
std_1705253985623_35,f8d35e2e-724b-4dc1-b45e-9eeb9231c005,tch_20240114-225417_35
std_1705254089996_31,8251318f-6ddf-4554-9b38-a2b9463516ad,tch_20240114-225417_31
std_1705253977844_32,e11b6e04-4593-4360-91c9-eed2ebd4bdd4,tch_20240114-225417_32
std_1705254094787_29,c6df0c5a-1655-4856-befc-bb74b1aa11de,tch_20240114-225417_29
std_1705254199153_25,44641501-0849-4e63-bb8c-e2ed102c054e,tch_20240114-225417_25
std_1705254096292_30,8f908ebe-88ec-4fa9-ad1d-b267011bacf3,tch_20240114-225417_30
std_1705253873534_37,58ccfb9e-49c8-4a21-b2bb-e7705f0968cf,tch_20240114-225417_37
std_1705253884044_36,f22a5571-6bb7-4a7c-bf54-e48d37f2db14,tch_20240114-225417_36
std_1705253990456_34,b6e44175-df01-4452-ad4c-ab8e56e2ac4f,tch_20240114-225417_34
std_1705254213328_28,9794d612-ae37-4aea-a4b6-b834db46022d,tch_20240114-225417_28
std_1705254112122_35,0e66f307-5fde-45fc-9439-5b07ef7eab96,tch_20240114-225417_35
std_1705253906321_40,0b917d9a-180b-4166-826d-a0767b50331b,tch_20240114-225417_40
std_1705254111948_33,86198077-8d86-4a81-89a1-5698cb3a71e9,tch_20240114-225417_33
std_1705253900521_39,6d574384-de42-4c9a-9ba6-d40310fb321d,tch_20240114-225417_39
