stdextid,grpid,tchextid
std_1593157406066_53,4c9920c8-f5ec-4c20-83fa-75e6d1100bae,tch_20200626-122441_53
std_1593157096982_51,26f9aef9-86b5-4578-9525-a7151894b1fe,tch_20200626-122441_51
std_1593157436629_54,cd695055-df44-4f8a-99c3-fd722394f798,tch_20200626-122441_54
std_1593156582739_52,eec23eba-e6ad-4e63-8197-ec7de31ccc29,tch_20200626-122441_52
std_1593157131361_53,c6169b1a-928e-4e9c-b033-bdff18ece682,tch_20200626-122441_53
std_1593156844102_51,57b7ffb8-4a5b-4f1b-b25f-5a498a9c609c,tch_20200626-122441_51
std_1593157387625_50,d8573f78-fd4d-47d8-b71d-a3a8c189ee66,tch_20200626-122441_50
std_1593157153022_54,5be0bd0b-189e-4ac3-992d-da3b6159364c,tch_20200626-122441_54
std_1593157433489_55,67365c05-fc48-4bc8-9795-cfaa6ddb2aab,tch_20200626-122441_55
std_1593156890946_53,7637c631-1541-4b70-b0dd-c8328d47c332,tch_20200626-122441_53
std_1593156563507_51,1404d61f-0844-4c50-a8c0-3dd117cf4598,tch_20200626-122441_51
std_1593157097832_50,c839a1b2-16c1-4b61-9afa-d5103ff871b6,tch_20200626-122441_50
std_1593156900424_54,bf60d0c0-90f9-489e-9242-43f902ee3cf0,tch_20200626-122441_54
std_1593157194811_55,b67e6bdd-1a18-4c58-b9f7-3c99359b12f5,tch_20200626-122441_55
std_1593156615895_53,f09902a1-bb6b-492f-ab86-7e82b10940ba,tch_20200626-122441_53
std_1593156827254_50,9e2a293b-3d0f-4f21-a58a-d4b186bcd1bb,tch_20200626-122441_50
std_1593156639235_54,e39b53fe-dea7-4aa3-9b65-ab3d298b5b9c,tch_20200626-122441_54
std_1593157571938_56,fbb082a8-a7df-4161-8d77-7763914d4084,tch_20200626-122441_56
std_1593156938910_55,b1034044-e5b2-453c-bd71-1009ec5be3ad,tch_20200626-122441_55
std_1593157549483_60,f20d88a4-0ab4-4c7f-99e1-6802502203c0,tch_20200626-122441_60
std_1593156532985_50,9529450b-bcd9-4012-bd14-ab86cfcdb67e,tch_20200626-122441_50
std_1593157550375_57,ae610423-b953-4178-97fb-a458a77476ef,tch_20200626-122441_57
std_1593157283577_56,b2dd64af-7347-42c5-b315-caad0ccc9f3b,tch_20200626-122441_56
std_1593156685421_55,32044653-7e4c-4806-8af1-120a02c33646,tch_20200626-122441_55
std_1593157254235_60,bf574d1d-b700-4b8c-8ebb-4192d20ced4d,tch_20200626-122441_60
std_1593157583965_58,e7f4aa31-9f39-4464-a832-0ccfe7dc3c31,tch_20200626-122441_58
std_1593157282820_57,32d7398d-e385-46f2-9ce3-98cf63ca4d9e,tch_20200626-122441_57
std_1593157588101_59,bfdc1175-727f-45a7-8e2f-f642d23d697a,tch_20200626-122441_59
std_1593156980130_56,72bd5b33-8b2e-4289-ad12-128a1729fcb7,tch_20200626-122441_56
std_1593157045881_60,373fecc7-d73c-4c8c-b93a-9b438eea67d1,tch_20200626-122441_60
std_1593157649281_61,9a49de98-2c67-41d5-8d92-fd2ec3df1a99,tch_20200626-122441_61
std_1593157299416_58,8e09ebcb-bc04-428b-bad7-d3f9e387c78a,tch_20200626-122441_58
std_1593157639913_63,c4c2b84f-1ab1-49f0-ba8a-af5840fc3d1f,tch_20200626-122441_63
std_1593157007553_57,f4d6a18a-a4c3-47d8-8e7e-9f47f062a279,tch_20200626-122441_57
