tchextid,stduuid,stdextid,groupid
tch_20200713-112355_25,7f48dd35-c4ce-11ea-89f8-0242ac110002,std_1594620176351_25,00c5a5c5-158b-497e-816d-941333509b53
tch_20200713-112355_21,235855ce-c4ce-11ea-89f8-0242ac110002,std_1594620022072_21,fc0149bd-69bb-41fd-b970-9d6454cf5e96
tch_20200713-112355_20,029f6921-c4ce-11ea-89f8-0242ac110002,std_1594619969477_20,cf5be517-f7f2-40da-8aa3-ec0fa8a22796
tch_20200713-112355_19,0942ef42-c4ce-11ea-af23-0242ac110002,std_1594619978316_19,54a46f44-f859-42d3-9632-af728f5ea537
tch_20200713-112355_27,bcb8b569-c4ce-11ea-acee-0242ac110002,std_1594620279406_27,5dc30db9-bf0e-464e-a473-44e3fe443b87
tch_20200713-112355_26,b7f9cd24-c4ce-11ea-af23-0242ac110002,std_1594620271468_26,210e1323-98a0-440e-8518-ea6480f6c641
tch_20200713-112355_28,db3daa38-c4ce-11ea-89f8-0242ac110002,std_1594620330625_28,318d9e58-9a69-4132-af85-a8173644a523
tch_20200713-112355_24,6cdf45c7-c4ce-11ea-89f8-0242ac110002,std_1594620145454_24,23c52e7a-4175-4cac-9e9a-c081b8c9f9d6
tch_20200713-112355_23,6b55bec0-c4ce-11ea-96b3-0242ac110002,std_1594620142859_23,787d0b2e-c429-4746-881b-132a6897aae1
tch_20200713-112355_22,37566faf-c4ce-11ea-acee-0242ac110002,std_1594620055623_22,06316181-549d-4c32-9181-10591ed0e658
tch_20200713-112355_32,38181c55-c4cf-11ea-acee-0242ac110002,std_1594620486416_32,7da8bcde-780c-4d55-8225-8678b5db02d7
tch_20200713-112355_21,1627b738-c4ce-11ea-96b3-0242ac110002,std_1594619999942_21,fc0149bd-69bb-41fd-b970-9d6454cf5e96
tch_20200713-112355_25,728f1c7e-c4ce-11ea-acee-0242ac110002,std_1594620155004_25,00c5a5c5-158b-497e-816d-941333509b53
tch_20200713-112355_19,f99a73d8-c4cd-11ea-96b3-0242ac110002,std_1594619954335_19,54a46f44-f859-42d3-9632-af728f5ea537
tch_20200713-112355_29,e92d2b33-c4ce-11ea-af23-0242ac110002,std_1594620353982_29,a4cf8ce3-4ec5-49fa-804c-63cf26d468a5
tch_20200713-112355_28,cd5443ec-c4ce-11ea-89f8-0242ac110002,std_1594620307297_28,318d9e58-9a69-4132-af85-a8173644a523
tch_20200713-112355_23,5e22fe04-c4ce-11ea-89f8-0242ac110002,std_1594620120713_23,787d0b2e-c429-4746-881b-132a6897aae1
tch_20200713-112355_24,613f5933-c4ce-11ea-acee-0242ac110002,std_1594620125950_24,23c52e7a-4175-4cac-9e9a-c081b8c9f9d6
tch_20200713-112355_22,2a7f8a7e-c4ce-11ea-af23-0242ac110002,std_1594620034096_22,06316181-549d-4c32-9181-10591ed0e658
tch_20200713-112355_32,2cd210f1-c4cf-11ea-89f8-0242ac110002,std_1594620467489_32,7da8bcde-780c-4d55-8225-8678b5db02d7
tch_20200713-112355_21,085b4ef1-c4ce-11ea-af23-0242ac110002,std_1594619976833_21,fc0149bd-69bb-41fd-b970-9d6454cf5e96
tch_20200713-112355_25,62dcdd40-c4ce-11ea-89f8-0242ac110002,std_1594620128657_25,00c5a5c5-158b-497e-816d-941333509b53
tch_20200713-112355_28,c121db5d-c4ce-11ea-89f8-0242ac110002,std_1594620286824_28,318d9e58-9a69-4132-af85-a8173644a523
tch_20200713-112355_29,d9fffa64-c4ce-11ea-89f8-0242ac110002,std_1594620328536_29,a4cf8ce3-4ec5-49fa-804c-63cf26d468a5
tch_20200713-112355_22,1e091479-c4ce-11ea-96b3-0242ac110002,std_1594620013161_22,06316181-549d-4c32-9181-10591ed0e658
tch_20200713-112355_32,20bc0a21-c4cf-11ea-96b3-0242ac110002,std_1594620447235_32,7da8bcde-780c-4d55-8225-8678b5db02d7
tch_20200713-112355_31,54788414-c4cf-11ea-96b3-0242ac110002,std_1594620533984_31,737cb151-9527-45c9-8269-0eebe10f4957
tch_20200713-112355_33,55e61dd3-c4cf-11ea-af23-0242ac110002,std_1594620536406_33,832c2f24-87a2-4f0b-a159-1fd798bcc209
tch_20200713-112355_29,cdb1580d-c4ce-11ea-af23-0242ac110002,std_1594620307916_29,a4cf8ce3-4ec5-49fa-804c-63cf26d468a5
tch_20200713-112355_30,f8a87d48-c4ce-11ea-acee-0242ac110002,std_1594620379976_30,628a0015-cf41-430a-8c19-4dec43c5aeb3
tch_20200713-112355_22,11428315-c4ce-11ea-af23-0242ac110002,std_1594619991726_22,06316181-549d-4c32-9181-10591ed0e658
