tchextid,stduuid,stdextid,groupid
tch_20240114-210426_7,a66b3025-fb5f-49f0-9613-68fd60c106f5,std_1705247026548_7,27386e1f-c27f-42ed-b912-2277304350a8
tch_20240114-210426_2,e572df4c-c203-404e-a20e-b7c5efbe1ab2,std_1705247131251_2,ed876e56-efb1-4f11-871e-c21d4e9e68c5
tch_20240114-210426_3,89a2b3e6-92d4-47f4-8abb-6b7a5f6d8d7b,std_1705247124686_3,9680c25a-ce3b-4fb2-9b0b-e799787afae9
tch_20240114-210426_1,a2447100-4673-4190-9f3f-d6ea2b5a5d43,std_1705247109846_1,afc83b1b-47a3-41f3-902f-44e3c8cf372c
tch_20240114-210426_4,70b2eba9-763c-4bc5-aaa2-1275b9915a25,std_1705247061331_4,31333ceb-ce61-4f8f-9874-e5ef26df6ea2
tch_20240114-210426_7,64604fc0-fad4-4739-a984-e372d74ce967,std_1705247052185_7,27386e1f-c27f-42ed-b912-2277304350a8
tch_20240114-210426_1,4a02c4bc-b14d-4083-a2d1-ad07c721ad9d,std_1705247137661_1,afc83b1b-47a3-41f3-902f-44e3c8cf372c
tch_20240114-210426_2,145e8618-100d-4fa1-ad9e-c4843b1d5be1,std_1705247153896_2,ed876e56-efb1-4f11-871e-c21d4e9e68c5
tch_20240114-210426_3,b8ca3b55-8231-4ece-8b89-3a6a97494607,std_1705247149380_3,9680c25a-ce3b-4fb2-9b0b-e799787afae9
tch_20240114-210426_1,e0a9a63f-f64a-4b9e-b529-ac7685792b68,std_1705247162575_1,afc83b1b-47a3-41f3-902f-44e3c8cf372c
tch_20240114-210426_7,f6ce2e48-086e-49f1-a928-3719db9551a2,std_1705247082638_7,27386e1f-c27f-42ed-b912-2277304350a8
tch_20240114-210426_2,7cd52348-1779-40f7-a2da-646388bd9589,std_1705247178948_2,ed876e56-efb1-4f11-871e-c21d4e9e68c5
tch_20240114-210426_3,5cb93e24-0521-4bd5-994e-6ba2ff972430,std_1705247179881_3,9680c25a-ce3b-4fb2-9b0b-e799787afae9
tch_20240114-210426_6,fea7eaae-b73f-4488-8cd6-41e71a666556,std_1705247008155_6,8a066da5-244b-4100-9c72-257f8e49ded7
tch_20240114-210426_5,68ed738b-6612-457f-a2e7-c124c8fcdf8d,std_1705247122411_5,4665882f-cf27-4df7-95b9-3b4fbbf8b942
tch_20240114-210426_6,ec258ec2-088e-431b-857c-b0e99466ec08,std_1705247033930_6,8a066da5-244b-4100-9c72-257f8e49ded7
tch_20240114-210426_5,2131712c-7163-49d7-b59e-b0eb275a6471,std_1705247148598_5,4665882f-cf27-4df7-95b9-3b4fbbf8b942
tch_20240114-210426_6,8796b2eb-0773-4f1a-8a8f-4a8abcc51023,std_1705247063916_6,8a066da5-244b-4100-9c72-257f8e49ded7
tch_20240114-210426_4,bf1b735e-5d09-4a2a-bd53-d5c2cbbd4d28,std_1705247117505_4,d9ca5f73-e9a6-4d5d-a118-fbf5bd7096bc
tch_20240114-210426_1,104e0475-bdf8-4e36-a12c-aa2f983224f0,std_1705247221715_1,95657825-aa7c-4ad5-9ed8-d5aa7bc12f0e
tch_20240114-210426_5,aaf3e5c5-1fd7-4a1f-8f3e-58c5b62085d0,std_1705247173759_5,4665882f-cf27-4df7-95b9-3b4fbbf8b942
tch_20240114-210426_7,8fddcf8b-f884-4471-a458-03487cf2645f,std_1705247137797_7,81a66ea8-6772-4b41-97a8-d806409f771b
