tchextid,studentuuid,stdextid,groupid
tch_20200703-010627_77,b0006116-bca2-11ea-840b-0242ac110002,std_1593721750884_77,887ff650-5045-45b7-8aff-06ecf30dbea5
tch_20200703-010627_76,22491f99-bca3-11ea-840b-0242ac110002,std_1593721942638_76,5f3a3219-91fd-4de0-b310-3e5b3fa2f41b
tch_20200703-010627_75,4626c055-bca2-11ea-94cc-0242ac110002,std_1593721573300_75,69daaf0a-740e-443a-b870-c9bb616cfa72
tch_20200703-010627_78,23b6e021-bca3-11ea-840b-0242ac110002,std_1593721945023_78,37f457c7-8f6c-4c41-b1ba-6bbf16eba540
tch_20200703-010627_77,9f7462f0-bca2-11ea-840b-0242ac110002,std_1593721723128_77,887ff650-5045-45b7-8aff-06ecf30dbea5
tch_20200703-010627_76,10716738-bca3-11ea-94cc-0242ac110002,std_1593721912658_76,5f3a3219-91fd-4de0-b310-3e5b3fa2f41b
tch_20200703-010627_75,3726e0cc-bca2-11ea-94cc-0242ac110002,std_1593721548141_75,69daaf0a-740e-443a-b870-c9bb616cfa72
tch_20200703-010627_78,14649a90-bca3-11ea-840b-0242ac110002,std_1593721919298_78,37f457c7-8f6c-4c41-b1ba-6bbf16eba540
tch_20200703-010627_76,0051bf94-bca3-11ea-94cc-0242ac110002,std_1593721885617_76,5f3a3219-91fd-4de0-b310-3e5b3fa2f41b
tch_20200703-010627_78,03e064e5-bca3-11ea-94cc-0242ac110002,std_1593721891613_78,37f457c7-8f6c-4c41-b1ba-6bbf16eba540
tch_20200703-010627_74,0b2fb113-bca2-11ea-840b-0242ac110002,std_1593721474362_74,c072ba38-50a8-4155-9266-99b9c9d7ec20
tch_20200703-010627_74,fd04fb58-bca1-11ea-94cc-0242ac110002,std_1593721450596_74,c072ba38-50a8-4155-9266-99b9c9d7ec20
tch_20200703-010627_74,ecbdf591-bca1-11ea-840b-0242ac110002,std_1593721423319_74,c072ba38-50a8-4155-9266-99b9c9d7ec20
