tchextid,repeatcount,page
b93b975f8be3474884d39cdabd6de9c4,1,60
Perf_teacher_20210323-192858_5,1,60
Perf_teacher_20210323-192858_6,1,60
Perf_teacher_20210323-192858_7,1,60
Perf_teacher_20210323-192858_8,1,60
Perf_teacher_20210323-192858_9,1,60
Perf_teacher_20210323-192858_10,1,60
Perf_teacher_20210323-192858_12,1,60
Perf_teacher_20210323-192858_11,1,60
41b73574ae874238b77ffcb55fb83b04,1,60
Perf_teacher_20210323-192858_13,1,60
Perf_teacher_20210323-192858_14,1,60
Perf_teacher_20210323-192858_15,1,60
Perf_teacher_20210323-192858_17,1,60
Perf_teacher_20210323-192858_16,1,60
Perf_teacher_20210323-192858_18,1,60
Perf_teacher_20210323-192858_19,1,60
Perf_teacher_20210323-192858_20,1,60
Perf_teacher_20210323-192858_21,1,60
Perf_teacher_20210323-192858_22,1,60
Perf_teacher_20210323-192858_23,1,60
Perf_teacher_20210323-192858_24,1,60
Perf_teacher_20210323-192858_26,1,60
Perf_teacher_20210323-192858_25,1,60
Perf_teacher_20210323-192858_27,1,60
Perf_teacher_20210323-192858_28,1,60
Perf_teacher_20210323-192858_29,1,60
Perf_teacher_20210323-192858_30,1,60
Perf_teacher_20210323-192858_31,1,60
Perf_teacher_20210323-192858_32,1,60
Perf_teacher_20210323-192858_33,1,60
Perf_teacher_20210323-192858_34,1,60
Perf_teacher_20210323-192858_35,1,60
Perf_teacher_20210323-192858_36,1,60
Perf_teacher_20210323-192858_37,1,60
Perf_teacher_20210323-192858_38,1,60
Perf_teacher_20210323-192858_39,1,60
Perf_teacher_20210323-192858_40,1,60
Perf_teacher_20210323-192858_41,1,60
Perf_teacher_20210323-192858_42,1,60
Perf_teacher_20210323-192858_43,1,60
Perf_teacher_20210323-192858_45,1,60
Perf_teacher_20210323-192858_44,1,60
Perf_teacher_20210323-192858_46,1,60
Perf_teacher_20210323-192858_47,1,60
Perf_teacher_20210323-192858_48,1,60
Perf_teacher_20210323-192858_49,1,60
Perf_teacher_20210323-192858_50,1,60
Perf_teacher_20210323-192858_51,1,60
Perf_teacher_20210323-192858_52,1,60
Perf_teacher_20210323-192858_53,1,60
Perf_teacher_20210323-192858_54,1,60
Perf_teacher_20210323-192858_55,1,60
Perf_teacher_20210323-192858_56,1,60
Perf_teacher_20210323-192858_57,1,60
Perf_teacher_20210323-192858_58,1,60
Perf_teacher_20210323-192858_59,1,60
Perf_teacher_20210323-192858_60,1,60
Perf_teacher_20210323-192858_61,1,60
Perf_teacher_20210323-192858_62,1,60
Perf_teacher_20210323-192858_63,1,60
Perf_teacher_20210323-192858_64,1,60
Perf_teacher_20210323-192858_65,1,60
Perf_teacher_20210323-192858_66,1,60
Perf_teacher_20210323-192858_67,1,60
Perf_teacher_20210323-192858_68,1,60
Perf_teacher_20210323-192858_69,1,60
Perf_teacher_20210323-192858_70,1,60
Perf_teacher_20210323-192858_71,1,60
Perf_teacher_20210323-192858_72,1,60
Perf_teacher_20210323-192858_73,1,60
Perf_teacher_20210323-192858_74,1,60
Perf_teacher_20210323-192858_75,1,60
Perf_teacher_20210323-192858_77,1,60
Perf_teacher_20210323-192858_76,1,60
Perf_teacher_20210323-192858_78,1,60
Perf_teacher_20210323-192858_79,1,60
Perf_teacher_20210323-192858_80,1,60
Perf_teacher_20210323-192858_82,1,60
Perf_teacher_20210323-192858_81,1,60
Perf_teacher_20210323-192858_83,1,60
Perf_teacher_20210323-192858_84,1,60
Perf_teacher_20210323-192858_85,1,60
Perf_teacher_20210323-192858_86,1,60
Perf_teacher_20210323-192858_87,1,60
Perf_teacher_20210323-192858_88,1,60
Perf_teacher_20210323-192858_89,1,60
Perf_teacher_20210323-192858_90,1,60
Perf_teacher_20210323-192858_91,1,60
Perf_teacher_20210323-192858_93,1,60
Perf_teacher_20210323-192858_92,1,60
Perf_teacher_20210323-192858_94,1,60
Perf_teacher_20210323-192858_95,1,60
Perf_teacher_20210323-192858_96,1,60
Perf_teacher_20210323-192858_97,1,60
Perf_teacher_20210323-192858_98,1,60
Perf_teacher_20210323-192858_99,1,60
Perf_teacher_20210323-192858_100,1,60
tch_20210323-222548_1,1,60
tch_20210323-222548_2,1,60
tch_20210323-222548_3,1,60
tch_20210323-222548_5,1,60
tch_20210323-222548_4,1,60
tch_20210323-222548_6,1,60
tch_20210323-222548_7,1,60
tch_20210323-222548_8,1,60
tch_20210323-222548_9,1,60
tch_20210323-222548_10,1,60
tch_20210323-222548_11,1,60
tch_20210323-222548_12,1,60
tch_20210323-222548_13,1,60
tch_20210323-222548_14,1,60
tch_20210323-222548_15,1,60
tch_20210323-222548_16,1,60
tch_20210323-222548_17,1,60
tch_20210323-222548_18,1,60
tch_20210323-222548_20,1,60
tch_20210323-222548_19,1,60
tch_20210323-222548_21,1,60
tch_20210323-222548_22,1,60
tch_20210323-222548_23,1,60
tch_20210323-222548_24,1,60
tch_20210323-222548_25,1,60
tch_20210323-222548_26,1,60
tch_20210323-222548_27,1,60
tch_20210323-222548_29,1,60
tch_20210323-222548_28,1,60
tch_20210323-222548_30,1,60
tch_20210323-222548_31,1,60
tch_20210323-222548_32,1,60
tch_20210323-222548_33,1,60
tch_20210323-222548_35,1,60
tch_20210323-222548_34,1,60
tch_20210323-222548_36,1,60
tch_20210323-222548_37,1,60
tch_20210323-222548_39,1,60
tch_20210323-222548_38,1,60
tch_20210323-222548_40,1,60
tch_20210323-222548_41,1,60
tch_20210323-222548_43,1,60
tch_20210323-222548_42,1,60
tch_20210323-222548_44,1,60
tch_20210323-222548_46,1,60
tch_20210323-222548_45,1,60
tch_20210323-222548_47,1,60
tch_20210323-222548_48,1,60
tch_20210323-222548_49,1,60
tch_20210323-222548_51,1,60
tch_20210323-222548_50,1,60
tch_20210323-222548_52,1,60
tch_20210323-222548_53,1,60
tch_20210323-222548_54,1,60
tch_20210323-222548_55,1,60
tch_20210323-222548_56,1,60
tch_20210323-222548_57,1,60
tch_20210323-222548_58,1,60
tch_20210323-222548_59,1,60
tch_20210323-222548_60,1,60
tch_20210323-222548_61,1,60
tch_20210323-222548_62,1,60
tch_20210323-222548_64,1,60
tch_20210323-222548_63,1,60
tch_20210323-222548_65,1,60
tch_20210323-222548_66,1,60
tch_20210323-222548_67,1,60
tch_20210323-222548_68,1,60
tch_20210323-222548_69,1,60
tch_20210323-222548_70,1,60
tch_20210323-222548_71,1,60
tch_20210323-222548_72,1,60
tch_20210323-222548_73,1,60
tch_20210323-222548_74,1,60
tch_20210323-222548_75,1,60
tch_20210323-222548_76,1,60
tch_20210323-222548_77,1,60
tch_20210323-222548_78,1,60
tch_20210323-222548_79,1,60
tch_20210323-222548_80,1,60
tch_20210323-222548_82,1,60
tch_20210323-222548_81,1,60
tch_20210323-222548_83,1,60
tch_20210323-222548_84,1,60
tch_20210323-222548_86,1,60
tch_20210323-222548_85,1,60
tch_20210323-222548_87,1,60
tch_20210323-222548_88,1,60
tch_20210323-222548_89,1,60
tch_20210323-222548_90,1,60
tch_20210323-222548_91,1,60
tch_20210323-222548_92,1,60
tch_20210323-222548_93,1,60
tch_20210323-222548_95,1,60
tch_20210323-222548_94,1,60
tch_20210323-222548_96,1,60
tch_20210323-222548_97,1,60
tch_20210323-222548_99,1,60
tch_20210323-222548_98,1,60
tch_20210323-222548_100,1,60
tch_20210323-222548_101,1,60
tch_20210323-222548_102,1,60
tch_20210323-222548_103,1,60
tch_20210323-222548_104,1,60
tch_20210323-222548_105,1,60
tch_20210323-222548_106,1,60
tch_20210323-222548_108,1,60
tch_20210323-222548_107,1,60
tch_20210323-222548_109,1,60
tch_20210323-222548_110,1,60
tch_20210323-222548_111,1,60
tch_20210323-222548_113,1,60
tch_20210323-222548_112,1,60
tch_20210323-222548_114,1,60
tch_20210323-222548_115,1,60
tch_20210323-222548_117,1,60
tch_20210323-222548_116,1,60
tch_20210323-222548_119,1,60
tch_20210323-222548_118,1,60
tch_20210323-222548_120,1,60
tch_20210323-222548_121,1,60
tch_20210323-222548_123,1,60
tch_20210323-222548_122,1,60
tch_20210323-222548_125,1,60
tch_20210323-222548_124,1,60
tch_20210323-222548_126,1,60
tch_20210323-222548_127,1,60
tch_20210323-222548_128,1,60
tch_20210323-222548_129,1,60
tch_20210323-222548_130,1,60
tch_20210323-222548_131,1,60
tch_20210323-222548_132,1,60
tch_20210323-222548_134,1,60
tch_20210323-222548_133,1,60
tch_20210323-222548_135,1,60
tch_20210323-222548_136,1,60
tch_20210323-222548_137,1,60
tch_20210323-222548_138,1,60
tch_20210323-222548_139,1,60
tch_20210323-222548_140,1,60
tch_20210323-222548_141,1,60
tch_20210323-222548_142,1,60
tch_20210323-222548_143,1,60
tch_20210323-222548_144,1,60
tch_20210323-222548_145,1,60
tch_20210323-222548_146,1,60
tch_20210323-222548_147,1,60
tch_20210323-222548_148,1,60
tch_20210323-222548_149,1,60
tch_20210323-222548_150,1,60
tch_20210323-222548_151,1,60
tch_20210323-222548_152,1,60
tch_20210323-222548_154,1,60
tch_20210323-222548_153,1,60
tch_20210323-222548_155,1,60
tch_20210323-222548_156,1,60
tch_20210323-222548_157,1,60
tch_20210323-222548_159,1,60
tch_20210323-222548_158,1,60
tch_20210323-222548_161,1,60
tch_20210323-222548_160,1,60
tch_20210323-222548_162,1,60
tch_20210323-222548_163,1,60
tch_20210323-222548_164,1,60
tch_20210323-222548_165,1,60
tch_20210323-222548_166,1,60
tch_20210323-222548_167,1,60
tch_20210323-222548_168,1,60
tch_20210323-222548_169,1,60
tch_20210323-222548_170,1,60
tch_20210323-222548_171,1,60
tch_20210323-222548_173,1,60
tch_20210323-222548_172,1,60
tch_20210323-222548_174,1,60
tch_20210323-222548_175,1,60
tch_20210323-222548_176,1,60
tch_20210323-222548_177,1,60
tch_20210323-222548_178,1,60
tch_20210323-222548_179,1,60
tch_20210323-222548_180,1,60
tch_20210323-222548_181,1,60
tch_20210323-222548_182,1,60
tch_20210323-222548_183,1,60
tch_20210323-222548_184,1,60
tch_20210323-222548_185,1,60
tch_20210323-222548_186,1,60
tch_20210323-222548_187,1,60
tch_20210323-222548_188,1,60
tch_20210323-222548_189,1,60
tch_20210323-222548_190,1,60
tch_20210323-222548_191,1,60
tch_20210323-222548_192,1,60
tch_20210323-222548_193,1,60
tch_20210323-222548_195,1,60
tch_20210323-222548_194,1,60
tch_20210323-222548_196,1,60
tch_20210323-222548_197,1,60
tch_20210323-222548_198,1,60
tch_20210323-222548_199,1,60
tch_20210323-222548_200,1,60
Perf_teacher_20210323-195327_1,1,60
Perf_teacher_20210323-195327_2,1,60
Perf_teacher_20210323-195327_3,1,60
Perf_teacher_20210323-195327_5,1,60
Perf_teacher_20210323-195327_4,1,60
Perf_teacher_20210323-195327_6,1,60
Perf_teacher_20210323-195327_7,1,60
Perf_teacher_20210323-195327_8,1,60
Perf_teacher_20210323-195327_9,1,60
Perf_teacher_20210323-195327_11,1,60
