extuserid_admin,classid,category,classcode,category,classid,pe_category,category_type
8578a759092a4361a6db71da58d1d909,tch_L9_20240202-080047_67,class_L9_20240202-080047_67,VCir-Tzxy,L9,2f8d11cd-faa4-4c3c-9f37-792aff3cb8d5,l9pe,L
8578a759092a4361a6db71da58d1d909,tch_M5_20240203-211926_81,class_M5_20240203-211926_81,6bRx-8xPR,M5,beaccbcd-effc-499f-8739-35f585450ca2,m5pe,M
8578a759092a4361a6db71da58d1d909,tch_M3_20240203-221632_74,class_M3_20240203-221632_74,JnHA-3s68,M3,34a8ae8b-5872-4588-8997-28fb275941ca,m3pe,M
8578a759092a4361a6db71da58d1d909,tch_L2_20240203-211926_17,class_L2_20240203-211926_17,zfpD-hg28,L2,8a93d755-ab8e-438d-ad75-92d0ab17e46e,l2pe,L
8578a759092a4361a6db71da58d1d909,tch_L6_20231229-163209_41,class_L6_20231229-163209_41,6o8t-7QtZ,L6,32b51543-1df8-41d5-90d7-3ae3eb70f2f1,l6pe,L
8578a759092a4361a6db71da58d1d909,tch_M3_20240203-211926_74,class_M3_20240203-211926_74,6nEw-6mv2,M3,77d9814e-c4d9-4e66-b1bd-906dbed8d9a2,m3pe,M
8578a759092a4361a6db71da58d1d909,tch_H4_20240201-195548_97,class_H4_20240201-195548_97,23VC-NM2H,H4,3b26939c-9005-4807-95b6-758850a48ce9,h4pe,H
8578a759092a4361a6db71da58d1d909,tch_L6_20231229-173128_47,class_L6_20231229-173128_47,46Xa-48w8,L6,1f910b3d-4a21-4c73-829d-98992ccd6074,l6pe,L
8578a759092a4361a6db71da58d1d909,tch_L7_20240203-211926_46,class_L7_20240203-211926_46,7NxQ-n4J3,L7,ce70a945-e8c4-4486-afbb-c992d974b010,l7pe,L
8578a759092a4361a6db71da58d1d909,tch_L7_20240202-080047_34,class_L7_20240202-080047_34,Arx8-68aj,L7,d035c258-2561-417c-b9c7-98c1a3d5716e,l7pe,L
8578a759092a4361a6db71da58d1d909,tch_L7_20240202-080047_44,class_L7_20240202-080047_44,Z3qp-BNsP,L7,b08f0b88-f7fc-4439-be12-f9f95587f927,l7pe,L
8578a759092a4361a6db71da58d1d909,tch_L6_20231229-163209_47,class_L6_20231229-163209_47,3z9V-4FrQ,L6,3f2b1a41-0bb0-43db-a1a8-9f8a6b2583f6,l6pe,L
8578a759092a4361a6db71da58d1d909,tch_L2_20240202-080047_22,class_L2_20240202-080047_22,eKLy-M3Ea,L2,5f2d5c16-d95b-423d-ad68-5aec828a4eef,l2pe,L
8578a759092a4361a6db71da58d1d909,tch_L2_20240203-211926_18,class_L2_20240203-211926_18,8p6Q-4g69,L2,9c29af89-6c0e-4b69-ae4f-245242779767,l2pe,L
8578a759092a4361a6db71da58d1d909,tch_L3_20240202-080047_31,class_L3_20240202-080047_31,9xQB-hbEr,L3,8fc302be-740c-4881-bf33-f6c10aaa478c,l3pe,L
8578a759092a4361a6db71da58d1d909,tch_L3_20240201-195548_29,class_L3_20240201-195548_29,Hr3a-4qDQ,L3,eecd1db8-b4b7-4cc7-8d45-82124703dd58,l3pe,L
8578a759092a4361a6db71da58d1d909,tch_M3_20240201-195548_74,class_M3_20240201-195548_74,836h-7muQ,M3,67134943-ba5f-4e14-9d0f-af4e729ba701,m3pe,M
8578a759092a4361a6db71da58d1d909,tch_L7_20240201-195548_47,class_L7_20240201-195548_47,Njn2-EzEa,L7,0743c72e-0761-40a8-be40-3b927e27784d,l7pe,L
8578a759092a4361a6db71da58d1d909,tch_L6_20240102-154640_45,class_L6_20240102-154640_45,kE72-WFef,L6,96902237-21e3-4524-a6ef-4b4e4f92e268,l6pe,L
8578a759092a4361a6db71da58d1d909,tch_H3_20240203-221632_95,class_H3_20240203-221632_95,b6tp-HGi9,H3,25e75d0d-418b-493a-8c93-700251563d08,h3pe,H
8578a759092a4361a6db71da58d1d909,tch_L9_20240202-080047_64,class_L9_20240202-080047_64,Vx8c-26K2,L9,e9932c60-b8c4-4e9a-b71f-629206fef448,l9pe,L
8578a759092a4361a6db71da58d1d909,tch_L4_20231229-173128_31,class_L4_20231229-173128_31,FZUe-XZza,L4,8c1c94c5-46a6-44b6-a506-8067494b6110,l4pe,L
8578a759092a4361a6db71da58d1d909,tch_L7_20240202-080047_42,class_L7_20240202-080047_42,W726-cULg,L7,045696bd-c9c9-4406-8a34-ac685cf29a54,l7pe,L
8578a759092a4361a6db71da58d1d909,tch_L2_20240203-221632_23,class_L2_20240203-221632_23,29i8-64jU,L2,2608d868-44c2-4b34-89f3-c7b55e06d46f,l2pe,L
8578a759092a4361a6db71da58d1d909,tch_H2_20240203-221632_91,class_H2_20240203-221632_91,27Ga-rZ9T,H2,5e890aa9-b08f-45ad-8d59-b22798e44fa6,h2pe,H
8578a759092a4361a6db71da58d1d909,tch_L6_20231229-183345_41,class_L6_20231229-183345_41,W3Do-P8Cx,L6,4d4bad15-d74a-4400-ad05-355b6d3258c6,l6pe,L
8578a759092a4361a6db71da58d1d909,tch_L4_20240102-154640_34,class_L4_20240102-154640_34,73r8-An9P,L4,4f78143f-0d54-4de4-b29a-a9559e3d0741,l4pe,L
8578a759092a4361a6db71da58d1d909,tch_L4_20231229-173128_34,class_L4_20231229-173128_34,7o46-n9bM,L4,238abd1e-45a7-47a1-b059-ca84424413f0,l4pe,L
