teacherextuserid,classtitle,classcode2
tch_20220824-175616_16,class_20220824-175616_16,7sT8-yzqx
tch_20220824-175616_17,class_20220824-175616_17,6Tqu-fh27
tch_20220824-175616_18,class_20220824-175616_18,qz8A-gQ4r
tch_20220824-175616_19,class_20220824-175616_19,GrM2-8ERB
tch_20220824-175616_20,class_20220824-175616_20,Pg4F-o3at
tch_20220824-175616_21,class_20220824-175616_21,3veb-U6Tj
tch_20220824-175616_22,class_20220824-175616_22,y8YZ-kKJA
tch_20220824-175616_23,class_20220824-175616_23,9J3q-7uGD
tch_20220824-175616_24,class_20220824-175616_24,vk29-NZsk
tch_20220824-175616_25,class_20220824-175616_25,Znc3-hydZ
tch_20220824-175616_26,class_20220824-175616_26,36LX-6of3
tch_20220824-175616_27,class_20220824-175616_27,xT3M-QmY7
tch_20220824-175616_28,class_20220824-175616_28,89VG-LXKG
tch_20220824-175616_29,class_20220824-175616_29,AX98-DCXp
tch_20220824-175616_30,class_20220824-175616_30,BGTF-L9Vr
