extuserid,class,classcode,bundleCount
tch_20220828-125559_17,Perf_class_20220828-125559_17,KDTW-rJqx,0
tch_20220828-125559_18,Perf_class_20220828-125559_18,FH94-6YQF,0
tch_20220828-125559_19,Perf_class_20220828-125559_19,geRP-9mdc,0
tch_20220828-125559_21,Perf_class_20220828-125559_21,TY26-xhNg,0
tch_20220828-125559_20,Perf_class_20220828-125559_20,273z-enMK,0
tch_20220828-125559_23,Perf_class_20220828-125559_23,we7c-Cuf7,0
tch_20220828-125559_22,Perf_class_20220828-125559_22,mjwN-T3x3,0
tch_20220828-125559_24,Perf_class_20220828-125559_24,WoQc-X69i,0
tch_20220828-125559_27,Perf_class_20220828-125559_27,E9Bv-BRn7,0
tch_20220828-125559_26,Perf_class_20220828-125559_26,DF62-hr2G,0
tch_20220828-125559_28,Perf_class_20220828-125559_28,79hC-4L4Z,1
tch_20220828-125559_25,Perf_class_20220828-125559_25,6Fu4-cVwv,1
tch_20220828-125559_29,Perf_class_20220828-125559_29,z3vz-3NjK,1
tch_20220828-125559_31,Perf_class_20220828-125559_31,arTM-7m8B,1
tch_20220828-125559_30,Perf_class_20220828-125559_30,yKi8-7MiT,1
tch_20220828-125559_32,Perf_class_20220828-125559_32,8v7f-7X8Q,1
tch_20220828-125559_33,Perf_class_20220828-125559_33,F2at-pKxk,1
tch_20220828-125559_37,Perf_class_20220828-125559_37,6Jga-97ZL,1
tch_20220828-125559_35,Perf_class_20220828-125559_35,YDFa-JNa3,1
tch_20220828-125559_34,Perf_class_20220828-125559_34,w9j8-mVwy,1
tch_20220828-125559_36,Perf_class_20220828-125559_36,89X9-wY76,2
tch_20220828-125559_38,Perf_class_20220828-125559_38,YWca-hTcL,2
tch_20220828-125559_41,Perf_class_20220828-125559_41,BvVE-MWL3,2
tch_20220828-125559_40,Perf_class_20220828-125559_40,rjZP-LQ93,2
tch_20220828-125559_39,Perf_class_20220828-125559_39,kbs7-khE8,2
tch_20220828-125559_42,Perf_class_20220828-125559_42,UAaj-Fn7e,2
tch_20220828-125559_43,Perf_class_20220828-125559_43,W9g8-7fvr,2
tch_20220828-125559_44,Perf_class_20220828-125559_44,3bX6-92ye,2
tch_20220828-125559_45,Perf_class_20220828-125559_45,Ctm8-FJtW,2
tch_20220828-125559_47,Perf_class_20220828-125559_47,gL8X-69MG,2
tch_20220828-125559_46,Perf_class_20220828-125559_46,EWZz-P79k,2
tch_20220828-125559_48,Perf_class_20220828-125559_48,8LmL-iN6G,2
tch_20220828-125559_49,Perf_class_20220828-125559_49,sXpd-X4Wh,2
tch_20220828-125559_50,Perf_class_20220828-125559_50,NK7L-4J4m,2
tch_20220828-125559_53,Perf_class_20220828-125559_53,JtoX-nBkf,2
tch_20220828-125559_52,Perf_class_20220828-125559_52,aLsW-NLNs,2
tch_20220828-125559_51,Perf_class_20220828-125559_51,963A-vo2c,2
tch_20220828-125559_54,Perf_class_20220828-125559_54,N6Wf-e498,2
tch_20220828-125559_55,Perf_class_20220828-125559_55,iV6e-s24Z,2
tch_20220828-125559_56,Perf_class_20220828-125559_56,br4y-4V8W,2
tch_20220828-125559_57,Perf_class_20220828-125559_57,23U4-hdFD,2
tch_20220828-125559_59,Perf_class_20220828-125559_59,b42k-X37H,2
tch_20220828-125559_60,Perf_class_20220828-125559_60,Bb6Q-YHxV,3
tch_20220828-125559_58,Perf_class_20220828-125559_58,39k4-2D6F,3
tch_20220828-125559_61,Perf_class_20220828-125559_61,X6uK-c9mH,3
tch_20220828-125559_63,Perf_class_20220828-125559_63,K3zi-rZFK,3
tch_20220828-125559_64,Perf_class_20220828-125559_64,ME3Q-aDTa,3
tch_20220828-125559_62,Perf_class_20220828-125559_62,p98r-s4Y7,4
tch_20220828-125559_66,Perf_class_20220828-125559_66,LiVd-Pg27,4
tch_20220828-125559_65,Perf_class_20220828-125559_65,4X3u-Z9EX,4
tch_20220828-125559_67,Perf_class_20220828-125559_67,n3Zn-Q37u,0
tch_20220828-125559_69,Perf_class_20220828-125559_69,xB6C-fdJk,0
tch_20220828-125559_68,Perf_class_20220828-125559_68,7Rhg-87k9,0
tch_20220828-125559_71,Perf_class_20220828-125559_71,78EZ-PFoL,0
tch_20220828-125559_72,Perf_class_20220828-125559_72,3URc-ze8N,0
tch_20220828-125559_70,Perf_class_20220828-125559_70,khEH-hbnZ,0
tch_20220828-125559_73,Perf_class_20220828-125559_73,83jk-xGDK,0
tch_20220828-125559_75,Perf_class_20220828-125559_75,qT3W-NzE8,0
tch_20220828-125559_74,Perf_class_20220828-125559_74,feTL-7f94,0
tch_20220828-125559_77,Perf_class_20220828-125559_77,KhqG-4qPA,0
tch_20220828-125559_76,Perf_class_20220828-125559_76,FxXw-v79J,1
tch_20220828-125559_78,Perf_class_20220828-125559_78,b4sT-7M4q,1
tch_20220828-125559_79,Perf_class_20220828-125559_79,9jqp-2s7M,1
tch_20220828-125559_80,Perf_class_20220828-125559_80,7oM8-QBQ9,1
tch_20220828-125559_82,Perf_class_20220828-125559_82,GkAh-ThNn,1
tch_20220828-125559_81,Perf_class_20220828-125559_81,RxG6-yMCg,1
tch_20220828-125559_83,Perf_class_20220828-125559_83,yUxu-b3c9,1
tch_20220828-125559_85,Perf_class_20220828-125559_85,hg23-Gs2F,1
tch_20220828-125559_84,Perf_class_20220828-125559_84,jVFD-ion8,1
tch_20220828-125559_89,Perf_class_20220828-125559_89,TPjZ-o8b8,1
tch_20220828-125559_86,Perf_class_20220828-125559_86,43xv-st6a,2
tch_20220828-125559_87,Perf_class_20220828-125559_87,niyF-xL4j,2
tch_20220828-125559_90,Perf_class_20220828-125559_90,bNpi-23Uy,2
tch_20220828-125559_88,Perf_class_20220828-125559_88,tqWX-6ApJ,2
tch_20220828-125559_91,Perf_class_20220828-125559_91,Cuxk-e4XE,2
tch_20220828-125559_94,Perf_class_20220828-125559_94,syKE-djb8,2
tch_20220828-125559_93,Perf_class_20220828-125559_93,ucDq-eGDr,2
tch_20220828-125559_92,Perf_class_20220828-125559_92,XFY6-B24Z,2
tch_20220828-125559_96,Perf_class_20220828-125559_96,6z4i-27gR,2
tch_20220828-125559_95,Perf_class_20220828-125559_95,VP3d-6Rdh,2
tch_20220828-125559_97,Perf_class_20220828-125559_97,fryf-E3do,2
tch_20220828-125559_98,Perf_class_20220828-125559_98,8Lxk-pq9D,2
tch_20220828-125559_99,Perf_class_20220828-125559_99,xP4x-9MVr,2
tch_20220828-125559_100,Perf_class_20220828-125559_100,phfk-2hrN,2
tch_20220828-130321_1,Perf_class_20220828-130321_1,4dx3-z4H3,2
tch_20220828-130321_2,Perf_class_20220828-130321_2,A9iN-nTRX,2
tch_20220828-130321_5,Perf_class_20220828-130321_5,j8wb-78YA,2
tch_20220828-130321_6,Perf_class_20220828-130321_6,DLq2-Zuou,2
tch_20220828-130321_3,Perf_class_20220828-130321_3,3CVP-9n6L,2
tch_20220828-130321_7,Perf_class_20220828-130321_7,q64d-TNDU,2
tch_20220828-130321_4,Perf_class_20220828-130321_4,8FAX-89F6,2
tch_20220828-130321_9,Perf_class_20220828-130321_9,w82E-q87a,2
tch_20220828-130321_8,Perf_class_20220828-130321_8,Ur2h-K6z8,3
tch_20220828-130321_11,Perf_class_20220828-130321_11,Wp2M-763A,3
tch_20220828-130321_12,Perf_class_20220828-130321_12,aCDr-bqnJ,3
tch_20220828-130321_10,Perf_class_20220828-130321_10,QaXn-dLBy,3
tch_20220828-130321_14,Perf_class_20220828-130321_14,NqYw-WtZ4,3
tch_20220828-130321_15,Perf_class_20220828-130321_15,2432-xm92,4
tch_20220828-130321_13,Perf_class_20220828-130321_13,7jKc-3EnE,4
tch_20220828-130321_16,Perf_class_20220828-130321_16,4HYU-YXid,4
tch_20220828-130321_17,Perf_class_20220828-130321_17,h9a6-7eRL,0
tch_20220828-130321_19,Perf_class_20220828-130321_19,o78U-3cCm,0
tch_20220828-130321_18,Perf_class_20220828-130321_18,A4w4-uqpC,0
tch_20220828-130321_21,Perf_class_20220828-130321_21,P786-bV4L,0
tch_20220828-130321_24,Perf_class_20220828-130321_24,4snJ-q94F,0
tch_20220828-130321_20,Perf_class_20220828-130321_20,7MP6-AX3V,0
tch_20220828-130321_22,Perf_class_20220828-130321_22,oz83-oTVD,0
tch_20220828-130321_23,Perf_class_20220828-130321_23,dUEM-Ys9K,0
tch_20220828-130321_26,Perf_class_20220828-130321_26,36m9-miz3,0
tch_20220828-130321_25,Perf_class_20220828-130321_25,aZtH-sBZV,0
tch_20220828-130321_28,Perf_class_20220828-130321_28,76Hw-VJU3,1
tch_20220828-130321_29,Perf_class_20220828-130321_29,qmV7-69nL,1
tch_20220828-130321_27,Perf_class_20220828-130321_27,E4Kt-usja,1
tch_20220828-130321_30,Perf_class_20220828-130321_30,mTBj-Dnz9,1
tch_20220828-130321_32,Perf_class_20220828-130321_32,8a9j-6AdA,1
tch_20220828-130321_33,Perf_class_20220828-130321_33,w8q4-Aagb,1
tch_20220828-130321_31,Perf_class_20220828-130321_31,fYhT-mc8D,1
tch_20220828-130321_34,Perf_class_20220828-130321_34,ny4L-FtQY,1
tch_20220828-130321_35,Perf_class_20220828-130321_35,3ZtZ-D67h,1
tch_20220828-130321_36,Perf_class_20220828-130321_36,39yx-PNj3,1
tch_20220828-130321_38,Perf_class_20220828-130321_38,KzU7-MELr,2
tch_20220828-130321_37,Perf_class_20220828-130321_37,MG6t-KmNo,2
tch_20220828-130321_40,Perf_class_20220828-130321_40,6UFv-ChE6,2
tch_20220828-130321_39,Perf_class_20220828-130321_39,2Ubj-HUDu,2
tch_20220828-130321_42,Perf_class_20220828-130321_42,ZLt2-T8g2,2
tch_20220828-130321_41,Perf_class_20220828-130321_41,n69v-Ew82,2
tch_20220828-130321_43,Perf_class_20220828-130321_43,mYX6-sy64,2
tch_20220828-130321_45,Perf_class_20220828-130321_45,DBub-4JQ3,2
tch_20220828-130321_44,Perf_class_20220828-130321_44,KLan-L9A8,2
tch_20220828-130321_46,Perf_class_20220828-130321_46,J7G9-w72E,2
tch_20220828-130321_47,Perf_class_20220828-130321_47,P89i-uLcX,2
tch_20220828-130321_48,Perf_class_20220828-130321_48,k9W6-PQtc,2
tch_20220828-130321_49,Perf_class_20220828-130321_49,8hd9-p7s3,2
tch_20220828-130321_50,Perf_class_20220828-130321_50,XHRa-t6jA,2
tch_20220828-130321_53,Perf_class_20220828-130321_53,4hro-q8Uy,2
tch_20220828-130321_51,Perf_class_20220828-130321_51,m428-uLz8,2
tch_20220828-130321_54,Perf_class_20220828-130321_54,yk6R-4k8x,2
tch_20220828-130321_52,Perf_class_20220828-130321_52,s2qr-dRbN,2
tch_20220828-130321_55,Perf_class_20220828-130321_55,EvpN-DQJW,2
tch_20220828-130321_56,Perf_class_20220828-130321_56,F9VL-a4j4,2
tch_20220828-130321_58,Perf_class_20220828-130321_58,2WP4-73zV,2
tch_20220828-130321_57,Perf_class_20220828-130321_57,yYji-J4so,2
tch_20220828-130321_59,Perf_class_20220828-130321_59,8zJ4-a6Nz,3
tch_20220828-130321_61,Perf_class_20220828-130321_61,Rvte-aKra,3
tch_20220828-130321_63,Perf_class_20220828-130321_63,xmK9-gd86,3
tch_20220828-130321_60,Perf_class_20220828-130321_60,4V7w-9d79,3
tch_20220828-130321_62,Perf_class_20220828-130321_62,2bpP-RYFh,3
tch_20220828-130321_65,Perf_class_20220828-130321_65,YAK2-Z826,4
tch_20220828-130321_64,Perf_class_20220828-130321_64,HDJj-umQW,4
tch_20220828-130321_66,Perf_class_20220828-130321_66,4pJe-8kA6,4
tch_20220828-130321_68,Perf_class_20220828-130321_68,brEn-x98v,0
tch_20220828-130321_67,Perf_class_20220828-130321_67,Vxr3-bcn3,0
tch_20220828-130321_69,Perf_class_20220828-130321_69,Cy83-JqZm,0
tch_20220828-130321_71,Perf_class_20220828-130321_71,3p9e-DFU4,0
tch_20220828-130321_70,Perf_class_20220828-130321_70,kbu6-8Ja9,0
tch_20220828-130321_73,Perf_class_20220828-130321_73,f9hu-Boq2,0
tch_20220828-130321_74,Perf_class_20220828-130321_74,LarF-y3vb,0
tch_20220828-130321_72,Perf_class_20220828-130321_72,RwLu-6ZW8,0
tch_20220828-130321_76,Perf_class_20220828-130321_76,iHDh-c7Wn,0
tch_20220828-130321_75,Perf_class_20220828-130321_75,mjTE-cong,0
tch_20220828-130321_77,Perf_class_20220828-130321_77,8p3Y-87vT,1
tch_20220828-130321_79,Perf_class_20220828-130321_79,9Q7Z-bGYU,1
tch_20220828-130321_78,Perf_class_20220828-130321_78,DRrp-FTD7,1
tch_20220828-130321_81,Perf_class_20220828-130321_81,AGH4-NQyk,1
tch_20220828-130321_80,Perf_class_20220828-130321_80,4dkQ-628p,1
tch_20220828-130321_83,Perf_class_20220828-130321_83,CXA2-Pn7w,1
tch_20220828-130321_82,Perf_class_20220828-130321_82,9xiJ-vY63,1
tch_20220828-130321_84,Perf_class_20220828-130321_84,4iEL-VkNn,1
tch_20220828-130321_85,Perf_class_20220828-130321_85,gA6d-3gm3,1
tch_20220828-130321_86,Perf_class_20220828-130321_86,pG3i-Um9q,1
tch_20220828-130321_87,Perf_class_20220828-130321_87,p6nX-uztE,2
tch_20220828-130321_88,Perf_class_20220828-130321_88,dNX9-3fAw,2
tch_20220828-130321_91,Perf_class_20220828-130321_91,9g2Z-Amn7,2
tch_20220828-130321_89,Perf_class_20220828-130321_89,Y686-XNad,2
tch_20220828-130321_90,Perf_class_20220828-130321_90,FLi7-wbe8,2
tch_20220828-130321_92,Perf_class_20220828-130321_92,7bng-hRxU,2
tch_20220828-130321_95,Perf_class_20220828-130321_95,uW2j-yPkn,2
tch_20220828-130321_93,Perf_class_20220828-130321_93,3D39-mwsh,2
