extuserid,classcode,classid,invid,tchextuserid
t144_1661352197460_3,RiL9-4JFP,cc38ad0b-ef60-4459-9065-d67cceafe441,197e3930-edf4-476f-9b9d-dabbce9146af,t244_20220824-201152_3
t144_1661352205746_1,f39d-6YVF,9e28ec40-6367-4f86-96d3-4557798735a0,1e567dda-131d-4129-820e-3c680747981c,t244_20220824-201152_1
t144_1661352206374_6,gFEp-6Qi2,b594f975-5bd1-4120-a65c-4bb72982d2fb,befd7262-1c5c-4406-b36b-fe44c02de688,t244_20220824-201152_6
t144_1661352210403_4,cVd3-Day6,b29a2cf1-4bd0-40f2-9cb3-853c99a70154,fd0a9111-79a8-475b-b328-33fbeb3f9fb6,t244_20220824-201152_4
t144_1661352213303_7,3MAj-UT93,a9c33f49-9a78-4a7b-acbf-d9daeef1500d,0a159008-8fca-4ba6-902d-8372f35b2d07,t244_20220824-201152_7
t144_1661352211705_2,NgQ3-6B8f,d4837e10-b2e5-45bc-8740-fdf331ef5548,51be7739-328c-4568-9f53-ca10f08d5b94,t244_20220824-201152_2
t144_1661352213565_5,3aHp-393E,a6def77d-d905-48cb-838b-826d3e3f7318,6d4a7593-9b8c-4345-b741-a0eb955c192e,t244_20220824-201152_5
t144_1661352223859_8,eU2d-7yWN,1c2b3be5-52bb-4bc7-838a-502629639928,0173342a-14de-41ef-8e19-0aa25930e6d6,t244_20220824-201152_8
t144_1661352220881_3,RiL9-4JFP,cc38ad0b-ef60-4459-9065-d67cceafe441,7872dde3-3fb5-415c-b4de-137c97a7c438,t244_20220824-201152_3
t144_1661352228386_6,gFEp-6Qi2,b594f975-5bd1-4120-a65c-4bb72982d2fb,8b66107d-adf7-480a-8b82-ffb13154fa23,t244_20220824-201152_6
t144_1661352229798_4,cVd3-Day6,b29a2cf1-4bd0-40f2-9cb3-853c99a70154,a2a3d0f4-34ef-430c-a6ab-593421240833,t244_20220824-201152_4
t144_1661352226031_1,f39d-6YVF,9e28ec40-6367-4f86-96d3-4557798735a0,2656b7cb-7d0b-43cf-a356-f6719e17c588,t244_20220824-201152_1
t144_1661352233955_9,k3Zd-a2WY,eec047d5-e24c-4fc8-9281-b09421b1b17e,409237d2-e404-4f13-855e-09045c09fdd2,t244_20220824-201152_9
t144_1661352236792_2,NgQ3-6B8f,d4837e10-b2e5-45bc-8740-fdf331ef5548,5186d206-327a-4cb8-a0ca-a35b517329ca,t244_20220824-201152_2
t144_1661352235319_7,3MAj-UT93,a9c33f49-9a78-4a7b-acbf-d9daeef1500d,bbdd2051-1d0c-41d5-823b-9d6c157dc6eb,t244_20220824-201152_7
t144_1661352243004_8,eU2d-7yWN,1c2b3be5-52bb-4bc7-838a-502629639928,9a83f15d-83c6-48e5-90a0-969b76f01f70,t244_20220824-201152_8
t144_1661352239192_5,3aHp-393E,a6def77d-d905-48cb-838b-826d3e3f7318,f456fe08-bbe1-4797-a9ef-2cfd724dac31,t244_20220824-201152_5
t144_1661352244469_10,p3VM-H7wA,1d017647-e437-4e9f-8117-c8584c0f4b00,b4e8b32b-f39e-4180-87dd-f2e8b56d8801,t244_20220824-201152_10
t144_1661352247621_6,gFEp-6Qi2,b594f975-5bd1-4120-a65c-4bb72982d2fb,f36dfc4c-42d7-4d72-b4bd-62c75f3acc04,t244_20220824-201152_6
t144_1661352247514_3,RiL9-4JFP,cc38ad0b-ef60-4459-9065-d67cceafe441,188e449b-fe8a-4a24-ade5-c903fd3bfb99,t244_20220824-201152_3
t144_1661352250202_4,cVd3-Day6,b29a2cf1-4bd0-40f2-9cb3-853c99a70154,5261db68-2468-4610-9bda-5da6d1695849,t244_20220824-201152_4
t144_1661352250949_1,f39d-6YVF,9e28ec40-6367-4f86-96d3-4557798735a0,a2cbcbba-427f-45cd-bd5f-d3df347f13f1,t244_20220824-201152_1
t144_1661352252083_11,oMAU-Px84,1047a72a-669b-4a98-b85a-56ccd72f07aa,892431c3-ccaa-4bac-b13e-3f1cd56a452b,t244_20220824-201152_11
t144_1661352257642_9,k3Zd-a2WY,eec047d5-e24c-4fc8-9281-b09421b1b17e,7e240d84-9094-413a-b393-84e7238cc189,t244_20220824-201152_9
t144_1661352260574_7,3MAj-UT93,a9c33f49-9a78-4a7b-acbf-d9daeef1500d,81304ddb-b3dc-4748-ac15-8da7f24daee1,t244_20220824-201152_7
t144_1661352260250_2,NgQ3-6B8f,d4837e10-b2e5-45bc-8740-fdf331ef5548,6c213641-ad8d-4111-af3a-294c5974fbed,t244_20220824-201152_2
t144_1661352266013_5,3aHp-393E,a6def77d-d905-48cb-838b-826d3e3f7318,3b9824dc-8a41-41a2-8ff5-95d18b104484,t244_20220824-201152_5
t144_1661352263002_8,eU2d-7yWN,1c2b3be5-52bb-4bc7-838a-502629639928,8644320e-41e7-45fa-b66a-a4d9f79b6067,t244_20220824-201152_8
t144_1661352266683_10,p3VM-H7wA,1d017647-e437-4e9f-8117-c8584c0f4b00,919e3501-b60a-45f8-b9a3-c3f0ff63b528,t244_20220824-201152_10
t144_1661352269592_6,gFEp-6Qi2,b594f975-5bd1-4120-a65c-4bb72982d2fb,8e9950e1-b457-4bb8-a9ad-acb1d4addc0b,t244_20220824-201152_6
t144_1661352273520_13,ErG6-w79e,881fa579-e4b8-4cb4-a53e-f6c232630aea,7cc4727c-f5cf-430d-b148-9427f6825433,t244_20220824-201152_13
t144_1661352275331_1,f39d-6YVF,9e28ec40-6367-4f86-96d3-4557798735a0,78bbb150-3bb1-4bb5-9782-babc45d87393,t244_20220824-201152_1
t144_1661352275326_4,cVd3-Day6,b29a2cf1-4bd0-40f2-9cb3-853c99a70154,e77015ad-6dc8-445d-a802-2112839a8f32,t244_20220824-201152_4
t144_1661352272284_12,nw6y-4NoJ,6d741636-928a-4ee6-8f4e-e771447d9bbb,3df7a2e2-5bbb-4dc4-b246-9cc36d56827e,t244_20220824-201152_12
t144_1661352275624_11,oMAU-Px84,1047a72a-669b-4a98-b85a-56ccd72f07aa,2629ecb2-6b9f-4f66-9b90-6baf38b84b63,t244_20220824-201152_11
t144_1661352269963_3,RiL9-4JFP,cc38ad0b-ef60-4459-9065-d67cceafe441,143c5388-5eb4-41d8-b17a-10b787e24991,t244_20220824-201152_3
t144_1661352282137_9,k3Zd-a2WY,eec047d5-e24c-4fc8-9281-b09421b1b17e,ebe8554a-a11a-458b-8aaf-3f0d4f19b7ab,t244_20220824-201152_9
t144_1661352276952_14,knXf-7n6v,2b10c6ae-53a2-4e44-aae2-a7a0bdfc660c,e9b7db54-2e78-44ad-bef5-4f8c2c386688,t244_20220824-201152_14
t144_1661352284903_7,3MAj-UT93,a9c33f49-9a78-4a7b-acbf-d9daeef1500d,e7c8b832-b5b2-4f1c-a883-652d5c990543,t244_20220824-201152_7
t144_1661352286761_2,NgQ3-6B8f,d4837e10-b2e5-45bc-8740-fdf331ef5548,4802defc-c84f-4c61-abf3-bf43bdfdd615,t244_20220824-201152_2
t144_1661352290248_5,3aHp-393E,a6def77d-d905-48cb-838b-826d3e3f7318,3cb39f4c-582c-4dcd-b858-c80ede89bc1d,t244_20220824-201152_5
t144_1661352291256_8,eU2d-7yWN,1c2b3be5-52bb-4bc7-838a-502629639928,3fdfe1bc-d880-41d5-ba7c-88c4c3a4f288,t244_20220824-201152_8
t144_1661352292970_10,p3VM-H7wA,1d017647-e437-4e9f-8117-c8584c0f4b00,dd86a3f7-18fc-49c8-a971-fec8d4d06612,t244_20220824-201152_10
t144_1661352299610_11,oMAU-Px84,1047a72a-669b-4a98-b85a-56ccd72f07aa,6f607cbf-589d-43ec-b251-96849f37e1d6,t244_20220824-201152_11
t144_1661352297640_15,9RhU-Y82w,75c77a44-2918-422c-b3ea-f889a99a6f30,1cf4a669-e260-4989-9700-352b4fac3200,t244_20220824-201152_15
t144_1661352299047_4,cVd3-Day6,b29a2cf1-4bd0-40f2-9cb3-853c99a70154,1905e7f7-32f4-4d77-befa-f6c9d4f61fb1,t244_20220824-201152_4
t144_1661352298002_1,f39d-6YVF,9e28ec40-6367-4f86-96d3-4557798735a0,d794b840-38be-49b9-8c2a-14038af842f6,t244_20220824-201152_1
t144_1661352296963_6,gFEp-6Qi2,b594f975-5bd1-4120-a65c-4bb72982d2fb,e9d1361a-8384-4781-944a-e5879acbd283,t244_20220824-201152_6
t144_1661352297878_13,ErG6-w79e,881fa579-e4b8-4cb4-a53e-f6c232630aea,7331adb5-9a68-4be7-8eb9-58d7a826cf9e,t244_20220824-201152_13
t144_1661352299459_12,nw6y-4NoJ,6d741636-928a-4ee6-8f4e-e771447d9bbb,305d0164-f8bc-45b1-81b8-da0c5113dbbb,t244_20220824-201152_12
t144_1661352301895_16,EhR8-Jkw4,0f8e139a-2374-499a-bb29-baeec048efa1,cea13d7b-cab6-46c0-82bd-c69e56f75e5c,t244_20220824-201152_16
t144_1661352302956_14,knXf-7n6v,2b10c6ae-53a2-4e44-aae2-a7a0bdfc660c,dd8c0f22-4770-4e0a-9843-a8f2115d7e31,t244_20220824-201152_14
t144_1661352302070_9,k3Zd-a2WY,eec047d5-e24c-4fc8-9281-b09421b1b17e,03883bbc-a03c-4122-9198-9d20d1a5bdc0,t244_20220824-201152_9
t144_1661352301577_3,RiL9-4JFP,cc38ad0b-ef60-4459-9065-d67cceafe441,63e884fb-e5a8-41f2-b11b-53e1be9d547d,t244_20220824-201152_3
t144_1661352309793_7,3MAj-UT93,a9c33f49-9a78-4a7b-acbf-d9daeef1500d,0015166a-ef07-4b4a-9be9-a148c24a835d,t244_20220824-201152_7
t144_1661352313195_5,3aHp-393E,a6def77d-d905-48cb-838b-826d3e3f7318,2a4342c1-b74d-467c-9e4a-726b2c7dc30d,t244_20220824-201152_5
t144_1661352315315_17,MBC9-4dBs,ed9efb36-be0d-44b8-9ac3-8c84ec1d2d42,78680f2d-7a86-48cf-96f7-d7443a7d2b5a,t244_20220824-201152_17
t144_1661352310483_2,NgQ3-6B8f,d4837e10-b2e5-45bc-8740-fdf331ef5548,af0d6cbb-3a73-4b5e-9fef-ea7d9bda0898,t244_20220824-201152_2
t144_1661352319236_11,oMAU-Px84,1047a72a-669b-4a98-b85a-56ccd72f07aa,358be850-3912-4bc3-96b2-eef66736d0fd,t244_20220824-201152_11
t144_1661352314524_8,eU2d-7yWN,1c2b3be5-52bb-4bc7-838a-502629639928,65f14015-0083-4852-8435-0873dba50f45,t244_20220824-201152_8
t144_1661352320845_15,9RhU-Y82w,75c77a44-2918-422c-b3ea-f889a99a6f30,b6483b24-48cd-45c3-8d86-967fe5b846f8,t244_20220824-201152_15
t144_1661352318620_10,p3VM-H7wA,1d017647-e437-4e9f-8117-c8584c0f4b00,e4a5de77-0745-4e4d-b391-b3e5d339bfb9,t244_20220824-201152_10
t144_1661352319718_18,h7A6-L2MY,e6d8bb74-b6a8-492e-8a04-bef0ffde3a17,3063c260-eb52-46b1-a13c-0de510b214b8,t244_20220824-201152_18
t144_1661352321255_4,cVd3-Day6,b29a2cf1-4bd0-40f2-9cb3-853c99a70154,8efe77af-03eb-43dc-9aea-be2bc4f02034,t244_20220824-201152_4
t144_1661352323551_12,nw6y-4NoJ,6d741636-928a-4ee6-8f4e-e771447d9bbb,db066b9a-b2c4-4cf1-9963-4c6767dc10a4,t244_20220824-201152_12
t144_1661352323652_16,EhR8-Jkw4,0f8e139a-2374-499a-bb29-baeec048efa1,e7ec53ec-3eb5-4df9-aa33-7e3fa173c371,t244_20220824-201152_16
t144_1661352321352_1,f39d-6YVF,9e28ec40-6367-4f86-96d3-4557798735a0,b5cbe9ba-5200-4df2-b6f6-cb58eaa583f6,t244_20220824-201152_1
t144_1661352321657_6,gFEp-6Qi2,b594f975-5bd1-4120-a65c-4bb72982d2fb,cd2eb4ea-c1a1-4ed2-87f5-a2dbb8a3963a,t244_20220824-201152_6
t144_1661352327167_9,k3Zd-a2WY,eec047d5-e24c-4fc8-9281-b09421b1b17e,134526b0-7c21-4c5a-b0b9-a117b08db2c8,t244_20220824-201152_9
t144_1661352323299_13,ErG6-w79e,881fa579-e4b8-4cb4-a53e-f6c232630aea,c8d48312-e02d-4802-a02f-ec9dbd45dfc3,t244_20220824-201152_13
t144_1661352327697_3,RiL9-4JFP,cc38ad0b-ef60-4459-9065-d67cceafe441,e2f1d4bd-f230-4e94-a3d5-f82d1f696b6e,t244_20220824-201152_3
t144_1661352324847_14,knXf-7n6v,2b10c6ae-53a2-4e44-aae2-a7a0bdfc660c,84e63051-993c-464a-ac09-656d9b3f08f1,t244_20220824-201152_14
t144_1661352333437_7,3MAj-UT93,a9c33f49-9a78-4a7b-acbf-d9daeef1500d,e5429ffc-03ed-4318-8eea-546fcf01b9ff,t244_20220824-201152_7
t144_1661352329571_19,MeKG-HCaH,42fd73b0-bd96-471e-8922-e9d4688a8446,c46a6908-ddec-4c2d-8f09-e86fd4d084f5,t244_20220824-201152_19
t144_1661352334429_5,3aHp-393E,a6def77d-d905-48cb-838b-826d3e3f7318,3eaaad2c-e507-4849-98cc-d9a3c6d4641f,t244_20220824-201152_5
t144_1661352338474_20,ztz7-Kdf2,53c70a1a-5a01-4939-97de-18ebf0e0676c,5255b97f-ffd1-4bd5-898c-20ccc1a56f76,t244_20220824-201152_20
t144_1661352334731_17,MBC9-4dBs,ed9efb36-be0d-44b8-9ac3-8c84ec1d2d42,faca5e95-feef-4c8a-99b1-14f5fdd26700,t244_20220824-201152_17
t144_1661352337847_11,oMAU-Px84,1047a72a-669b-4a98-b85a-56ccd72f07aa,11d9041b-4c85-4324-8fa7-069ae4d1bf0d,t244_20220824-201152_11
t144_1661352335043_2,NgQ3-6B8f,d4837e10-b2e5-45bc-8740-fdf331ef5548,8b0e34d8-e7e7-4686-864e-af9806532f00,t244_20220824-201152_2
t144_1661352337932_8,eU2d-7yWN,1c2b3be5-52bb-4bc7-838a-502629639928,50c23a32-4e66-4c73-8583-be61fbed0798,t244_20220824-201152_8
t144_1661352345669_16,EhR8-Jkw4,0f8e139a-2374-499a-bb29-baeec048efa1,a7bbac0b-4201-4355-b3d8-44be7ecffeca,t244_20220824-201152_16
t144_1661352345138_12,nw6y-4NoJ,6d741636-928a-4ee6-8f4e-e771447d9bbb,d27278a4-1aa3-4016-94f5-8fdebf14e4f1,t244_20220824-201152_12
t144_1661352341149_15,9RhU-Y82w,75c77a44-2918-422c-b3ea-f889a99a6f30,e2d6c48b-eeee-49c0-9d86-533816a5d3a2,t244_20220824-201152_15
t144_1661352342780_10,p3VM-H7wA,1d017647-e437-4e9f-8117-c8584c0f4b00,4202c2f2-2087-4430-aabf-203723ae5534,t244_20220824-201152_10
t144_1661352343153_18,h7A6-L2MY,e6d8bb74-b6a8-492e-8a04-bef0ffde3a17,160e9f66-8a39-41b9-84ec-d54c91557cba,t244_20220824-201152_18
t144_1661352344929_4,cVd3-Day6,b29a2cf1-4bd0-40f2-9cb3-853c99a70154,d202e8d1-dc51-4d9a-b2f3-04a14071e059,t244_20220824-201152_4
t144_1661352348658_9,k3Zd-a2WY,eec047d5-e24c-4fc8-9281-b09421b1b17e,28d0d7bd-28dc-404b-80a0-452c1705428f,t244_20220824-201152_9
t144_1661352348909_13,ErG6-w79e,881fa579-e4b8-4cb4-a53e-f6c232630aea,4f703a0b-ab5b-466b-8f65-0810397671c7,t244_20220824-201152_13
t144_1661352348530_6,gFEp-6Qi2,b594f975-5bd1-4120-a65c-4bb72982d2fb,1d00a350-8a9e-4553-b9bd-ada74bf69af3,t244_20220824-201152_6
t144_1661352347129_1,f39d-6YVF,9e28ec40-6367-4f86-96d3-4557798735a0,bc610983-1337-428e-987b-2ca3c54f7acc,t244_20220824-201152_1
t144_1661352349569_14,knXf-7n6v,2b10c6ae-53a2-4e44-aae2-a7a0bdfc660c,6dcba8aa-f561-40a0-9427-ad20f1a2c7ec,t244_20220824-201152_14
t144_1661352349084_3,RiL9-4JFP,cc38ad0b-ef60-4459-9065-d67cceafe441,e9d47e95-84da-4e92-8404-3ede03d45ac2,t244_20220824-201152_3
t144_1661352354981_7,3MAj-UT93,a9c33f49-9a78-4a7b-acbf-d9daeef1500d,9e61e5cf-87ee-4267-95d7-75cc90383c08,t244_20220824-201152_7
t144_1661352355624_19,MeKG-HCaH,42fd73b0-bd96-471e-8922-e9d4688a8446,c6b0c217-65a5-4cae-901b-2faea6de488e,t244_20220824-201152_19
t144_1661352356213_5,3aHp-393E,a6def77d-d905-48cb-838b-826d3e3f7318,73dfc01d-99d2-42c3-8231-38d92f78eb98,t244_20220824-201152_5
t144_1661352358133_17,MBC9-4dBs,ed9efb36-be0d-44b8-9ac3-8c84ec1d2d42,842db784-4e23-437b-afe9-c832fd7166cd,t244_20220824-201152_17
t144_1661352359230_11,oMAU-Px84,1047a72a-669b-4a98-b85a-56ccd72f07aa,44ccd59b-2dcd-43ae-961d-a347293b78d0,t244_20220824-201152_11
t144_1661352357269_20,ztz7-Kdf2,53c70a1a-5a01-4939-97de-18ebf0e0676c,0d714245-40a0-4fbb-844b-81350eba775c,t244_20220824-201152_20
t144_1661352364475_8,eU2d-7yWN,1c2b3be5-52bb-4bc7-838a-502629639928,70b6d1b3-8bd6-448e-9ab9-9963b47a1c73,t244_20220824-201152_8
t144_1661352366415_15,9RhU-Y82w,75c77a44-2918-422c-b3ea-f889a99a6f30,a542334d-22db-41d1-826b-9ea0b2be3d55,t244_20220824-201152_15
t144_1661352367046_18,h7A6-L2MY,e6d8bb74-b6a8-492e-8a04-bef0ffde3a17,3f0f1b39-e81d-462a-8233-17d5cd6d0985,t244_20220824-201152_18
t144_1661352367130_4,cVd3-Day6,b29a2cf1-4bd0-40f2-9cb3-853c99a70154,bf44169d-51ba-4559-83c6-83d7025937da,t244_20220824-201152_4
t144_1661352362590_2,NgQ3-6B8f,d4837e10-b2e5-45bc-8740-fdf331ef5548,a7f1baa2-f1b8-44e2-bbd1-acc8bd06cf67,t244_20220824-201152_2
t144_1661352366641_10,p3VM-H7wA,1d017647-e437-4e9f-8117-c8584c0f4b00,5bd3f445-26eb-411c-9ea1-4667be69e78e,t244_20220824-201152_10
t144_1661352365978_16,EhR8-Jkw4,0f8e139a-2374-499a-bb29-baeec048efa1,bf4f3aca-785a-45db-b88e-5eb9ca0e77fb,t244_20220824-201152_16
t144_1661352366212_12,nw6y-4NoJ,6d741636-928a-4ee6-8f4e-e771447d9bbb,10023982-a6cb-483b-84f0-99ae9125b4df,t244_20220824-201152_12
t144_1661352375014_14,knXf-7n6v,2b10c6ae-53a2-4e44-aae2-a7a0bdfc660c,d1bb7900-c5c3-4d90-b5ca-bc03801c1d03,t244_20220824-201152_14
t144_1661352373233_6,gFEp-6Qi2,b594f975-5bd1-4120-a65c-4bb72982d2fb,267aaba2-0940-4a34-a32b-44969f283e3f,t244_20220824-201152_6
t144_1661352372827_13,ErG6-w79e,881fa579-e4b8-4cb4-a53e-f6c232630aea,3339756e-f738-4cbb-88bc-b3caca3dd0f3,t244_20220824-201152_13
t144_1661352372398_9,k3Zd-a2WY,eec047d5-e24c-4fc8-9281-b09421b1b17e,bba7758f-3501-46b5-84fd-df139ccb4e19,t244_20220824-201152_9
t144_1661352373382_1,f39d-6YVF,9e28ec40-6367-4f86-96d3-4557798735a0,33365042-471b-4a4e-ae47-eadf7b1cb400,t244_20220824-201152_1
t144_1661352376145_3,RiL9-4JFP,cc38ad0b-ef60-4459-9065-d67cceafe441,23af4c27-61d1-48fd-90af-f7f332861e78,t244_20220824-201152_3
t144_1661352381325_17,MBC9-4dBs,ed9efb36-be0d-44b8-9ac3-8c84ec1d2d42,f97b45c9-607f-467d-82c1-8ff560f677ba,t244_20220824-201152_17
