tchextuserid,studentuserid1,stdextuserid,classcode
tch_20220802-161405_1,36d87619-7382-4fb6-b3ec-cf13edaeebbc,std_1659627421452_1,3YdF-6gZR
tch_20220802-161405_2,96ff0dcc-5923-45e9-92a7-92067a443758,std_1659627431454_2,QM4J-hts4
tch_20220802-161405_3,d6a53652-1499-43d8-81f1-6424af8e2a82,std_1659627441454_3,YBna-WT4B
tch_20220802-161405_1,325114f4-d6da-4e07-a0cd-b14d173857e7,std_1659627447924_1,3YdF-6gZR
tch_20220802-161405_4,edefd9c2-c8d0-4227-9bff-90d7c7d197dc,std_1659627451453_4,T8PG-7MQn
tch_20220802-161405_5,dd0983f8-c8a2-43bf-a1cb-753fba92bd49,std_1659627461469_5,VsYd-4tJe
tch_20220802-161405_2,4ca37003-4525-454b-b988-ef1a999fa1fc,std_1659627461960_2,QM4J-hts4
tch_20220802-161405_3,0381047b-e83d-4ddd-82be-5c24e0394a70,std_1659627471160_3,YBna-WT4B
tch_20220802-161405_1,44e05b19-4bf6-4396-a50c-b55d977f26f0,std_1659627473756_1,3YdF-6gZR
tch_20220802-161405_6,a6d90b25-b3fd-4ad6-ad12-f78020254c91,std_1659627471470_6,JNyB-p26v
tch_20220802-161405_4,59c74b65-f174-49fa-855f-7eb70374438a,std_1659627479591_4,T8PG-7MQn
tch_20220802-161405_7,f1951586-2134-42a3-b874-2b50dd746c83,std_1659627481470_7,Emhb-JRKM
tch_20220802-161405_5,b4e9741c-faec-4d77-bbf9-a45d8dac74f1,std_1659627487880_5,VsYd-4tJe
tch_20220802-161405_8,c86c00c1-289c-4708-95ea-ffa325a044ac,std_1659627491485_8,hDHa-R6Ti
tch_20220802-161405_2,07973899-0027-43b6-9679-35a19ab5baef,std_1659627490288_2,QM4J-hts4
tch_20220802-161405_3,24e5c27f-e565-45e6-8df7-1fff06686dca,std_1659627494647_3,YBna-WT4B
tch_20220802-161405_6,ba2d4821-891d-48cc-93f3-f5fda3299080,std_1659627499236_6,JNyB-p26v
tch_20220802-161405_9,b2cda28c-9594-454c-92ab-82adef54a7b0,std_1659627501483_9,4GJV-68bL
tch_20220802-161405_1,5c7957f1-532a-4f19-8222-8c4faba8587e,std_1659627497488_1,3YdF-6gZR
tch_20220802-161405_7,2d5adb62-89d4-477c-91c1-5b9cdb8ce52d,std_1659627506285_7,Emhb-JRKM
tch_20220802-161405_4,4f93019d-7edd-4982-901a-177e6894c76a,std_1659627505372_4,T8PG-7MQn
tch_20220802-161405_10,39e2ec77-c59e-457e-afe1-94e157521146,std_1659627511496_10,bxHy-zRQo
tch_20220802-161405_5,59e94bd0-e24c-4d7b-92ea-417085b6d374,std_1659627516261_5,VsYd-4tJe
tch_20220802-161405_11,e3436a84-2e34-48ec-9288-46791b1e0195,std_1659627521499_11,DUX7-Y9oz
tch_20220802-161405_2,6859ad29-97ce-4fb8-8a8a-308c98a5d6f2,std_1659627518673_2,QM4J-hts4
tch_20220802-161405_8,eb0dfedb-3b3c-4caf-9071-e8c6f94a302a,std_1659627518391_8,hDHa-R6Ti
tch_20220802-161405_6,6033a68f-e28d-4878-952d-7f1361383cfb,std_1659627523151_6,JNyB-p26v
tch_20220802-161405_3,cf0a18dc-4983-49f9-bfb3-5c46b00dbe18,std_1659627522090_3,YBna-WT4B
tch_20220802-161405_9,c7377214-3e86-43ab-8be7-ef35f4392715,std_1659627526067_9,4GJV-68bL
tch_20220802-161405_12,0a3797da-b643-4aee-af8f-9d932ce05a5f,std_1659627531498_12,7VKj-aH9r
tch_20220802-161405_7,1c7fe6d6-3d26-4d36-a7d8-23476d6dc706,std_1659627530987_7,Emhb-JRKM
tch_20220802-161405_4,06833d29-ef01-482e-b2e1-61706ad45641,std_1659627532482_4,T8PG-7MQn
tch_20220802-161405_10,2eb5d5ca-67c7-413c-9c69-b7e265a0b45c,std_1659627533735_10,bxHy-zRQo
tch_20220802-161405_13,53710069-0e73-4791-b86d-5dcb23350819,std_1659627541499_13,JrHM-t9t4
tch_20220802-161405_5,b40a9c8f-d233-4b74-a115-a3433c203e23,std_1659627540780_5,VsYd-4tJe
tch_20220802-161405_8,1b16c88b-be39-4013-b99f-89965771d00c,std_1659627546635_8,hDHa-R6Ti
tch_20220802-161405_11,5f3717e0-4a8f-43c2-ab42-006e0a823420,std_1659627545053_11,DUX7-Y9oz
tch_20220802-161405_6,e117e143-eac1-4172-8d18-173139c4519d,std_1659627550565_6,JNyB-p26v
tch_20220802-161405_9,d2ca772a-00a7-44a3-9639-47aef02a85db,std_1659627552830_9,4GJV-68bL
tch_20220802-161405_14,fe28b13e-19a1-40d9-ba31-13de4c9bbc4f,std_1659627551515_14,fUmg-8Pku
tch_20220802-161405_7,0f045756-b8d9-4876-9b8a-98f8d02887bd,std_1659627557014_7,Emhb-JRKM
tch_20220802-161405_12,d65e8e7c-d58d-41a3-b086-5533b54ce5ff,std_1659627554942_12,7VKj-aH9r
tch_20220802-161405_10,9bbf760e-3522-420b-9203-4c2ab54b5093,std_1659627560641_10,bxHy-zRQo
tch_20220802-161405_15,004563e5-808d-473b-ab3b-aed1576e7b83,std_1659627561515_15,2ynH-3wh3
tch_20220802-161405_13,ca3e5498-c4a8-4a8f-baef-3cf2170a3976,std_1659627565119_13,JrHM-t9t4
tch_20220802-161405_8,ecedfb98-be14-4fff-9b90-55804ba84a6b,std_1659627572206_8,hDHa-R6Ti
tch_20220802-161405_16,b3b7c461-44d3-48b3-8b50-3ba89b567d5a,std_1659627571515_16,h9Ts-byc2
tch_20220802-161405_11,57acca32-8547-445c-a574-6aad3d41db10,std_1659627574245_11,DUX7-Y9oz
tch_20220802-161405_14,192a7522-787f-4907-b87e-8e429c02a504,std_1659627578798_14,fUmg-8Pku
tch_20220802-161405_9,d8372e8a-f95b-4d23-b2a9-65d10b159678,std_1659627577679_9,4GJV-68bL
tch_20220802-161405_17,65dc875f-4480-4318-8388-e164600d8a3c,std_1659627581529_17,xDPv-YBw6
tch_20220802-161405_12,19bf2192-4711-4b33-a69d-4bb133c8d819,std_1659627584272_12,7VKj-aH9r
tch_20220802-161405_10,e9b9c2f1-ac55-43a9-9113-4585b27d539e,std_1659627589979_10,bxHy-zRQo
tch_20220802-161405_13,a1fee3a2-a7e9-4140-a07c-1bc40f8ff127,std_1659627591581_13,JrHM-t9t4
tch_20220802-161405_15,8f670485-4e6b-4c60-b132-4aaa1cf0cccc,std_1659627590128_15,2ynH-3wh3
tch_20220802-161405_18,8810fbbc-2997-4b88-8fb1-198e18f14d79,std_1659627591529_18,ujUR-X93w
tch_20220802-161405_19,717059bd-1d15-4b2c-965f-29e3132c26ff,std_1659627601530_19,soms-RN7T
