teacherextuserid,classtitle,classcode,category,pe_category,pe_end_index,category_type
tch_L1_20240131-171252_8,context_class_L1_20240131-171252_8,Kv8k-3JXF,L1,l1pe,3,L
tch_L7_20240119-103128_14,class_L7_20240119-103128_14,dUjY-gp3C,L7,l7pe,3,L
tch_L3_20240103-170558_27,class_L3_20240103-170558_27,V2ML-JPRq,L3,l3pe,7,L
tch_M3_20240130-184533_77,class_M3_20240130-184533_77,o93a-J6p6,M3,m3pe,5,M
tch_M3_20240130-184533_74,class_M3_20240130-184533_74,np6H-cmv4,M3,m3pe,5,M
tch_L2_20240130-202449_22,class_L2_20240130-202449_22,i6wD-92kX,L2,l2pe,5,L
tch_H3_20240201-182440_93,class_H3_20240201-182440_93,4J6w-udCF,H3,h3pe,9,H
tch_M3_20240201-182440_78,class_M3_20240201-182440_78,X4dE-z2v7,M3,m3pe,5,M
tch_L7_20240205-203520_40,class_L7_20240205-203520_40,ACRP-83wJ,L7,l7pe,3,L
tch_L9_20240131-174940_62,context_class_L9_20240131-174940_62,Rvfi-L7fp,L9,l9pe,3,L
tch_L8_20240120-145701_24,class_L8_20240120-145701_24,9F3x-JZuZ,L8,l8pe,4,L
tch_L8_20240120-145701_65,class_L8_20240120-145701_65,6FKZ-JdUN,L8,l8pe,4,L
tch_L1_20240201-182440_5,class_L1_20240201-182440_5,XEe9-JL24,L1,l1pe,3,L
tch_L2_20240131-174940_26,context_class_L2_20240131-174940_26,z69F-a2mb,L2,l2pe,5,L
tch_L9_20240131-171252_59,context_class_L9_20240131-171252_59,ACNL-otTD,L9,l9pe,3,L
tch_L7_20240130-184533_43,class_L7_20240130-184533_43,hJwq-TEt8,L7,l7pe,3,L
tch_L8_20240118-160029_93,class_L8_20240118-160029_93,Bec8-68H9,L8,l8pe,4,L
tch_L9_20240205-195359_66,class_L9_20240205-195359_66,rfbv-Ar83,L9,l9pe,3,L
tch_L9_20240117-195400_34,class_L9_20240117-195400_34,cAM7-ip2a,L9,l9pe,3,L
tch_L2_20240304-175551_18,class_L2_20240304-175551_18,igbQ-ieQz,L2,l2pe,5,L
tch_M4_20240130-184533_79,class_M4_20240130-184533_79,Yu3F-8ix8,M4,m4pe,13,M
tch_L7_20240205-205820_46,class_L7_20240205-205820_46,dUEy-8wuW,L7,l7pe,3,L
tch_L9_20240130-202449_59,class_L9_20240130-202449_59,7AW3-KZK9,L9,l9pe,3,L
tch_L8_20240120-145701_2,class_L8_20240120-145701_2,zpqp-cXL6,L8,l8pe,4,L
tch_H1_20240131-171252_89,context_class_H1_20240131-171252_89,wzg2-oKYj,H1,h1pe,7,H
tch_L2_20240105-151148_17,class_L2_20240105-151148_17,fYfF-Uhjz,L2,l2pe,5,L
tch_L1_20240124-200226_10,class_L1_20240124-200226_10,9qwJ-ZENe,L1,l1pe,3,L
tch_L2_20240304-175551_19,class_L2_20240304-175551_19,e8aZ-9tkQ,L2,l2pe,5,L
tch_M3_20240124-200226_75,class_M3_20240124-200226_75,nE4r-Y7PD,M3,m3pe,5,M
tch_L3_20240201-202034_33,class_L3_20240201-202034_33,Lpxa-CqT9,L3,l3pe,7,L
tch_L8_20240205-205820_57,class_L8_20240205-205820_57,hsJ6-4Jfc,L8,l8pe,4,L
tch_L8_20240201-202034_58,class_L8_20240201-202034_58,8MLY-Mx4C,L8,l8pe,4,L
tch_L2_20240131-171252_25,context_class_L2_20240131-171252_25,nofA-hDdu,L2,l2pe,5,L
tch_H5_20240305-102910_198,class_H5_20240305-102910_198,6N2P-WDFz,H5,h5pe,7,H
tch_L7_20240201-190951_42,class_L7_20240201-190951_42,AjqE-imk9,L7,l7pe,3,L
tch_L9_20240205-195359_64,class_L9_20240205-195359_64,HMcd-37WD,L9,l9pe,3,L
tch_L7_20240201-202034_44,class_L7_20240201-202034_44,47UW-j7T3,L7,l7pe,3,L
tch_L9_20240201-190951_65,class_L9_20240201-190951_65,vPtp-o8H3,L9,l9pe,3,L
tch_L2_20240201-190951_16,class_L2_20240201-190951_16,RszV-P28p,L2,l2pe,5,L
tch_L8_20240205-205820_55,class_L8_20240205-205820_55,koVC-Db87,L8,l8pe,4,L
tch_M4_20240314-180451_180,class_M4_20240314-180451_180,y3B4-sNbm,M4,m4pe,13,M
tch_L7_20240205-195359_36,class_L7_20240205-195359_36,7Nht-C7i3,L7,l7pe,3,L
tch_M3_20240314-195444_74,class_M3_20240314-195444_74,723y-YPrB,M3,m3pe,5,M
tch_L9_20240308-101527_68,class_L9_20240308-101527_68,D7d9-8VL8,L9,l9pe,3,L
tch_L2_20240201-182440_23,class_L2_20240201-182440_23,HEZR-iViA,L2,l2pe,5,L
tch_L7_20240308-101527_146,class_L7_20240308-101527_146,3YPJ-6J49,L7,l7pe,3,L
tch_L1_20240201-182440_6,class_L1_20240201-182440_6,n4K2-h7YX,L1,l1pe,3,L
tch_M4_20240102-154640_68,class_M4_20240102-154640_68,G6go-zoGj,M4,m4pe,13,M
tch_M3_20240205-205820_76,class_M3_20240205-205820_76,qWQw-X3gz,M3,m3pe,5,M
tch_L7_20240308-101527_40,class_L7_20240308-101527_40,7M2b-knwj,L7,l7pe,3,L
tch_L7_20240308-101527_35,class_L7_20240308-101527_35,m6oM-p9ai,L7,l7pe,3,L
tch_H3_20240123-135053_20,class_H3_20240123-135053_20,nXP6-dH4n,H3,h3pe,9,H
tch_L2_20240305-102910_121,class_L2_20240305-102910_121,RB2e-xHG3,L2,l2pe,5,L
tch_M1_20240205-205820_69,class_M1_20240205-205820_69,xek4-dm4y,M1,m1pe,11,M
tch_L9_20240205-203520_65,class_L9_20240205-203520_65,6URu-h679,L9,l9pe,3,L
tch_M2_20240308-101527_71,class_M2_20240308-101527_71,H92b-pzMy,M2,m2pe,11,M
tch_M5_20240205-195359_82,class_M5_20240205-195359_82,s8s9-hgAx,M5,m5pe,4,M
tch_L2_20240201-182440_20,class_L2_20240201-182440_20,6TBf-b29s,L2,l2pe,5,L
tch_L8_20240314-180451_157,class_L8_20240314-180451_157,UWa2-9FYm,L8,l8pe,4,L
tch_L7_20240201-202034_39,class_L7_20240201-202034_39,HA3r-967o,L7,l7pe,3,L
tch_L7_20240124-200226_48,class_L7_20240124-200226_48,Qfmt-69Yd,L7,l7pe,3,L
tch_L1_20240130-184533_14,class_L1_20240130-184533_14,E7oH-L94U,L1,l1pe,3,L
tch_H1_20240130-184533_88,class_H1_20240130-184533_88,UCMo-6sqC,H1,h1pe,7,H
tch_L2_20240314-180451_20,class_L2_20240314-180451_20,6eGv-rQnH,L2,l2pe,5,L
tch_L1_20240308-101527_111,class_L1_20240308-101527_111,udP9-Ucnm,L1,l1pe,3,L
tch_L7_20240205-205820_48,class_L7_20240205-205820_48,8G7W-yvqf,L7,l7pe,3,L
tch_L1_20240201-202034_3,class_L1_20240201-202034_3,2a43-gVp8,L1,l1pe,3,L
tch_L9_20240201-190951_68,class_L9_20240201-190951_68,u82m-hspT,L9,l9pe,3,L
tch_H5_20240314-180451_198,class_H5_20240314-180451_198,t64K-h2j7,H5,h5pe,7,H
tch_L1_20240314-180451_114,class_L1_20240314-180451_114,zr9e-p96f,L1,l1pe,3,L
tch_M1_20240314-180451_169,class_M1_20240314-180451_169,7aH9-B7m3,M1,m1pe,11,M
tch_L7_20240308-101527_138,class_L7_20240308-101527_138,6Z83-B26w,L7,l7pe,3,L
tch_L8_20240305-102910_149,class_L8_20240305-102910_149,mvBT-6a9k,L8,l8pe,4,L
tch_L8_20240305-102910_153,class_L8_20240305-102910_153,YKDu-B7cV,L8,l8pe,4,L
tch_L1_20240105-161058_2,class_L1_20240105-161058_2,JckE-hEpf,L1,l1pe,3,L
tch_L8_20240205-205820_50,class_L8_20240205-205820_50,zEyx-bcqc,L8,l8pe,4,L
tch_L1_20240201-182440_12,class_L1_20240201-182440_12,Uytu-eDVs,L1,l1pe,3,L
tch_M5_20240201-182440_81,class_M5_20240201-182440_81,VBb2-zm4B,M5,m5pe,4,M
tch_L1_20240201-190951_10,class_L1_20240201-190951_10,696k-PiwA,L1,l1pe,3,L
tch_L8_20240305-102910_49,class_L8_20240305-102910_49,3dQU-LPEN,L8,l8pe,4,L
tch_H1_20240305-102910_188,class_H1_20240305-102910_188,Ysjf-GQTj,H1,h1pe,7,H
tch_L8_20240201-182440_54,class_L8_20240201-182440_54,6Ftm-79TZ,L8,l8pe,4,L
tch_L2_20240305-102910_124,class_L2_20240305-102910_124,6Lpi-G4Gb,L2,l2pe,5,L
tch_L1_20240130-202449_14,class_L1_20240130-202449_14,a96W-V9tQ,L1,l1pe,3,L
tch_L9_20240201-202034_68,class_L9_20240201-202034_68,94xV-8nkm,L9,l9pe,3,L
tch_L2_20240131-171252_20,context_class_L2_20240131-171252_20,pue2-n4rj,L2,l2pe,5,L
tch_H1_20240304-175551_186,class_H1_20240304-175551_186,46d4-PAga,H1,h1pe,7,H
tch_L2_20240131-171252_18,context_class_L2_20240131-171252_18,MTz6-xr4X,L2,l2pe,5,L
tch_L2_20240205-203520_20,class_L2_20240205-203520_20,pWuZ-Fb48,L2,l2pe,5,L
tch_L9_20240117-181958_112,class_L9_20240117-181958_112,Pra6-u7Fg,L9,l9pe,3,L
tch_H5_20240305-102910_98,class_H5_20240305-102910_98,ACx8-VGMT,H5,h5pe,7,H
tch_H4_20240305-102910_97,class_H4_20240305-102910_97,q2E9-uN3N,H4,h4pe,10,H
tch_L1_20240305-102910_15,class_L1_20240305-102910_15,g2K9-Fhte,L1,l1pe,3,L
tch_H1_20240130-202449_88,class_H1_20240130-202449_88,BCzK-Am3V,H1,h1pe,7,H
tch_L9_20240117-195400_54,class_L9_20240117-195400_54,JiJ7-DXpG,L9,l9pe,3,L
tch_M1_20240201-182440_70,class_M1_20240201-182440_70,4Gw2-u2Qs,M1,m1pe,11,M
tch_L2_20240201-182440_17,class_L2_20240201-182440_17,gGdH-zb3n,L2,l2pe,5,L
tch_L9_20240308-101527_61,class_L9_20240308-101527_61,Lsc6-gf3D,L9,l9pe,3,L
tch_L8_20240130-184533_53,class_L8_20240130-184533_53,Lyrx-8RA4,L8,l8pe,4,L
tch_H4_20240304-175551_97,class_H4_20240304-175551_97,KLj2-ye9M,H4,h4pe,10,H
tch_L1_20240201-202034_8,class_L1_20240201-202034_8,ArPf-4Z6r,L1,l1pe,3,L
tch_L1_20240205-203520_2,class_L1_20240205-203520_2,w637-yGQ4,L1,l1pe,3,L
tch_L2_20240130-184533_20,class_L2_20240130-184533_20,UXt3-ijYX,L2,l2pe,5,L
tch_H1_20240304-175551_185,class_H1_20240304-175551_185,348b-3oRp,H1,h1pe,7,H
tch_M1_20240130-202449_70,class_M1_20240130-202449_70,QRk7-rY9w,M1,m1pe,11,M
tch_M3_20240131-171252_76,context_class_M3_20240131-171252_76,e96s-42wc,M3,m3pe,5,M
tch_L2_20240305-102910_119,class_L2_20240305-102910_119,nLQU-9vZF,L2,l2pe,5,L
tch_H6_20240124-200226_100,class_H6_20240124-200226_100,BXjx-92e2,H6,h6pe,10,H
tch_L2_20240314-180451_16,class_L2_20240314-180451_16,3e3w-4j2b,L2,l2pe,5,L
tch_L1_20240308-101527_15,class_L1_20240308-101527_15,uBJB-8w62,L1,l1pe,3,L
tch_L9_20240201-182440_59,class_L9_20240201-182440_59,FqT4-9H7V,L9,l9pe,3,L
tch_L9_20240117-195400_48,class_L9_20240117-195400_48,bk7F-y9m7,L9,l9pe,3,L
tch_L2_20240201-202034_22,class_L2_20240201-202034_22,2PJG-ZjA9,L2,l2pe,5,L
tch_M5_20240131-171252_84,context_class_M5_20240131-171252_84,L9da-t9aG,M5,m5pe,4,M
tch_L9_20240201-182440_66,class_L9_20240201-182440_66,v2PZ-ytfX,L9,l9pe,3,L
tch_L9_20240205-195359_65,class_L9_20240205-195359_65,Amvw-ZRio,L9,l9pe,3,L
tch_L2_20240201-190951_22,class_L2_20240201-190951_22,vjUa-9WYi,L2,l2pe,5,L
