extuserid,classcode,category
std_tgad-8x3g_1692886009160_89,tgad-8x3g,3B8PE
std_ucMP-9Y9e_1692886010457_92,ucMP-9Y9e,3B8PE
std_36QH-n6q2_1692886006098_84,36QH-n6q2,3B8PE
std_hBE6-Z2Lf_1692886010945_85,hBE6-Z2Lf,3B8PE
std_FdZk-Posb_1692886011799_91,FdZk-Posb,3B8PE
std_wRvY-4T6M_1692886013749_100,wRvY-4T6M,3B8PE
std_mZDc-xkwe_1692886010568_98,mZDc-xkwe,3B8PE
std_zKc8-n96F_1692886009160_87,zKc8-n96F,3B8PE
std_HNwd-sA4x_1692886013575_75,HNwd-sA4x,3B8PE
std_4PLz-QNZY_1692886022918_90,4PLz-QNZY,3B8PE
std_fTWh-Vui6_1692886024025_74,fTWh-Vui6,3B8PE
std_24aw-8xsY_1692886021643_99,24aw-8xsY,3B8PE
std_Pg24-cYpJ_1692886025074_86,Pg24-cYpJ,3B8PE
std_myjw-Rx7z_1692886022996_88,myjw-Rx7z,3B8PE
std_ag8T-4qv4_1692886018363_83,ag8T-4qv4,3B8PE
std_vGNx-2krv_1692886021657_95,vGNx-2krv,3B8PE
std_pEe9-6n2B_1692886024246_78,pEe9-6n2B,3B8PE
std_Tipi-8kiH_1692886025673_93,Tipi-8kiH,3B8PE
std_RU8G-TjnN_1692886027470_77,RU8G-TjnN,3B8PE
std_eJ69-DW32_1692886029072_80,eJ69-DW32,3B8PE
std_36QH-n6q2_1692886036549_84,36QH-n6q2,3B8PE
std_Cba9-jnYr_1692886035475_94,Cba9-jnYr,3B8PE
std_oyU2-Fitp_1692886031494_79,oyU2-Fitp,3B8PE
std_BF8M-d9Rs_1692886035501_76,BF8M-d9Rs,3B8PE
std_FdZk-Posb_1692886037524_91,FdZk-Posb,3B8PE
std_x6ae-qCv3_1692886032537_82,x6ae-qCv3,3B8PE
std_Dm67-sX4N_1692886030408_96,Dm67-sX4N,3B8PE
std_F8e4-HnCF_1692886030455_81,F8e4-HnCF,3B8PE
std_wRvY-4T6M_1692886037687_100,wRvY-4T6M,3B8PE
std_Cd67-82fg_1692886034532_97,Cd67-82fg,3B8PE
std_tgad-8x3g_1692886035896_89,tgad-8x3g,3B8PE
std_hBE6-Z2Lf_1692886036678_85,hBE6-Z2Lf,3B8PE
std_zKc8-n96F_1692886042009_87,zKc8-n96F,3B8PE
std_mZDc-xkwe_1692886039300_98,mZDc-xkwe,3B8PE
std_ucMP-9Y9e_1692886036405_92,ucMP-9Y9e,3B8PE
std_4PLz-QNZY_1692886047527_90,4PLz-QNZY,3B8PE
std_Pg24-cYpJ_1692886051381_86,Pg24-cYpJ,3B8PE
std_pEe9-6n2B_1692886053129_78,pEe9-6n2B,3B8PE
std_vGNx-2krv_1692886052540_95,vGNx-2krv,3B8PE
std_24aw-8xsY_1692886049821_99,24aw-8xsY,3B8PE
std_ag8T-4qv4_1692886051601_83,ag8T-4qv4,3B8PE
std_Tipi-8kiH_1692886055860_93,Tipi-8kiH,3B8PE
std_myjw-Rx7z_1692886051397_88,myjw-Rx7z,3B8PE
std_RU8G-TjnN_1692886056551_77,RU8G-TjnN,3B8PE
std_eJ69-DW32_1692886057245_80,eJ69-DW32,3B8PE
