extuserid,cc,cat
std_Ppe6-pzb4_1700738999116_1,Ppe6-pzb4,3B8PE
std_Ppe6-pzb4_1700739027972_1,Ppe6-pzb4,3B8PE
std_Ppe6-pzb4_1700739060979_1,Ppe6-pzb4,3B8PE
std_Ppe6-pzb4_1700739090217_1,Ppe6-pzb4,3B8PE
std_Ppe6-pzb4_1700739118521_1,Ppe6-pzb4,3B8PE
std_93Gh-um3L_1700739146144_2,93Gh-um3L,3B8PE
std_Ppe6-pzb4_1700739153557_1,Ppe6-pzb4,3B8PE
std_93Gh-um3L_1700739180741_2,93Gh-um3L,3B8PE
std_Ppe6-pzb4_1700739188714_1,Ppe6-pzb4,3B8PE
std_93Gh-um3L_1700739211115_2,93Gh-um3L,3B8PE
std_Ppe6-pzb4_1700739221782_1,Ppe6-pzb4,3B8PE
std_93Gh-um3L_1700739239624_2,93Gh-um3L,3B8PE
std_Ppe6-pzb4_1700739256276_1,Ppe6-pzb4,3B8PE
std_93Gh-um3L_1700739266810_2,93Gh-um3L,3B8PE
std_Ppe6-pzb4_1700739285478_1,Ppe6-pzb4,3B8PE
std_93Gh-um3L_1700739300807_2,93Gh-um3L,3B8PE
std_qtBx-d7bh_1700739304119_3,qtBx-d7bh,3B8PE
std_Ppe6-pzb4_1700739315721_1,Ppe6-pzb4,3B8PE
std_93Gh-um3L_1700739330721_2,93Gh-um3L,3B8PE
std_qtBx-d7bh_1700739336734_3,qtBx-d7bh,3B8PE
std_Ppe6-pzb4_1700739348595_1,Ppe6-pzb4,3B8PE
std_93Gh-um3L_1700739366752_2,93Gh-um3L,3B8PE
std_qtBx-d7bh_1700739367961_3,qtBx-d7bh,3B8PE
std_Ppe6-pzb4_1700739382127_1,Ppe6-pzb4,3B8PE
std_93Gh-um3L_1700739393971_2,93Gh-um3L,3B8PE
std_qtBx-d7bh_1700739399198_3,qtBx-d7bh,3B8PE
std_Ppe6-pzb4_1700739416532_1,Ppe6-pzb4,3B8PE
std_93Gh-um3L_1700739421349_2,93Gh-um3L,3B8PE
std_qtBx-d7bh_1700739436526_3,qtBx-d7bh,3B8PE
std_86EU-cW83_1700739438394_4,86EU-cW83,3B8PE
std_93Gh-um3L_1700739449393_2,93Gh-um3L,3B8PE
std_Ppe6-pzb4_1700739448740_1,Ppe6-pzb4,3B8PE
std_qtBx-d7bh_1700739470574_3,qtBx-d7bh,3B8PE
std_86EU-cW83_1700739473100_4,86EU-cW83,3B8PE
std_93Gh-um3L_1700739479122_2,93Gh-um3L,3B8PE
std_Ppe6-pzb4_1700739481578_1,Ppe6-pzb4,3B8PE
std_86EU-cW83_1700739502590_4,86EU-cW83,3B8PE
std_qtBx-d7bh_1700739496623_3,qtBx-d7bh,3B8PE
std_Ppe6-pzb4_1700739517135_1,Ppe6-pzb4,3B8PE
std_93Gh-um3L_1700739512915_2,93Gh-um3L,3B8PE
std_qtBx-d7bh_1700739530672_3,qtBx-d7bh,3B8PE
std_86EU-cW83_1700739529996_4,86EU-cW83,3B8PE
std_Ppe6-pzb4_1700739545177_1,Ppe6-pzb4,3B8PE
std_93Gh-um3L_1700739545603_2,93Gh-um3L,3B8PE
std_qtBx-d7bh_1700739556852_3,qtBx-d7bh,3B8PE
std_86EU-cW83_1700739563620_4,86EU-cW83,3B8PE
std_Ppe6-pzb4_1700739576483_1,Ppe6-pzb4,3B8PE
std_93Gh-um3L_1700739580548_2,93Gh-um3L,3B8PE
std_qtBx-d7bh_1700739586129_3,qtBx-d7bh,3B8PE
std_86EU-cW83_1700739591879_4,86EU-cW83,3B8PE
std_LYE4-LCo6_1700739598014_5,LYE4-LCo6,3B8PE
std_Ppe6-pzb4_1700739607809_1,Ppe6-pzb4,3B8PE
std_93Gh-um3L_1700739613176_2,93Gh-um3L,3B8PE
std_86EU-cW83_1700739624915_4,86EU-cW83,3B8PE
std_LYE4-LCo6_1700739627802_5,LYE4-LCo6,3B8PE
std_qtBx-d7bh_1700739619595_3,qtBx-d7bh,3B8PE
std_Ppe6-pzb4_1700739634821_1,Ppe6-pzb4,3B8PE
std_93Gh-um3L_1700739640579_2,93Gh-um3L,3B8PE
