extuserid,classcode,category
std_J48K-4PTr_1692969757712_1,J48K-4PTr,3B8PE
std_FsBb-jYyC_1692969761703_2,FsBb-jYyC,3B8PE
std_FsBb-jYyC_1692969785857_2,FsBb-jYyC,3B8PE
std_J48K-4PTr_1692969784958_1,J48K-4PTr,3B8PE
std_RdeE-694y_1692969810912_3,RdeE-694y,3B8PE
std_FsBb-jYyC_1692969809716_2,FsBb-jYyC,3B8PE
std_J48K-4PTr_1692969815107_1,J48K-4PTr,3B8PE
std_RdeE-694y_1692969836200_3,RdeE-694y,3B8PE
std_eQ87-poup_1692969833362_4,eQ87-poup,3B8PE
std_FsBb-jYyC_1692969837890_2,FsBb-jYyC,3B8PE
std_J48K-4PTr_1692969845405_1,J48K-4PTr,3B8PE
std_eQ87-poup_1692969864978_4,eQ87-poup,3B8PE
std_RdeE-694y_1692969861353_3,RdeE-694y,3B8PE
std_AM6F-me8M_1692969870578_5,AM6F-me8M,3B8PE
std_FsBb-jYyC_1692969867062_2,FsBb-jYyC,3B8PE
std_J48K-4PTr_1692969874285_1,J48K-4PTr,3B8PE
std_RdeE-694y_1692969890141_3,RdeE-694y,3B8PE
std_eQ87-poup_1692969889422_4,eQ87-poup,3B8PE
std_HUG2-LWFY_1692969890453_6,HUG2-LWFY,3B8PE
std_AM6F-me8M_1692969894952_5,AM6F-me8M,3B8PE
std_FsBb-jYyC_1692969897643_2,FsBb-jYyC,3B8PE
std_J48K-4PTr_1692969904200_1,J48K-4PTr,3B8PE
std_eQ87-poup_1692969914515_4,eQ87-poup,3B8PE
std_RdeE-694y_1692969914070_3,RdeE-694y,3B8PE
std_AM6F-me8M_1692969920237_5,AM6F-me8M,3B8PE
std_HUG2-LWFY_1692969917535_6,HUG2-LWFY,3B8PE
std_FsBb-jYyC_1692969929135_2,FsBb-jYyC,3B8PE
std_cC79-2ceX_1692969938668_7,cC79-2ceX,3B8PE
std_eQ87-poup_1692969940949_4,eQ87-poup,3B8PE
