teacherextuserid,classtitle,classcode,category
tch_20230823-153711_3,class_20230823-153711_3,to9x-a9xG,3B8PE
tch_20230823-153711_1,class_20230823-153711_1,eN6r-HabP,3B8PE
tch_20230823-153711_5,class_20230823-153711_5,bUcB-Pvy3,3B8PE
tch_20230823-153711_2,class_20230823-153711_2,9CRM-2TUN,3B8PE
tch_20230823-153711_4,class_20230823-153711_4,747h-7ynC,3B8PE
tch_20230823-153711_7,class_20230823-153711_7,9kFu-6Tqw,3B8PE
tch_20230823-153711_6,class_20230823-153711_6,23iT-9Pwr,3B8PE
tch_20230823-153711_8,class_20230823-153711_8,xPDw-Fp86,3B8PE
tch_20230823-153711_9,class_20230823-153711_9,yZBj-827v,3B8PE
tch_20230823-153711_13,class_20230823-153711_13,4yUv-mKvK,3B8PE
tch_20230823-153711_10,class_20230823-153711_10,L4Ao-hPjD,3B8PE
tch_20230823-153711_12,class_20230823-153711_12,7Tit-sW4s,3B8PE
tch_20230823-153711_11,class_20230823-153711_11,tNT7-82to,3B8PE
tch_20230823-153711_16,class_20230823-153711_16,tHFK-Gn92,3B8PE
tch_20230823-153711_15,class_20230823-153711_15,Hnva-P82W,3B8PE
tch_20230823-153711_14,class_20230823-153711_14,HNKb-sdjY,3B8PE
tch_20230823-153711_17,class_20230823-153711_17,64cQ-6mX8,3B8PE
tch_20230823-153711_21,class_20230823-153711_21,9AGH-3zyN,3B8PE
tch_20230823-153711_18,class_20230823-153711_18,a247-P296,3B8PE
tch_20230823-153711_20,class_20230823-153711_20,6vMj-7rCg,3B8PE
tch_20230823-153711_19,class_20230823-153711_19,CTpE-vR9W,3B8PE
tch_20230823-153711_22,class_20230823-153711_22,6vP3-jC26,3B8PE
tch_20230823-153711_24,class_20230823-153711_24,D28h-gn86,3B8PE
tch_20230823-153711_25,class_20230823-153711_25,HkmV-Rhrn,3B8PE
tch_20230823-153711_26,class_20230823-153711_26,97EV-dBo2,3B8PE
tch_20230823-153711_23,class_20230823-153711_23,AHvn-78f4,3B8PE
tch_20230823-153711_27,class_20230823-153711_27,UVX3-nT9B,3B8PE
tch_20230823-153711_29,class_20230823-153711_29,UcVG-vsnH,3B8PE
tch_20230823-153711_31,class_20230823-153711_31,sezE-B4j3,3B8PE
tch_20230823-153711_33,class_20230823-153711_33,6938-Mxaz,3B8PE
tch_20230823-153711_28,class_20230823-153711_28,4RbY-D9yB,3B8PE
tch_20230823-153711_35,class_20230823-153711_35,W37A-wAZu,3B8PE
tch_20230823-153711_32,class_20230823-153711_32,ojyh-kAGH,3B8PE
tch_20230823-153711_34,class_20230823-153711_34,p9pz-9DhX,3B8PE
tch_20230823-153711_30,class_20230823-153711_30,QuYT-GA8V,3B8PE
tch_20230823-153711_36,class_20230823-153711_36,Q7qL-87Ty,3B8PE
tch_20230823-153711_38,class_20230823-153711_38,pAgD-2hm3,3B8PE
tch_20230823-153711_37,class_20230823-153711_37,RMdF-j34b,3B8PE
tch_20230823-153711_41,class_20230823-153711_41,ThAr-PX7z,3B8PE
tch_20230823-153711_43,class_20230823-153711_43,Q3rj-P98L,3B8PE
tch_20230823-153711_42,class_20230823-153711_42,DtCv-ib27,3B8PE
tch_20230823-153711_44,class_20230823-153711_44,6B9Y-H9nJ,3B8PE
tch_20230823-153711_47,class_20230823-153711_47,3jmf-Vhwq,3B8PE
tch_20230823-153711_40,class_20230823-153711_40,Ju9v-87kT,3B8PE
tch_20230823-153711_39,class_20230823-153711_39,YQ79-ebe4,3B8PE
tch_20230823-153711_45,class_20230823-153711_45,2oU7-yhBT,3B8PE
tch_20230823-153711_46,class_20230823-153711_46,K4zc-o3uK,3B8PE
tch_20230823-153711_48,class_20230823-153711_48,367V-zTd3,3B8PE
tch_20230823-153711_49,class_20230823-153711_49,GZV6-JMs3,3B8PE
tch_20230823-153711_51,class_20230823-153711_51,rPnF-oheF,3B8PE
tch_20230823-153711_50,class_20230823-153711_50,86YG-NdN2,3B8PE
tch_20230823-153711_53,class_20230823-153711_53,VKoj-nN2t,3B8PE
tch_20230823-153711_52,class_20230823-153711_52,PGKY-KkQF,3B8PE
tch_20230823-153711_55,class_20230823-153711_55,ViZ4-h6Zq,3B8PE
tch_20230823-153711_56,class_20230823-153711_56,oroZ-nNiz,3B8PE
tch_20230823-153711_59,class_20230823-153711_59,yr3y-kKNA,3B8PE
tch_20230823-153711_54,class_20230823-153711_54,eE3V-3vL2,3B8PE
tch_20230823-153711_60,class_20230823-153711_60,2GFM-N374,3B8PE
tch_20230823-153711_58,class_20230823-153711_58,YF3H-67j8,3B8PE
tch_20230823-153711_63,class_20230823-153711_63,hTLT-6Fc9,3B8PE
tch_20230823-153711_57,class_20230823-153711_57,3bhq-6ujU,3B8PE
tch_20230823-153711_61,class_20230823-153711_61,43JA-B4cR,3B8PE
tch_20230823-153711_62,class_20230823-153711_62,2oEZ-7wv2,3B8PE
tch_20230823-153711_64,class_20230823-153711_64,Fw24-Awxy,3B8PE
tch_20230823-153711_65,class_20230823-153711_65,MAwd-6g7V,3B8PE
tch_20230823-153711_72,class_20230823-153711_72,bFqT-6hfu,3B8PE
tch_20230823-153711_67,class_20230823-153711_67,2MZ7-joUF,3B8PE
tch_20230823-153711_66,class_20230823-153711_66,nQ7T-WmQh,3B8PE
tch_20230823-153711_69,class_20230823-153711_69,jLtx-63bV,3B8PE
