extuserid,classcode,category
std_bBXY-8i9m_1693016904805_24,bBXY-8i9m,3B10PE
std_3HR3-zT43_1692342913324_106,3HR3-zT43,3B10PE
std_8TZD-32t8_1692342821158_108,8TZD-32t8,3B10PE
std_Pep9-XB9G_1692341933534_64,Pep9-XB9G,3B10PE
std_GMC6-v3M7_1693021212757_128,GMC6-v3M7,3B10PE
std_2Txq-4K3U_1692339273964_26,2Txq-4K3U,3B10PE
std_d24Z-9486_1692340454053_54,d24Z-9486,3B10PE
std_rD2i-2u8p_1692340463157_28,rD2i-2u8p,3B10PE
std_kfna-h4N2_1693018110677_22,kfna-h4N2,3B10PE
std_Kp2H-4hbQ_1693017325818_30,Kp2H-4hbQ,3B10PE
std_76G3-VJz3_1692339976531_9,76G3-VJz3,3B10PE
std_6KTP-csuR_1692986425637_21,6KTP-csuR,3B10PE
std_x3X4-fv34_1692342568737_94,x3X4-fv34,3B10PE
std_mH6x-g8un_1693018427082_29,mH6x-g8un,3B10PE
std_dGT6-3fQ8_1693021393458_121,dGT6-3fQ8,3B10PE
std_8TZD-32t8_1692344334987_108,8TZD-32t8,3B10PE
std_bBXY-8i9m_1693017114431_24,bBXY-8i9m,3B10PE
std_Kp2H-4hbQ_1693016946810_30,Kp2H-4hbQ,3B10PE
std_VHN3-7Y4Q_1692343267497_68,VHN3-7Y4Q,3B10PE
std_yeie-vaue_1692987160290_26,yeie-vaue,3B10PE
std_cu7s-WtjY_1692344291838_109,cu7s-WtjY,3B10PE
std_RzR8-TBds_1692343521256_104,RzR8-TBds,3B10PE
std_eJt9-mr6Y_1692342678811_89,eJt9-mr6Y,3B10PE
std_eJt9-mr6Y_1692341336299_89,eJt9-mr6Y,3B10PE
std_cu7s-WtjY_1692343234910_109,cu7s-WtjY,3B10PE
std_dGT6-3fQ8_1693021778876_121,dGT6-3fQ8,3B10PE
std_89uc-pBV7_1693022106862_124,89uc-pBV7,3B10PE
std_rD2i-2u8p_1692341614953_28,rD2i-2u8p,3B10PE
std_eJt9-mr6Y_1692342736844_89,eJt9-mr6Y,3B10PE
std_GMC6-v3M7_1693021624448_128,GMC6-v3M7,3B10PE
std_f393-eLNb_1692339348910_32,f393-eLNb,3B10PE
std_rD2i-2u8p_1692341643567_28,rD2i-2u8p,3B10PE
std_xGvd-yGKM_1692342451317_69,xGvd-yGKM,3B10PE
std_VHN3-7Y4Q_1692341866420_68,VHN3-7Y4Q,3B10PE
std_6rvR-rk6V_1692339169132_24,6rvR-rk6V,3B10PE
std_HF7V-Z6dV_1693017174976_28,HF7V-Z6dV,3B10PE
std_xGvd-yGKM_1692340563877_69,xGvd-yGKM,3B10PE
std_6rvR-rk6V_1692339260044_24,6rvR-rk6V,3B10PE
std_iorQ-67if_1692341343701_66,iorQ-67if,3B10PE
std_3rfB-MQ37_1692987612697_25,3rfB-MQ37,3B10PE
std_7Kk7-V9BN_1692987512127_29,7Kk7-V9BN,3B10PE
std_x3X4-fv34_1692343792253_94,x3X4-fv34,3B10PE
std_x9Fs-fe2g_1692340061141_14,x9Fs-fe2g,3B10PE
std_6rNJ-Gu7Z_1693017451059_21,6rNJ-Gu7Z,3B10PE
std_Ydzx-EhRs_1693020856069_123,Ydzx-EhRs,3B10PE
std_urkD-wgeQ_1693017080719_25,urkD-wgeQ,3B10PE
std_Pw9h-ayE8_1693021263258_127,Pw9h-ayE8,3B10PE
std_PFzg-Ydgp_1692340723216_49,PFzg-Ydgp,3B10PE
std_4Hs9-w6dm_1692342856334_62,4Hs9-w6dm,3B10PE
std_uCuY-LQy3_1693021815823_129,uCuY-LQy3,3B10PE
std_QrDk-3Zg2_1693021028377_122,QrDk-3Zg2,3B10PE
std_PE8z-63J6_1692341972729_112,PE8z-63J6,3B10PE
std_6KTP-csuR_1692986948282_21,6KTP-csuR,3B10PE
std_3HR3-zT43_1692343847407_106,3HR3-zT43,3B10PE
std_6KTP-csuR_1692987161100_21,6KTP-csuR,3B10PE
std_PFzg-Ydgp_1692342637670_49,PFzg-Ydgp,3B10PE
std_2B3i-mf38_1692341804938_65,2B3i-mf38,3B10PE
std_xGvd-yGKM_1692342135030_69,xGvd-yGKM,3B10PE
std_kKV7-JCDT_1692343625282_85,kKV7-JCDT,3B10PE
std_cu7s-WtjY_1692344143415_109,cu7s-WtjY,3B10PE
std_7WT6-htjz_1692987395153_27,7WT6-htjz,3B10PE
std_oiNy-tM8G_1693021988029_130,oiNy-tM8G,3B10PE
std_mH6x-g8un_1693017932985_29,mH6x-g8un,3B10PE
std_xGvd-yGKM_1692341804167_69,xGvd-yGKM,3B10PE
std_VH3t-MQXD_1693017237365_27,VH3t-MQXD,3B10PE
std_6KTP-csuR_1692986525482_21,6KTP-csuR,3B10PE
std_89uc-pBV7_1693021774916_124,89uc-pBV7,3B10PE
std_bHPr-84e8_1692987132274_24,bHPr-84e8,3B10PE
std_6rNJ-Gu7Z_1693017166282_21,6rNJ-Gu7Z,3B10PE
std_bBXY-8i9m_1693017164233_24,bBXY-8i9m,3B10PE
std_2Txq-4K3U_1692341500929_26,2Txq-4K3U,3B10PE
std_yeie-vaue_1692986776185_26,yeie-vaue,3B10PE
std_GMC6-v3M7_1693020953365_128,GMC6-v3M7,3B10PE
std_R3pC-3Nur_1692341489466_72,R3pC-3Nur,3B10PE
std_Pep9-XB9G_1692342645128_64,Pep9-XB9G,3B10PE
std_urkD-wgeQ_1693017352790_25,urkD-wgeQ,3B10PE
std_cd2X-w8qA_1693021370821_125,cd2X-w8qA,3B10PE
std_gHfj-QY7s_1692987044833_23,gHfj-QY7s,3B10PE
std_BK8z-kMhw_1692341776157_105,BK8z-kMhw,3B10PE
std_PE8z-63J6_1692342538380_112,PE8z-63J6,3B10PE
std_PFzg-Ydgp_1692340264052_49,PFzg-Ydgp,3B10PE
std_Pep9-XB9G_1692342113446_64,Pep9-XB9G,3B10PE
std_HF7V-Z6dV_1693017225885_28,HF7V-Z6dV,3B10PE
std_VH3t-MQXD_1693017714732_27,VH3t-MQXD,3B10PE
std_oiNy-tM8G_1693022462951_130,oiNy-tM8G,3B10PE
std_Kpv4-DuC2_1692339027409_22,Kpv4-DuC2,3B10PE
std_urkD-wgeQ_1693017402076_25,urkD-wgeQ,3B10PE
std_eJt9-mr6Y_1692341016913_89,eJt9-mr6Y,3B10PE
std_eJt9-mr6Y_1692341568283_89,eJt9-mr6Y,3B10PE
std_QrDk-3Zg2_1693020707431_122,QrDk-3Zg2,3B10PE
std_7WT6-htjz_1692987206728_27,7WT6-htjz,3B10PE
std_7WT6-htjz_1692986646205_27,7WT6-htjz,3B10PE
std_6rNJ-Gu7Z_1693018098297_21,6rNJ-Gu7Z,3B10PE
std_Kpv4-DuC2_1692341231345_22,Kpv4-DuC2,3B10PE
std_4hXA-rc6X_1693017679028_23,4hXA-rc6X,3B10PE
std_7WT6-htjz_1692986975384_27,7WT6-htjz,3B10PE
std_WMcH-2HcA_1692986495652_22,WMcH-2HcA,3B10PE
std_dGT6-3fQ8_1693021053165_121,dGT6-3fQ8,3B10PE
std_QrDk-3Zg2_1693021867484_122,QrDk-3Zg2,3B10PE
std_gHfj-QY7s_1692986742663_23,gHfj-QY7s,3B10PE
std_Fknp-oNHZ_1692987363783_28,Fknp-oNHZ,3B10PE
std_7Kk7-V9BN_1692987528493_29,7Kk7-V9BN,3B10PE
std_4hXA-rc6X_1693017037827_23,4hXA-rc6X,3B10PE
std_8nW7-PeCa_1692341662230_25,8nW7-PeCa,3B10PE
std_HF7V-Z6dV_1693018276251_28,HF7V-Z6dV,3B10PE
std_HF7V-Z6dV_1693016754956_28,HF7V-Z6dV,3B10PE
std_8TZD-32t8_1692343927305_108,8TZD-32t8,3B10PE
std_gHfj-QY7s_1692987133676_23,gHfj-QY7s,3B10PE
std_uCuY-LQy3_1693021179586_129,uCuY-LQy3,3B10PE
std_6rNJ-Gu7Z_1693017237071_21,6rNJ-Gu7Z,3B10PE
