extuserid,itemcode
perf_std_ch20_1811_1_1,156275211655615627521966161566199232067
perf_std_ch20_1811_1_2,156275211655615627521966161566199232067
perf_std_ch20_1811_1_3,156275211655615627521966161566199232067
perf_std_ch20_1811_1_4,156275211655615627521966161566199232067
perf_std_ch20_1811_1_5,156275211655615627521966161566199232067
perf_std_ch20_1811_1_6,156275211655615627521966161566199232067
perf_std_ch20_1811_1_7,156275211655615627521966161566199232067
perf_std_ch20_1811_1_8,156275211655615627521966161566199232067
perf_std_ch20_1811_1_9,156275211655615627521966161566199232067
perf_std_ch20_1811_1_10,156275211655615627521966161566199232067
perf_std_ch20_1811_1_11,156275211655615627521966161566199232067
perf_std_ch20_1811_1_12,156275211655615627521966161566199232067
perf_std_ch20_1811_1_13,156275211655615627521966161566199232067
perf_std_ch20_1811_1_14,156275211655615627521966161566199232067
perf_std_ch20_1811_1_15,156275211655615627521966161566199232067
perf_std_ch20_1811_1_16,156275211655615627521966161566199232067
perf_std_ch20_1811_1_17,156275211655615627521966161566199232067
perf_std_ch20_1811_1_18,156275211655615627521966161566199232067
perf_std_ch20_1811_1_19,156275211655615627521966161566199232067
perf_std_ch20_1811_1_20,156275211655615627521966161566199232067
perf_std_ch20_1811_1_21,156275211655615627521966161566199232067
perf_std_ch20_1811_1_22,156275211655615627521966161566199232067
perf_std_ch20_1811_1_23,156275211655615627521966161566199232067
perf_std_ch20_1811_1_24,156275211655615627521966161566199232067
perf_std_ch20_1811_1_25,156275211655615627521966161566199232067
perf_std_ch20_1811_1_26,156275211655615627521966161566199232067
perf_std_ch20_1811_1_27,156275211655615627521966161566199232067
perf_std_ch20_1811_1_28,156275211655615627521966161566199232067
perf_std_ch20_1811_1_29,156275211655615627521966161566199232067
perf_std_ch20_1811_1_30,156275211655615627521966161566199232067
perf_std_ch20_1811_1_31,156275211655615627521966161566199232067
perf_std_ch20_1811_1_32,156275211655615627521966161566199232067
perf_std_ch20_1811_1_33,156275211655615627521966161566199232067
perf_std_ch20_1811_1_34,156275211655615627521966161566199232067
perf_std_ch20_1811_1_35,156275211655615627521966161566199232067
perf_std_ch20_1811_1_36,156275211655615627521966161566199232067
perf_std_ch20_1811_1_37,156275211655615627521966161566199232067
perf_std_ch20_1811_1_38,156275211655615627521966161566199232067
perf_std_ch20_1811_1_39,156275211655615627521966161566199232067
perf_std_ch20_1811_1_40,156275211655615627521966161566199232067
perf_std_ch20_1811_1_41,156275211655615627521966161566199232067
perf_std_ch20_1811_1_42,156275211655615627521966161566199232067
perf_std_ch20_1811_1_43,156275211655615627521966161566199232067
perf_std_ch20_1811_1_44,156275211655615627521966161566199232067
perf_std_ch20_1811_1_45,156275211655615627521966161566199232067
perf_std_ch20_1811_1_46,156275211655615627521966161566199232067
perf_std_ch20_1811_1_47,156275211655615627521966161566199232067
perf_std_ch20_1811_1_48,156275211655615627521966161566199232067
perf_std_ch20_1811_1_49,156275211655615627521966161566199232067
perf_std_ch20_1811_1_50,156275211655615627521966161566199232067
perf_std_ch20_1811_1_51,156275211655615627521966161566199232067
perf_std_ch20_1811_1_52,156275211655615627521966161566199232067
perf_std_ch20_1811_1_53,156275211655615627521966161566199232067
perf_std_ch20_1811_1_54,156275211655615627521966161566199232067
perf_std_ch20_1811_1_55,156275211655615627521966161566199232067
perf_std_ch20_1811_1_56,156275211655615627521966161566199232067
perf_std_ch20_1811_1_57,156275211655615627521966161566199232067
