tch,classtitle,classcode,ap1,ap2,ap3,ap4,ap5
tch_20200602-181758_26,class_20200602-181758_26,CyEz-d389,1b391119-ed6d-41f1-9d5b-7ec4df12ab27,5b99ff70-0321-4b7c-bbd0-1d77348c588d,d0c696f0-aacc-4e2e-9bc2-13a79b8bc1be,3ec63bf8-c605-4b31-b920-28bc4a2eedd9,a913a653-76ac-4f02-aad6-c2d3d7edf4cc
tch_20200602-181758_25,class_20200602-181758_25,4Dqm-gEHK,e01e4e6e-9d28-42d0-a970-ebf41a4aac34,6ad00fd2-a261-41e0-a39d-b5153702a1f1,ccad9d12-d444-45f6-8e53-85bc6bf6bf6e,c6af6e26-46af-44cf-8f2e-74e6a25b3c08,1d6ebe88-b803-4b9a-9f95-628caa18a069
tch_20200602-181758_27,class_20200602-181758_27,zjt3-4YUL,71465422-dec3-4988-8dbf-cd0c31a0f7c1,0a5a4388-6ec6-452c-8870-b9528ceebdad,39f4b906-661d-4f0a-9ea3-12f2e69d5d93,0c413d7c-252a-4a66-a541-4cfbc3e4037b,6b45ec36-acb1-4eb5-834e-a8e825848e7c
tch_20200602-181758_30,class_20200602-181758_30,Ufsb-g8gp,9a3de605-039a-44ba-9376-5909055ab564,ba117243-6df1-43d7-b8ec-dcbe97b92128,f2b50be8-35f2-4f72-9fd6-c93b3efb02f0,e70b7e5e-0db4-4b22-9138-0bf1cb886a5b,4fee0641-98ab-4b81-bc46-8676b5e659a3
tch_20200602-181758_28,class_20200602-181758_28,sFC9-aPin,403c4e1b-a46f-4fd0-9b31-ebeca3d18061,5e28c37b-ddb0-4919-811b-cb418a41e108,23f2fe99-0cc4-4b82-b7c7-3c9c8b7716c2,babac396-a20d-412c-b5a9-685424249272,3cefc848-60ba-42f3-95a1-bd6567b563d4
tch_20200602-181758_29,class_20200602-181758_29,Hp7n-WoQ2,0543d81e-77d6-4340-9e92-b52093857475,95146c8a-c2d7-4521-aeea-a951dada7832,f3a41de5-6f5d-4784-8b3f-ff6ba1774cc9,e954f710-7989-4dc9-8cdd-9cf66cd2943e,615b8c2e-0ffd-4acd-a8bf-ff3fb14bc05e
tch_20200602-181758_31,class_20200602-181758_31,fufa-28Dx,67cbd8fb-7cb9-4932-bd1e-d3c32764f79f,07fdc692-0d0e-4f20-b84e-f9166602865a,cf4051ba-8228-4e9d-a769-70273378f389,fba7cbe9-aa83-4d79-8fe9-4eb0fd315899,e48739f2-9c54-451b-b444-2154a781d3fd
tch_20200602-181758_33,class_20200602-181758_33,CZpb-apR4,a083dc72-7e6c-4bb8-bcc8-ec5508a645e3,a35a3a45-4ada-406f-9c2f-1b419d063b93,5107257f-0978-43b1-bf96-8519f18d7dbc,fc756a1d-9134-4196-b46a-6c102dc9d85c,93314422-4377-4b22-9b48-654059972683
tch_20200602-181758_34,class_20200602-181758_34,2R8C-uWxT,4a0779c3-b02e-4885-ae79-44dcf6b42740,df9c1d3a-8a30-413f-8938-45cb11ae50d7,f1665c44-c86a-4a85-bc28-08df84feedc4,665ffd1f-e579-4aa1-baa7-a108e17920e0,2956eb97-796e-427e-860d-3bf19cc449c2
tch_20200602-181758_32,class_20200602-181758_32,Z9Aq-m8R9,0a79cd8b-677f-46d0-9254-1299d045250e,e128eb48-2716-43a5-8353-267bb10a4fff,0e919e56-9cb8-4f03-bd51-4ab2727689eb,3ab33f90-d4cf-4861-9f66-e0a3a89cb8fa,d63f5cb2-a9fa-4491-ad84-0e93ed53cff4
tch_20200602-181758_36,class_20200602-181758_36,Qvf9-39DT,572d3fd4-bdf2-4769-84de-01aec03687b6,db451c3c-cdaa-4bce-b2ff-e487456765f5,09094540-221e-4f65-ae9c-15a71792c740,7e6c9aa5-8a79-4bf1-8f64-7f9fedd3eaa7,b121957e-c3e9-48f8-90f2-f6f09d062114
tch_20200602-181758_35,class_20200602-181758_35,JTXz-V743,1db62804-f514-4fb9-81d8-75fc6ec3ac91,9d11ae94-3081-4cad-9dea-a82d8c46e24d,d7c59b5a-b55d-4ac9-b573-5ad0fea013ed,3309d3aa-14a9-48d9-afee-c59b434e9c64,c811e4ae-61c9-4e92-aaa7-3627b51c544d
