tch,class title,classcode,ap1,ap2,ap3,ap4,ap5
tch_20200602-181758_39,class_20200602-181758_39,sgu9-WJ3r,d27d02fb-fb76-4753-834b-eb8b4cffe0d5,87d257e6-5487-4af9-902d-62086a6b0f69,cd7c3da6-c2d7-4217-a5ac-b7a62aaf2db0,4e9f47c4-8d28-4f36-9917-eb927b982ff3,fa7b76c3-3076-4287-abca-21f743433d34
tch_20200602-181758_38,class_20200602-181758_38,CQ98-X6g4,240e0c30-730d-4b0f-86b1-c65acbda5664,a093bdc1-6f58-4059-8b97-7d21aa1d4f9e,3aed79bf-3614-45b7-92a9-9a4d7deb231d,caa80ecf-7f0f-4752-b9f8-51676b1a553f,01aeebb8-16d2-4602-9431-d44a8550175a
tch_20200602-181758_37,class_20200602-181758_37,Qwun-z9wM,be39e073-00d9-49e2-a5e2-157bd9ee7ef8,1c48eba2-0e8b-4d15-bdd3-7f1dc085356f,7eb13a85-8066-4f4a-a2d1-4133998835d1,503b9659-e681-4413-89e3-9b53bbd5ac8d,e018bb4f-eefe-4539-b515-687bd6c6fe11
tch_20200602-181758_42,class_20200602-181758_42,pjx6-zh7v,8e5e72eb-ea8a-453a-9a53-72493dbf9dc5,f1793e73-98f0-4bf0-a8e8-ef7fc8da6499,e3ad4ff9-90ac-4762-9bdf-58bff9ba9bd7,2cc32e07-4d00-4a9d-82ca-63a28e33443c,de9d9441-52d2-41c2-93b3-20395c906ba8
tch_20200602-181758_40,class_20200602-181758_40,ZWvK-rTNU,a7cccb70-9f9f-4b3e-a753-3c2633474224,731a4e8d-f247-48af-8eaa-f33609ff6833,551e4728-7e99-4343-9f0a-2d49c51f816a,8e788769-ed69-44ac-8e09-d790c2ebd637,77cdc59e-4956-4583-b07b-db261b4b5ea7
tch_20200602-181758_41,class_20200602-181758_41,848F-6p6j,d3125083-8f57-4dee-8c38-7ffefec326bf,59624023-7737-4411-8dfc-2b9c62ba3d74,079af426-ab02-4d25-b9b1-4b786cfde110,63b1dc3f-ddc4-4799-96ef-0c489ebd02ff,0e018af0-ab2c-4bdb-845c-bde5483b3ea3
tch_20200602-181758_43,class_20200602-181758_43,gULp-U7ys,a04b2a18-447c-4716-83b4-88e1002dbbd2,ddf43916-bb2d-4ee2-9a0e-489545e734fe,8e6f9bd2-b922-4124-96ef-c7bbf8297f27,2b65907b-731a-471f-83d0-836f76e9d5de,0bd473d0-946d-4f5c-a8aa-955120bf674c
tch_20200602-181758_45,class_20200602-181758_45,WuW9-X73h,bfe639e0-e02e-4419-9a96-b3825441b4a0,d9dc8a86-5716-4d0d-b9f2-f4c86f372011,79074a5f-c705-49b1-b659-e86ddc014d4d,1d1205db-1d99-4b67-bffb-5ae34fdbcec0,c194ff7a-9590-4cc7-8a33-b67a395f5494
tch_20200602-181758_44,class_20200602-181758_44,y67x-R74e,e8ca469a-2f59-4623-ad20-cde79c4dceed,9c6547ff-2be6-43ef-93b3-2dc985ece2e6,5b3b98d5-6048-4d03-8815-cbc588cfe916,91f618f2-8ef7-4add-aa30-5ba67236c5a5,213655cf-c260-4171-9221-15c9ad75050c
tch_20200602-181758_47,class_20200602-181758_47,AGAy-B4t7,64e1f118-3bde-4e74-97c8-90de0539087d,740293f0-0809-4c0c-9bd2-b35a8c2bcfaa,87526b14-0182-4f37-af64-38cd540e33e3,da1b530f-dbd2-4326-b70f-ec7a2504fe51,48e91465-eccf-49ff-a714-e4fe4c41741c
tch_20200602-181758_46,class_20200602-181758_46,aJef-P6zm,9fb4751d-abca-40e8-9d80-068cdfdcb972,94e499f6-f242-4c29-8179-a294d5dcea82,3e35ed3d-bb9a-464e-96c1-a7987fd22bc8,25b88b30-a2ab-4fe9-b994-40f6b978de52,b9dd9ec7-07a8-4e7a-8b59-49a7bea9a740
tch_20200602-181758_48,class_20200602-181758_48,vmv6-cyAb,97aa1cf2-84b3-4ef9-96a3-f02ceeae0e2e,e5c134f1-cccd-4f14-92de-5d2b20ba112a,21988bbf-c2e0-45d2-893b-b5277bd91f44,2a448d10-c775-4b8c-a945-370302383b1c,3b44f23b-8736-457b-8abe-d1624e7d3129
