extuserid,classcode,category
std_RrcR-3fo4_1691678406816_1,RrcR-3fo4,3B15PE
std_ubaK-4R42_1691678501474_2,ubaK-4R42,3B15PE
std_v7L9-CbRD_1691678520271_4,v7L9-CbRD,3B10PE
std_9Ecs-kLJ2_1691678639364_3,9Ecs-kLJ2,3B15PE
std_KaCT-MCN6_1691678646286_6,KaCT-MCN6,3B8PE
std_tzvZ-747o_1691678810908_5,tzvZ-747o,3B15PE
std_a923-wtaC_1691678815687_7,a923-wtaC,3B10PE
std_LQ6f-kpHu_1691678949034_9,LQ6f-kpHu,3B8PE
std_wbgJ-Wvco_1691679067878_10,wbgJ-Wvco,3B8PE
std_gBV7-9fz3_1691679115655_8,gBV7-9fz3,2B15PE
std_6KWr-8TDa_1691679166368_11,6KWr-8TDa,3B8PE
std_2K3t-PfjN_1691679246561_12,2K3t-PfjN,3B8PE
std_qb2z-J2id_1691679349142_13,qb2z-J2id,3B8PE
std_7FnD-vwou_1691679600283_15,7FnD-vwou,3B10PE
std_NM8m-DFC6_1691679644522_16,NM8m-DFC6,3B8PE
std_4o7Q-bjGH_1691679713096_14,4o7Q-bjGH,3B15PE
std_7KXo-u9WA_1691679773250_17,7KXo-u9WA,3B8PE
std_4Qgq-p3jE_1691679855751_18,4Qgq-p3jE,3B8PE
std_4Eq6-n8ks_1691680208850_19,4Eq6-n8ks,2B15PE
std_Tw87-hxUb_1691680259693_22,Tw87-hxUb,3B8PE
std_3eth-6ix7_1691680337615_20,3eth-6ix7,3B15PE
std_wp6r-8ckj_1691680428712_21,wp6r-8ckj,2B15PE
std_E7Vy-JYvY_1691680551453_25,E7Vy-JYvY,3B8PE
std_azj3-uPrp_1691680608905_23,azj3-uPrp,3B15PE
std_A6J6-3fwX_1691680644191_26,A6J6-3fwX,3B8PE
std_4vQG-rE7K_1691680740717_24,4vQG-rE7K,2B15PE
std_xsk6-uECt_1691680857453_28,xsk6-uECt,3B8PE
std_3nLp-qAVC_1691680962141_29,3nLp-qAVC,3B8PE
std_e7nB-gxHr_1691681020599_27,e7nB-gxHr,3B15PE
std_b6V8-D2Ej_1691681057211_30,b6V8-D2Ej,3B8PE
std_Muh4-R3JW_1691681156447_31,Muh4-R3JW,3B8PE
std_p476-793j_1691681258121_32,p476-793j,3B8PE
std_4U4q-Jze4_1691681368752_33,4U4q-Jze4,3B8PE
