extuserid,classcode,category
std_KaCT-MCN6_1691678646286_6,KaCT-MCN6,3B8PE
std_LQ6f-kpHu_1691678949034_9,LQ6f-kpHu,3B8PE
std_wbgJ-Wvco_1691679067878_10,wbgJ-Wvco,3B8PE
std_6KWr-8TDa_1691679166368_11,6KWr-8TDa,3B8PE
std_2K3t-PfjN_1691679246561_12,2K3t-PfjN,3B8PE
std_qb2z-J2id_1691679349142_13,qb2z-J2id,3B8PE
std_NM8m-DFC6_1691679644522_16,NM8m-DFC6,3B8PE
std_7KXo-u9WA_1691679773250_17,7KXo-u9WA,3B8PE
std_4Qgq-p3jE_1691679855751_18,4Qgq-p3jE,3B8PE
std_Tw87-hxUb_1691680259693_22,Tw87-hxUb,3B8PE
std_E7Vy-JYvY_1691680551453_25,E7Vy-JYvY,3B8PE
std_A6J6-3fwX_1691680644191_26,A6J6-3fwX,3B8PE
std_xsk6-uECt_1691680857453_28,xsk6-uECt,3B8PE
std_3nLp-qAVC_1691680962141_29,3nLp-qAVC,3B8PE
std_b6V8-D2Ej_1691681057211_30,b6V8-D2Ej,3B8PE
std_Muh4-R3JW_1691681156447_31,Muh4-R3JW,3B8PE
std_p476-793j_1691681258121_32,p476-793j,3B8PE
std_4U4q-Jze4_1691681368752_33,4U4q-Jze4,3B8PE
std_E2su-p4td_1691681755139_37,E2su-p4td,3B8PE
std_rwL8-mL4U_1691681946787_39,rwL8-mL4U,3B8PE
std_Qt9i-AfU7_1691682064223_40,Qt9i-AfU7,3B8PE
std_wue2-8LGM_1691682158395_41,wue2-8LGM,3B8PE
std_X84W-K3fD_1691682259080_42,X84W-K3fD,3B8PE
std_t2Hi-Bxwi_1691682546050_45,t2Hi-Bxwi,3B8PE
std_DGKo-qos9_1691682756683_47,DGKo-qos9,3B8PE
std_xM2z-Tf3M_1691682857282_48,xM2z-Tf3M,3B8PE
std_Q6y6-82JN_1691682955818_49,Q6y6-82JN,3B8PE
std_zcJ6-p739_1691683051049_50,zcJ6-p739,3B8PE
std_M4uf-8D6J_1691683161198_51,M4uf-8D6J,3B8PE
std_M9z4-sTbB_1691683255171_52,M9z4-sTbB,3B8PE
std_NKJx-74BG_1691683347953_53,NKJx-74BG,3B8PE
std_h7d7-m49v_1691683647652_56,h7d7-m49v,3B8PE
std_92q8-xk8s_1691683763661_57,92q8-xk8s,3B8PE
std_v4HC-W3cK_1691683959652_59,v4HC-W3cK,3B8PE
std_CUtG-X28j_1691684062326_60,CUtG-X28j,3B8PE
std_BXZa-Z9rq_1691684380764_63,BXZa-Z9rq,3B8PE
std_9jJQ-bH98_1691684648974_66,9jJQ-bH98,3B8PE
std_MRPw-7tWi_1691684778761_67,MRPw-7tWi,3B8PE
std_h84p-KaWo_1691684973472_69,h84p-KaWo,3B8PE
std_4bwo-h26p_1691685071676_70,4bwo-h26p,3B8PE
std_7vyQ-329g_1691685167527_71,7vyQ-329g,3B8PE
std_d9w7-89Vz_1691685268295_72,d9w7-89Vz,3B8PE
std_tqGg-k6c7_1691685676903_76,tqGg-k6c7,3B8PE
std_8m8y-6Ed8_1691685879774_78,8m8y-6Ed8,3B8PE
std_G3Z9-C4zp_1691685986407_79,G3Z9-C4zp,3B8PE
std_vZYo-Zg2z_1691686081825_80,vZYo-Zg2z,3B8PE
std_ePGm-6X8P_1691686165217_81,ePGm-6X8P,3B8PE
std_4tyJ-Xf2X_1691686282689_82,4tyJ-Xf2X,3B8PE
std_rA7V-MQ3T_1691686361947_83,rA7V-MQ3T,3B8PE
std_XM9k-4yBo_1691686456499_84,XM9k-4yBo,3B8PE
std_83e2-Nxgm_1691686563886_85,83e2-Nxgm,3B8PE
std_926Q-6PiR_1691686768513_87,926Q-6PiR,3B8PE
std_7pUj-aGjz_1691686880693_88,7pUj-aGjz,3B8PE
std_8cEx-4d96_1691687192975_91,8cEx-4d96,3B8PE
std_oqWM-Yg7w_1691687287572_92,oqWM-Yg7w,3B8PE
std_s7Z2-KuQZ_1691687484366_94,s7Z2-KuQZ,3B8PE
std_kuc4-uj3s_1691687561527_95,kuc4-uj3s,3B8PE
std_Ee6w-n7o7_1691687672671_96,Ee6w-n7o7,3B8PE
std_36X9-8JMp_1691687767442_97,36X9-8JMp,3B8PE
std_CVqP-94p6_1691688078117_100,CVqP-94p6,3B8PE
std_6hRY-26ig_1691587912900_1,6hRY-26ig,3B8PE
std_Pjez-XDJz_1691588014517_2,Pjez-XDJz,3B8PE
std_xVZc-qKCR_1691588120324_3,xVZc-qKCR,3B8PE
std_24i2-u4CA_1691588311619_5,24i2-u4CA,3B8PE
std_uw96-N8VL_1691588608311_8,uw96-N8VL,3B8PE
std_KGxM-C6E2_1691588994130_12,KGxM-C6E2,3B8PE
std_9R7g-4MQM_1691589099673_13,9R7g-4MQM,3B8PE
std_C72R-ebJ3_1691589385846_16,C72R-ebJ3,3B8PE
std_AkuA-e6dP_1691589477989_17,AkuA-e6dP,3B8PE
std_DPK9-jcW4_1691589809779_20,DPK9-jcW4,3B8PE
std_n7Mh-63JP_1691590288629_25,n7Mh-63JP,3B8PE
std_j7v6-biq9_1691590404790_26,j7v6-biq9,3B8PE
std_jYr4-bpZ4_1691590514494_27,jYr4-bpZ4,3B8PE
std_xiY9-fpiQ_1691590587680_28,xiY9-fpiQ,3B8PE
std_vX8o-LWsi_1691590681032_29,vX8o-LWsi,3B8PE
std_64q6-nmxD_1691590888068_31,64q6-nmxD,3B8PE
std_aVQa-V23J_1691591219466_34,aVQa-V23J,3B8PE
std_RGsc-LN9D_1691591310782_35,RGsc-LN9D,3B8PE
std_a8Td-oxLb_1691591615414_38,a8Td-oxLb,3B8PE
std_6LfH-6Ykg_1691591719936_39,6LfH-6Ykg,3B8PE
std_v47w-x672_1691592181030_44,v47w-x672,3B8PE
std_Zy4y-uxhH_1691592313602_45,Zy4y-uxhH,3B8PE
std_9TGt-y6s7_1691592411472_46,9TGt-y6s7,3B8PE
std_HiB2-ah6K_1691592596031_48,HiB2-ah6K,3B8PE
std_uQZ4-Nq9v_1691593021749_52,uQZ4-Nq9v,3B8PE
std_HKEq-f4c2_1691593110195_53,HKEq-f4c2,3B8PE
std_XgeR-axEd_1691593182444_54,XgeR-axEd,3B8PE
std_XrJA-6C7V_1691593400921_56,XrJA-6C7V,3B8PE
std_Zwfo-FYXB_1691593482490_57,Zwfo-FYXB,3B8PE
std_o7CD-r3FW_1691593613055_58,o7CD-r3FW,3B8PE
std_wUKg-6G72_1691593701031_59,wUKg-6G72,3B8PE
std_F8Jk-9x3D_1691594016346_62,F8Jk-9x3D,3B8PE
std_89fM-AhVP_1691594082167_63,89fM-AhVP,3B8PE
std_jRjR-8F2Q_1691594300133_65,jRjR-8F2Q,3B8PE
std_E968-eqjd_1691594508240_67,E968-eqjd,3B8PE
