user_id,resource_id
perf_test_50VU_run2_user-1501,perf_test_50VU_run2_course-000-1501_#_perf_test_50VU_run2_res-000-1501
perf_test_50VU_run2_user-1502,perf_test_50VU_run2_course-000-1502_#_perf_test_50VU_run2_res-000-1502
perf_test_50VU_run2_user-1503,perf_test_50VU_run2_course-000-1503_#_perf_test_50VU_run2_res-000-1503
perf_test_50VU_run2_user-1504,perf_test_50VU_run2_course-000-1504_#_perf_test_50VU_run2_res-000-1504
perf_test_50VU_run2_user-1505,perf_test_50VU_run2_course-000-1505_#_perf_test_50VU_run2_res-000-1505
perf_test_50VU_run2_user-1506,perf_test_50VU_run2_course-000-1506_#_perf_test_50VU_run2_res-000-1506
perf_test_50VU_run2_user-1507,perf_test_50VU_run2_course-000-1507_#_perf_test_50VU_run2_res-000-1507
perf_test_50VU_run2_user-1508,perf_test_50VU_run2_course-000-1508_#_perf_test_50VU_run2_res-000-1508
perf_test_50VU_run2_user-1509,perf_test_50VU_run2_course-000-1509_#_perf_test_50VU_run2_res-000-1509
perf_test_50VU_run2_user-1510,perf_test_50VU_run2_course-000-1510_#_perf_test_50VU_run2_res-000-1510
perf_test_50VU_run2_user-1511,perf_test_50VU_run2_course-000-1511_#_perf_test_50VU_run2_res-000-1511
perf_test_50VU_run2_user-1512,perf_test_50VU_run2_course-000-1512_#_perf_test_50VU_run2_res-000-1512
perf_test_50VU_run2_user-1513,perf_test_50VU_run2_course-000-1513_#_perf_test_50VU_run2_res-000-1513
perf_test_50VU_run2_user-1514,perf_test_50VU_run2_course-000-1514_#_perf_test_50VU_run2_res-000-1514
perf_test_50VU_run2_user-1515,perf_test_50VU_run2_course-000-1515_#_perf_test_50VU_run2_res-000-1515
perf_test_50VU_run2_user-1516,perf_test_50VU_run2_course-000-1516_#_perf_test_50VU_run2_res-000-1516
perf_test_50VU_run2_user-1517,perf_test_50VU_run2_course-000-1517_#_perf_test_50VU_run2_res-000-1517
perf_test_50VU_run2_user-1518,perf_test_50VU_run2_course-000-1518_#_perf_test_50VU_run2_res-000-1518
perf_test_50VU_run2_user-1519,perf_test_50VU_run2_course-000-1519_#_perf_test_50VU_run2_res-000-1519
perf_test_50VU_run2_user-1520,perf_test_50VU_run2_course-000-1520_#_perf_test_50VU_run2_res-000-1520
perf_test_50VU_run2_user-1521,perf_test_50VU_run2_course-000-1521_#_perf_test_50VU_run2_res-000-1521
